"ID","ALT_ID","STATION NAME","STATE","LATITUDE","LONGITUDE","ELEV(FT)","DOMAINS"
"CXTH","","TWO HILLS AGDM","AB","53.63","-111.68","2224","co"
"CXVG","","VIOLET GROVE CS","AB","53.15","-115.12","2963","co"
"CXVM","","VERMILION_AGDM","AB","53.35","-110.8833","2044","co"
"CXVW","","VALLEYVIEW_AGDM","AB","55.1","-117.2","2290","co"
"CXWM","","WRENTHAM AGDM","AB","49.5","-112.12","3097","co"
"CYBA","YBA","BANFF","AB","51.1833","-115.5667","4583","co"
"CYBW","YBW","CALGARY/SPRINGBAN","AB","51.1","-114.3667","3937","co"
"CYCT","YCT CWCT","CORONATION","AB","52.0667","-111.45","2595","co"
"CYED","YED","EDMONTON/NAMAO","AB","53.6667","-113.4667","2257","co"
"CYEG","YEG","EDMONTON","AB","53.3167","-113.5833","2219","co"
"CYET","YET","EDSON","AB","53.5833","-116.45","3035","co"
"CYJA","YJA YOU CWJA","JASPER","AB","52.8833","-118.0667","3481","co"
"CYLL","YLL","LLOYDMINISTER","AB","53.3167","-110.0667","2195","co"
"CYMM","YMM CXMM","FT MCMURRAY","AB","56.65","-111.2167","1211","ak"
"CYOD","YOD","COLD LAKE","AB","54.4167","-110.2833","1775","co"
"CYOJ","YOJ","HIGH LEVEL","AB","58.6167","-117.1667","1109","ak"
"CYPE","YPE","PEACE RIVER","AB","56.2333","-117.4333","1873","ak"
"CYPY","YPY","FORT CHIPEWYAN","AB","58.7667","-111.1167","761","ak"
"CYQF","YQF","RED DEER","AB","52.1833","-113.9","2969","co"
"CYQL","YQL","LETHBRIDGE","AB","49.6333","-112.8","3048","co"
"CYQU","YQU","GRANDE PRAIRIE","AB","55.1833","-118.8833","2195","co"
"CYSD","","SUFFIELD_AIRPORT","AB","50.27","-111.18","2526","co"
"CYVG","YVG","VERMILION","AB","53.35","-110.8333","2041","co"
"CYXD","YXD CXEC","EDMONTON","AB","53.5667","-113.5167","2513","co"
"CYXH","YXH","MEDICINE HAT","AB","50.0167","-110.7167","2352","co"
"CYYC","YYC","CALGARY","AB","51.1167","-114.0167","3556","co"
"CYZH","YZH","SLAVE LAKE","AB","55.3","-114.7833","1906","co"
"CYZU","YZU CXZU","WHITECOURT","AB","54.15","-115.7833","2566","co"
"CZDY","ZDY","COAL VALLEY","AB","53.0833","-116.8167","4675","co"
"CZMU","","MUNDARE","AB","53.5667","-112.3","2246","co"
"CZOL","","OLIVER","AB","53.6424","-113.3626","2181","co"
"CZPC","ZPC WMP","PINCHER CREEK ARP","AB","49.5167","-113.9833","3904","co"
"CZPN","ZPN","PINCHER CREEK AUT","AB","49.5167","-114","3904","co"
"CZPS","","PRENTISS","AB","52.4333","-113.6","3166","co"
"CZVL","","EDMONTON/VILLENEUVE","AB","53.6675","-113.8544","2251","co"
"CZWN","","WAINWRIGHT_(AUTO8)","AB","52.8167","-111.1","2244","co"
"CZZJ","","EDSON_CR10","AB","53.578","-116.47","3040","co"
"TAPA","","COOLIDGE/ST JOHNS","AG","17.1167","-61.7833","62","oc"
"46001","6001","GULF OF ALASKA","AK","56.2956","-148.02","16","ak oc"
"46035","","BERING SEA","AK","57.07","-177.75","33","ak oc"
"46060","","WEST ORCA BAY","AK","60.584","-146.7839","16","ak oc"
"46061","","SEAL ROCKS","AK","60.2178","-146.8249","16","ak oc"
"46066","","SOUTH ALEUTIANS","AK","52.6958","-154.9836","16","ak oc"
"46070","","SW BERING SEA","AK","55.0031","175.2839","16","ak oc"
"46071","","WESTERN ALEUTIANS","AK","51.17","179.0183","16","ak oc"
"46072","","CENTRAL ALEUTIANS","AK","51.6267","-172.1571","16","ak oc"
"46073","","SE BERING SEA","AK","54.9417","-172.0288","33","ak oc"
"46075","","SHUMAGIN ISLANDS","AK","53.925","-160.8058","16","ak oc"
"46076","","CAPE CLEARE","AK","59.4994","-147.9996","16","ak oc"
"46077","","SHELIKOF STRAIT","AK","57.92","-154.2542","16","ak oc"
"46078","","ALBATROSS BANKS","AK","56.0536","-152.4507","16","ak oc"
"46080","","PORTLOCK BANK","AK","57.924","-149.865","16","ak oc"
"46081","","W PR WILLIAM SOUND","AK","60.7964","-148.2811","16","ak"
"46082","","CAPE SUCKLING","AK","59.685","-143.4211","16","ak oc"
"46083","","FAIRWEATHER GROUND","AK","58.2425","-138.0055","16","ak oc"
"46084","","CAPE EDGECUMBE","AK","56.612","-136.065","16","ak oc"
"46085","","CNTL GULF OF AK BUOY","AK","55.8547","-142.5586","16","ak oc"
"500657","","BEAVER FALLS","AK","55.3833","-131.4667","35","ak"
"501251","","CANYON ISLAND","AK","58.55","-133.6789","20","ak"
"502179","","CORDOVA WWTP","AK","60.5358","-145.7779","10","ak"
"503650","","HOLLIS","AK","55.4822","-132.65","40","ak"
"7BJWC","","CAPE FANSHAW FAA","AK","57.1854","-133.5736","25","ak oc"
"A43WC","","GRAVE POINT FAA","AK","58.0623","-134.051","29","ak"
