# All climatologies for cumulative degree days > 20, 1991-2020
# Cumulative degree days starting March 1 from ACIS
#
d_since_march1,GULKANA_AIRPORT,TANANA_AIRPORT,KETCHIKAN_AIRPORT,COLLEGE_OBSERVATORY,AUKE_BAY,BETHEL_AIRPORT,ANCHORAGE_MERRILL_FIELD,SKAGWAY_AIRPORT,EAGLE,BIG_DELTA_AIRPORT,BARROW_AIRPORT,KOTZEBUE_AIRPORT,JUNEAU_AIRPORT,KODIAK_AIRPORT,ILIAMNA_AIRPORT,HAINES_AIRPORT,KING_SALMON_AIRPORT,CORDOVA_AIRPORT,SITKA_AIRPORT,MCGRATH_AP,COLD_BAY_AIRPORT,TALKEETNA_AIRPORT,SAINT_PAUL_ISLAND_AIRPORT,KENAI_AIRPORT,NORTH_POLE,NOME_AIRPORT,BETTLES_AIRPORT,ANCHORAGE_TED_STEVENS_INTERNATIONAL_AIRPORT,YAKUTAT_AIRPORT,ALYESKA,NENANA_MUN_AP,HOMER_AIRPORT,NORTHWAY_AIRPORT,CHICKEN,FAIRBANKS_INTL_AP,DUTCH_HARBOR,MCKINLEY_PARK
73,681.43,539.98,1602.80,724.63,1434.67,512.20,1076.32,1423.89,591.83,732.34,6.13,126.72,1374.39,1243.07,811.21,1363.68,840.99,1177.99,1573.82,646.38,999.83,922.22,634.35,910.88,709.81,271.21,413.41,1037.85,1205.58,1053.63,665.78,1115.64,602.48,481.71,739.08,1206.42,517.08
74,706.14,565.41,1632.12,751.84,1465.07,535.08,1105.75,1453.37,617.94,760.01,7.85,139.41,1403.07,1268.22,835.92,1393.27,865.61,1203.49,1601.44,673.83,1020.66,949.55,650.49,935.81,737.26,287.68,436.94,1065.92,1230.58,1080.09,694.97,1140.69,628.63,503.26,768.48,1228.51,539.55
75,731.07,592.43,1661.95,780.09,1494.66,558.98,1135.79,1483.31,643.53,788.11,10.58,153.07,1431.95,1293.35,860.12,1423.60,890.26,1228.44,1628.72,701.83,1041.74,976.70,666.63,961.26,765.44,305.65,462.06,1094.29,1255.28,1106.39,725.21,1165.28,655.05,526.02,798.58,1250.18,563.14
76,755.64,619.65,1692.33,808.78,1524.68,583.18,1165.90,1513.08,670.08,816.55,14.28,167.00,1461.30,1317.68,885.21,1453.69,915.94,1252.87,1656.84,730.73,1063.16,1004.18,683.15,986.66,793.60,323.85,486.93,1122.29,1279.71,1132.43,755.64,1190.19,681.80,550.40,829.35,1272.48,586.48
77,781.00,646.89,1722.31,836.74,1555.45,607.25,1196.31,1544.16,697.44,844.24,19.00,181.40,1491.27,1342.91,909.91,1484.21,941.19,1277.30,1684.82,759.36,1084.71,1031.60,699.74,1011.79,821.76,341.90,511.75,1150.22,1304.74,1158.91,784.95,1214.88,708.20,574.46,859.13,1294.87,609.91
78,807.19,674.46,1753.03,865.24,1586.52,630.33,1226.55,1575.45,724.33,872.89,24.97,196.28,1520.79,1368.56,934.41,1515.25,965.79,1303.15,1713.34,788.23,1106.04,1059.23,716.38,1037.97,850.67,359.93,537.48,1178.42,1330.56,1185.55,814.14,1239.67,734.58,597.67,889.71,1316.87,633.38
79,833.88,703.70,1784.23,894.32,1618.02,654.21,1256.96,1606.43,752.06,903.39,31.32,212.31,1550.62,1394.36,959.34,1546.88,991.19,1329.03,1741.97,817.70,1127.21,1088.01,733.59,1063.89,880.49,379.31,564.40,1207.27,1356.33,1212.14,845.47,1264.98,762.35,622.60,921.51,1339.46,657.12
80,861.35,733.32,1815.63,925.13,1649.97,678.74,1288.20,1637.87,780.86,934.66,37.05,227.98,1581.45,1419.83,985.54,1578.92,1017.69,1355.56,1771.65,847.77,1148.88,1117.01,750.78,1090.94,911.39,399.78,592.90,1237.30,1382.48,1239.48,877.99,1290.72,791.23,647.96,954.41,1361.91,682.64
81,889.32,764.41,1846.88,956.21,1682.02,704.66,1319.63,1669.43,809.82,966.45,43.88,244.19,1612.73,1445.31,1012.24,1610.39,1044.51,1382.46,1801.73,878.45,1170.80,1147.71,767.94,1118.06,942.28,419.36,621.15,1266.88,1409.58,1267.28,911.09,1316.69,821.28,674.15,987.51,1384.27,707.80
82,918.58,795.27,1878.18,987.98,1714.42,730.41,1352.02,1700.51,841.12,998.82,50.70,260.53,1643.66,1471.31,1039.40,1642.35,1071.24,1409.61,1831.11,909.63,1193.43,1179.14,784.92,1145.61,974.60,439.38,651.28,1297.53,1436.36,1295.32,944.90,1343.79,852.43,702.79,1021.49,1407.29,734.78
83,947.24,827.72,1910.33,1020.25,1746.70,756.66,1384.09,1732.45,871.62,1031.20,57.92,277.34,1674.58,1498.58,1066.61,1674.46,1099.21,1437.29,1860.53,941.50,1216.10,1210.24,802.68,1173.94,1007.64,459.25,682.68,1328.60,1463.46,1324.50,979.14,1371.32,883.55,730.24,1056.29,1430.56,761.85
84,976.72,859.69,1942.70,1053.50,1779.87,783.41,1416.33,1765.14,903.64,1065.26,65.67,294.27,1706.11,1526.16,1093.90,1707.07,1127.01,1465.21,1890.73,973.78,1237.98,1241.52,821.16,1202.16,1040.48,479.53,714.40,1359.73,1491.78,1353.04,1014.07,1398.54,915.27,759.05,1091.37,1454.06,790.02
85,1006.01,892.76,1975.67,1087.31,1812.21,810.33,1449.03,1797.60,937.91,1098.97,73.39,312.55,1737.91,1552.34,1120.58,1739.59,1154.58,1493.36,1920.66,1006.46,1260.91,1273.12,839.38,1230.19,1073.68,501.36,746.90,1391.30,1519.60,1382.59,1049.00,1426.14,946.99,788.95,1127.00,1477.83,817.95
86,1036.15,926.45,2008.12,1121.77,1845.90,837.15,1481.70,1830.60,971.32,1133.55,80.84,330.76,1769.91,1579.24,1148.35,1771.96,1182.56,1521.56,1950.41,1039.28,1284.39,1304.74,858.93,1258.31,1107.95,523.31,778.72,1422.72,1546.78,1412.63,1084.00,1453.74,978.99,817.21,1163.58,1502.01,846.73
87,1066.96,959.73,2040.17,1156.94,1879.04,864.80,1516.00,1863.95,1004.03,1166.93,89.06,348.55,1802.33,1606.92,1177.21,1805.09,1211.24,1550.23,1980.68,1072.33,1308.36,1336.96,878.71,1287.69,1141.86,545.03,810.92,1455.14,1574.26,1442.08,1117.76,1482.02,1010.76,846.69,1199.41,1526.42,875.39
88,1098.29,992.25,2072.89,1191.07,1912.82,894.07,1550.46,1898.76,1037.82,1200.18,98.01,366.05,1835.26,1635.75,1206.35,1839.63,1241.39,1579.90,2011.78,1106.35,1332.74,1370.43,898.11,1317.67,1176.04,566.95,843.30,1487.77,1603.49,1471.96,1151.66,1510.99,1042.49,875.05,1235.56,1550.62,903.46
89,1129.82,1026.70,2104.81,1226.88,1946.90,924.27,1586.00,1932.78,1070.78,1234.93,108.23,384.57,1868.14,1664.23,1236.67,1873.72,1271.84,1608.95,2041.86,1141.37,1357.31,1404.41,917.99,1347.95,1210.93,590.98,876.87,1521.65,1632.54,1502.64,1187.26,1540.33,1075.47,903.91,1272.61,1574.82,931.89
90,1161.66,1061.36,2136.76,1263.36,1980.50,954.65,1620.35,1965.84,1105.14,1270.30,118.23,403.66,1900.69,1691.90,1266.81,1907.05,1301.87,1637.46,2072.49,1176.77,1382.23,1437.08,937.83,1377.80,1245.88,615.63,910.19,1554.38,1660.82,1534.59,1223.91,1569.07,1108.00,934.10,1309.99,1599.25,961.36
91,1193.21,1095.60,2169.66,1299.22,2014.66,985.18,1654.26,1998.78,1140.43,1304.93,128.63,422.78,1932.79,1720.02,1295.99,1940.03,1331.92,1665.58,2102.71,1211.72,1406.63,1469.43,957.85,1407.35,1280.93,641.55,943.51,1586.78,1688.90,1565.43,1260.15,1597.98,1140.08,965.98,1346.94,1624.13,990.96
92,1224.14,1129.29,2202.63,1334.72,2048.18,1016.05,1688.04,2031.86,1174.27,1338.55,138.98,441.69,1964.91,1748.67,1326.06,1973.07,1362.44,1693.93,2133.49,1246.14,1431.51,1502.11,978.40,1437.28,1314.81,666.12,976.04,1619.26,1717.13,1596.50,1295.94,1626.65,1172.05,995.23,1383.54,1648.36,1019.75
93,1255.61,1163.84,2235.35,1369.14,2081.97,1047.05,1722.72,2065.40,1207.66,1372.24,148.98,460.07,1997.24,1776.74,1356.86,2006.87,1392.67,1722.58,2164.41,1280.57,1456.69,1535.73,998.97,1466.86,1349.24,690.74,1009.22,1652.84,1745.86,1627.02,1331.51,1655.46,1204.28,1024.54,1420.21,1673.54,1049.18
94,1287.56,1198.55,2268.72,1404.27,2115.64,1078.80,1757.44,2098.86,1241.54,1406.39,159.15,479.55,2029.61,1804.81,1387.09,2040.11,1423.37,1752.51,2196.31,1316.24,1482.27,1570.21,1019.63,1497.23,1383.79,714.91,1043.75,1686.51,1775.06,1658.48,1366.77,1684.94,1236.96,1056.25,1457.28,1698.49,1079.58
95,1319.46,1234.07,2301.39,1439.72,2150.17,1110.97,1792.87,2131.98,1275.52,1440.81,170.12,501.38,2062.41,1833.48,1417.73,2073.78,1453.85,1782.38,2228.24,1351.84,1507.44,1604.34,1040.03,1528.68,1419.79,740.61,1078.98,1720.41,1804.83,1690.34,1402.27,1715.27,1269.83,1086.18,1495.63,1724.04,1109.91
96,1351.94,1270.85,2335.11,1476.49,2184.55,1144.02,1828.30,2165.79,1311.05,1476.35,182.17,524.33,2095.21,1861.88,1447.94,2108.02,1484.48,1811.75,2259.97,1388.36,1533.12,1638.99,1061.08,1559.75,1456.09,768.14,1115.76,1754.88,1834.51,1722.73,1439.44,1745.46,1304.11,1116.78,1534.50,1749.34,1140.25
97,1384.64,1307.69,2369.34,1513.36,2219.17,1176.92,1863.45,2201.04,1347.43,1512.50,194.55,546.30,2128.43,1890.30,1478.48,2143.89,1515.33,1841.55,2291.49,1425.81,1559.19,1672.92,1082.03,1590.63,1493.09,795.51,1153.93,1788.20,1864.63,1754.91,1476.87,1775.24,1337.63,1148.66,1573.23,1775.33,1171.46
98,1417.50,1345.35,2403.41,1549.96,2254.33,1207.89,1899.75,2235.33,1383.93,1549.60,208.32,569.25,2161.68,1918.73,1509.19,2177.85,1546.06,1870.60,2322.97,1462.63,1584.59,1707.65,1102.94,1621.58,1530.35,823.36,1192.05,1822.65,1894.28,1786.50,1515.70,1805.00,1372.06,1181.45,1612.03,1801.94,1203.60
99,1450.24,1382.59,2436.99,1588.08,2289.54,1238.19,1934.88,2269.98,1420.63,1587.54,222.40,591.70,2195.06,1947.66,1538.35,2213.06,1575.61,1900.47,2354.72,1498.55,1610.49,1741.90,1124.30,1652.00,1568.83,850.83,1230.43,1855.98,1923.11,1818.46,1554.32,1835.09,1406.26,1213.64,1652.40,1828.17,1235.55
100,1483.71,1418.73,2470.87,1626.79,2324.47,1268.99,1971.01,2304.92,1458.23,1625.81,235.88,614.72,2228.96,1976.94,1567.78,2249.06,1605.69,1931.60,2387.00,1534.35,1635.92,1777.80,1145.68,1683.12,1606.69,875.96,1267.55,1890.53,1953.79,1849.82,1592.72,1864.16,1441.91,1247.31,1691.77,1854.67,1267.89
101,1517.85,1455.87,2505.09,1664.87,2360.37,1300.02,2007.62,2339.19,1496.43,1664.16,249.56,638.75,2263.23,2006.59,1598.44,2284.08,1636.62,1962.47,2419.67,1570.02,1661.20,1813.33,1167.54,1714.79,1644.55,901.66,1304.87,1925.85,1985.37,1883.02,1631.65,1894.25,1478.24,1281.48,1731.90,1880.72,1299.96
102,1551.45,1493.18,2539.19,1702.97,2395.30,1331.94,2043.40,2374.27,1534.45,1701.33,264.79,663.11,2297.06,2036.42,1628.90,2319.73,1666.69,1992.49,2451.40,1606.49,1686.72,1849.11,1189.49,1746.11,1682.32,927.83,1342.05,1960.80,2015.95,1916.48,1668.91,1925.16,1514.41,1315.15,1771.42,1906.61,1332.44
103,1584.57,1530.82,2573.37,1740.74,2430.35,1364.33,2079.31,2409.54,1572.22,1737.25,280.19,687.06,2331.41,2065.84,1659.90,2355.73,1698.09,2022.81,2484.17,1643.11,1713.37,1884.83,1211.58,1777.63,1719.36,955.30,1379.57,1995.78,2046.90,1949.03,1706.60,1955.64,1550.31,1347.94,1810.79,1933.10,1363.18
104,1618.24,1569.82,2607.50,1777.62,2465.69,1398.06,2116.55,2444.58,1609.20,1773.81,296.36,711.63,2365.49,2096.29,1691.56,2391.19,1730.36,2053.44,2516.62,1681.03,1739.84,1922.08,1234.34,1808.85,1757.54,982.58,1418.22,2031.21,2078.17,1982.46,1745.93,1986.43,1585.88,1379.01,1851.32,1960.19,1394.82
105,1653.57,1608.92,2642.52,1816.99,2501.35,1431.74,2154.27,2480.25,1647.25,1811.94,312.33,737.13,2399.54,2127.84,1724.65,2427.67,1761.79,2084.94,2549.32,1719.16,1766.67,1960.03,1257.60,1841.07,1796.68,1009.40,1456.34,2067.26,2109.59,2017.23,1785.93,2017.00,1621.88,1411.76,1892.67,1987.85,1428.75
106,1690.05,1647.56,2677.40,1856.68,2537.38,1465.36,2192.84,2517.17,1686.09,1851.32,329.56,763.63,2434.99,2159.06,1758.49,2465.84,1795.32,2117.71,2582.69,1757.49,1794.12,1998.70,1281.00,1873.30,1835.27,1036.83,1494.71,2103.59,2141.94,2052.25,1825.98,2048.02,1658.73,1444.69,1933.54,2015.15,1462.82
107,1726.00,1687.80,2712.77,1897.01,2574.28,1500.72,2232.67,2554.13,1726.43,1890.84,346.46,792.25,2470.41,2191.24,1792.58,2503.25,1828.42,2150.49,2615.82,1796.76,1821.77,2037.02,1304.02,1906.13,1874.65,1066.26,1533.63,2141.07,2174.56,2087.79,1867.67,2079.47,1696.18,1479.21,1975.31,2042.54,1496.68
108,1763.28,1728.47,2747.89,1936.26,2610.95,1536.02,2272.41,2590.48,1766.39,1931.11,364.09,822.20,2505.43,2222.66,1826.56,2539.84,1861.42,2182.89,2649.14,1836.64,1849.39,2076.09,1326.95,1939.46,1914.67,1098.23,1572.96,2178.47,2206.98,2123.61,1909.72,2111.56,1733.80,1513.76,2017.39,2069.88,1531.46
109,1799.87,1768.83,2783.66,1976.39,2646.93,1570.65,2311.93,2627.31,1806.23,1971.09,382.87,853.53,2540.91,2253.86,1859.18,2575.84,1894.14,2214.17,2682.34,1876.26,1876.79,2115.16,1350.93,1972.84,1954.76,1130.25,1612.54,2215.85,2239.36,2159.95,1951.58,2143.99,1771.70,1549.24,2059.47,2097.68,1566.37
110,1836.40,1809.23,2819.06,2017.29,2682.96,1604.58,2350.19,2663.91,1846.02,2011.01,402.39,885.22,2576.54,2284.69,1892.22,2612.82,1926.99,2245.49,2716.29,1916.31,1904.37,2153.19,1373.90,2006.06,1994.88,1161.62,1653.49,2252.45,2271.53,2195.38,1992.34,2176.30,1810.03,1583.93,2101.90,2125.02,1601.73
111,1872.87,1849.85,2855.54,2058.65,2720.24,1638.31,2388.04,2701.08,1887.36,2051.43,421.57,916.03,2612.64,2316.12,1925.33,2649.80,1960.29,2277.72,2750.24,1956.31,1931.44,2190.79,1397.57,2039.18,2035.64,1191.74,1694.16,2289.03,2304.11,2230.26,2033.77,2208.90,1848.90,1619.81,2145.07,2152.59,1636.59
112,1908.68,1890.40,2891.47,2100.31,2756.91,1672.66,2425.97,2738.00,1929.18,2091.49,440.05,948.67,2648.26,2348.37,1958.80,2686.60,1993.22,2310.30,2784.22,1995.76,1959.59,2229.14,1421.54,2072.16,2076.91,1222.47,1734.69,2325.71,2336.43,2265.38,2075.37,2241.38,1887.82,1657.57,2188.32,2180.29,1671.38
113,1945.58,1930.61,2927.42,2141.25,2794.79,1707.59,2464.10,2774.92,1970.50,2131.05,457.27,980.72,2684.71,2380.12,1992.15,2723.19,2026.35,2342.98,2818.50,2035.01,1987.52,2267.39,1445.94,2105.34,2117.41,1252.79,1775.02,2362.61,2369.35,2300.49,2116.16,2273.55,1926.89,1693.12,2231.15,2209.43,1706.16
114,1982.58,1970.64,2963.92,2182.06,2832.22,1742.21,2502.58,2812.07,2010.36,2170.15,475.29,1012.31,2721.29,2411.89,2025.83,2760.21,2059.63,2375.66,2853.07,2075.24,2015.87,2306.62,1470.41,2138.32,2157.97,1281.26,1815.10,2399.68,2402.13,2336.58,2157.33,2305.22,1964.54,1728.69,2273.70,2237.68,1740.84
115,2020.44,2011.23,2999.84,2222.87,2870.38,1776.76,2541.91,2849.97,2050.24,2210.90,493.26,1042.84,2757.99,2443.91,2059.77,2797.99,2092.76,2408.39,2887.57,2114.52,2044.40,2345.67,1495.01,2171.85,2198.99,1310.26,1855.87,2437.06,2434.88,2372.24,2198.97,2337.81,2003.04,1763.21,2316.47,2266.38,1777.08
116,2056.84,2052.14,3035.87,2263.20,2908.38,1812.29,2581.43,2887.03,2091.08,2251.71,511.03,1073.62,2794.11,2475.63,2093.98,2834.84,2126.71,2441.42,2921.35,2153.87,2073.00,2384.49,1520.01,2206.25,2240.41,1340.93,1896.14,2474.69,2468.06,2408.43,2241.14,2370.95,2041.79,1798.38,2359.44,2295.65,1812.29
117,2092.82,2092.45,3072.02,2304.48,2945.59,1846.82,2620.82,2924.36,2132.08,2290.79,528.76,1104.93,2830.06,2508.53,2128.39,2872.25,2161.04,2474.39,2955.23,2193.89,2101.80,2423.47,1545.13,2240.40,2281.88,1371.15,1935.72,2512.22,2501.16,2444.05,2283.14,2404.11,2079.82,1833.69,2402.41,2324.20,1847.51
118,2129.61,2132.31,3109.10,2345.31,2982.85,1881.20,2660.45,2962.84,2172.54,2330.00,547.69,1136.24,2866.66,2541.25,2163.28,2910.62,2194.91,2507.56,2990.06,2234.49,2130.50,2462.45,1570.18,2274.63,2322.68,1401.08,1975.22,2550.34,2534.38,2480.24,2323.26,2437.23,2118.09,1868.69,2444.81,2352.52,1882.85
119,2166.44,2173.10,3146.48,2386.18,3020.80,1915.63,2699.95,3000.26,2213.65,2370.12,568.61,1169.90,2903.21,2574.82,2197.99,2948.32,2230.01,2541.53,3025.16,2275.09,2159.58,2502.67,1594.90,2309.80,2364.51,1430.98,2016.59,2588.82,2568.21,2516.06,2363.71,2471.23,2157.32,1903.43,2488.06,2381.57,1917.44
120,2204.66,2214.60,3182.96,2427.37,3058.50,1950.30,2740.65,3037.24,2254.19,2411.18,589.84,1204.93,2939.74,2608.25,2233.33,2985.54,2264.88,2574.80,3060.14,2316.52,2188.75,2542.80,1619.99,2344.63,2406.60,1460.33,2058.76,2627.75,2602.03,2552.42,2405.97,2505.23,2197.04,1936.56,2532.29,2411.82,1953.78
121,2242.76,2256.48,3219.63,2470.49,3095.10,1985.18,2780.78,3074.16,2296.89,2452.01,609.62,1239.52,2975.92,2641.63,2267.18,3022.78,2298.88,2608.73,3095.32,2357.24,2218.52,2583.58,1645.06,2379.28,2447.42,1489.51,2101.21,2666.08,2635.88,2589.58,2447.04,2538.54,2236.57,1968.98,2575.72,2441.40,1991.18
