# All climatologies for cumulative degree days > 20, 1991-2020
# Cumulative degree days starting March 1 from ACIS
#
d_since_march1,GULKANA_AIRPORT,TANANA_AIRPORT,KETCHIKAN_AIRPORT,COLLEGE_OBSERVATORY,AUKE_BAY,BETHEL_AIRPORT,ANCHORAGE_MERRILL_FIELD,SKAGWAY_AIRPORT,EAGLE,BIG_DELTA_AIRPORT,BARROW_AIRPORT,KOTZEBUE_AIRPORT,JUNEAU_AIRPORT,KODIAK_AIRPORT,ILIAMNA_AIRPORT,HAINES_AIRPORT,KING_SALMON_AIRPORT,CORDOVA_AIRPORT,SITKA_AIRPORT,MCGRATH_AP,COLD_BAY_AIRPORT,TALKEETNA_AIRPORT,SAINT_PAUL_ISLAND_AIRPORT,KENAI_AIRPORT,NORTH_POLE,NOME_AIRPORT,BETTLES_AIRPORT,ANCHORAGE_TED_STEVENS_INTERNATIONAL_AIRPORT,YAKUTAT_AIRPORT,ALYESKA,NENANA_MUN_AP,HOMER_AIRPORT,NORTHWAY_AIRPORT,CHICKEN,FAIRBANKS_INTL_AP,DUTCH_HARBOR,MCKINLEY_PARK
17,0.00,0.00,295.78,0.00,212.62,0.00,55.89,196.01,0.00,0.00,0.00,0.00,201.71,210.16,29.47,171.89,32.59,164.09,294.32,0.00,175.49,25.27,90.09,30.01,0.00,0.00,0.00,64.56,181.33,104.34,0.00,138.58,0.00,0.00,0.00,251.85,0.00
18,0.00,0.00,313.75,0.00,226.80,0.00,62.87,209.05,0.00,0.00,0.00,0.00,214.86,222.03,29.47,184.04,32.59,175.76,312.52,0.00,184.61,30.12,95.57,34.56,0.00,0.00,0.00,71.21,192.95,112.07,0.00,147.11,0.00,0.00,0.00,266.03,0.00
19,0.00,0.00,332.42,0.00,240.89,0.00,69.33,223.32,0.00,0.00,0.00,0.00,228.08,234.11,30.61,196.58,33.34,186.13,331.39,0.00,193.07,34.40,99.17,37.73,0.00,0.00,0.00,77.13,204.97,120.05,0.00,155.58,0.00,0.00,0.00,280.34,0.00
20,0.00,0.00,351.24,0.00,256.21,0.00,76.76,238.17,0.00,0.00,0.00,0.00,242.15,246.74,33.43,209.67,36.39,197.20,350.01,0.00,201.20,38.93,103.77,41.61,0.00,0.00,0.00,83.81,217.67,128.13,0.00,164.82,0.00,0.00,0.00,292.91,0.00
21,0.00,0.00,371.01,0.00,271.40,0.00,84.76,253.42,0.00,0.00,0.00,0.00,257.08,260.74,36.84,223.21,40.57,209.02,369.39,0.00,210.63,44.68,108.70,46.31,0.00,0.00,0.00,91.33,230.84,136.65,0.00,174.66,0.00,0.00,0.00,305.96,0.00
22,0.00,0.00,390.01,0.00,286.81,0.00,93.98,269.84,0.00,0.00,0.00,0.00,271.55,274.31,41.22,238.25,44.94,222.02,388.29,0.00,221.43,50.78,113.70,52.49,0.00,0.00,0.00,99.60,244.06,146.15,0.00,185.69,0.00,0.00,0.00,320.96,0.00
23,1.76,0.00,409.34,0.00,302.59,0.00,104.48,285.57,0.00,0.48,0.00,0.00,286.65,289.23,47.11,253.27,50.67,236.20,407.09,0.00,231.63,58.38,118.56,60.21,0.00,0.00,0.00,109.18,257.71,156.67,0.00,197.31,0.00,0.00,0.00,336.47,0.00
24,3.66,0.00,429.17,0.69,319.20,0.00,115.20,302.88,0.00,1.63,0.00,0.00,302.50,304.03,52.95,269.44,56.35,249.77,427.06,0.00,242.00,66.41,123.04,68.81,1.39,0.00,0.00,119.63,271.66,167.10,0.00,209.47,0.00,0.00,0.00,350.74,0.00
25,4.57,0.00,449.30,2.04,336.58,0.00,124.77,320.46,0.00,1.63,0.00,0.00,319.40,318.11,57.83,285.85,60.83,263.42,446.81,0.00,253.12,74.03,128.28,77.19,1.39,0.00,0.00,129.23,286.09,178.30,0.00,221.83,0.00,0.00,0.00,364.60,0.00
26,6.16,0.00,469.12,2.04,353.77,0.00,133.99,337.88,0.00,1.63,0.00,0.00,335.85,331.68,62.40,301.87,66.26,277.50,466.01,0.00,264.62,81.61,133.73,85.17,1.39,0.00,0.00,138.58,300.72,189.62,0.00,233.16,0.00,0.00,0.00,378.85,0.00
27,8.75,0.00,489.04,2.04,371.02,0.00,143.90,355.53,0.00,2.07,0.00,0.00,352.78,346.05,68.79,317.85,73.41,291.52,486.06,0.00,275.37,89.93,139.02,92.95,1.66,0.00,0.00,148.70,315.19,200.73,0.00,245.90,0.00,0.00,0.00,394.08,0.00
28,12.66,0.00,509.67,3.20,388.10,0.00,154.66,373.11,0.00,3.44,0.00,0.00,369.58,360.12,74.47,334.59,80.78,306.05,506.49,0.00,285.05,99.55,143.09,101.95,1.66,0.00,0.00,159.52,329.72,212.44,0.00,258.52,0.00,0.00,0.00,408.54,0.00
29,15.47,0.00,530.25,5.72,405.67,0.00,164.81,391.19,0.00,5.34,0.00,0.00,386.83,373.80,78.35,351.48,85.95,319.68,526.27,0.00,295.18,108.62,147.54,110.10,1.66,0.00,0.00,170.09,343.87,224.24,0.00,269.88,0.00,0.00,0.00,422.93,0.00
30,19.35,0.00,550.98,8.03,423.34,0.00,175.24,408.42,0.00,7.90,0.00,0.00,403.70,387.53,84.94,368.00,93.02,333.61,545.45,0.15,306.53,118.52,152.57,119.50,2.96,0.00,0.00,181.29,357.39,235.81,0.00,282.78,0.00,0.00,0.70,436.88,0.00
31,23.63,0.00,570.85,12.61,440.04,0.63,186.79,425.71,0.30,12.80,0.00,0.00,419.43,402.23,93.35,384.57,101.25,347.21,565.17,2.92,318.65,129.19,160.05,129.45,6.25,0.00,0.00,193.04,370.97,248.11,1.62,296.16,0.53,0.00,4.05,450.99,2.24
