# Data from NWS-APRFC_AK_BreakupDate.csv 
# Means and std of breakup day in days since March 1 
# Only sites with more than 20 data points since 1980 on selected Rivers
# 
,siteID,mean,std,lat,lon 
0,Buckland River at Buckland,75.0909090909091,8.326777724469848,65.978508,-161.120656
1,Chena River at Fairbanks,53.93333333333333,7.5746097354040725,64.844761,-147.719989
2,Chisana River at Northway,52.8125,5.991593573364861,62.983449,-141.958823
3,Gakona River at Gakona,59.23529411764706,10.476695128711361,62.305650,-145.285421
4,Gulkana River nr Gakona,58.484848484848484,9.421123911592277,62.299913,-145.370357
5,Kobuk River at Ambler,75.52631578947368,6.828940173817736,67.084932,-157.851781
6,Kobuk River at Kobuk,73.33333333333333,6.944643272007469,66.907427,-156.889256
7,Kobuk River at Shungnak,74.8125,7.045646104670461,66.886574,-157.132841
8,Koyukuk River at Allakaket,67.88888888888889,6.688060909573023,66.565835,-152.650807
9,Koyukuk River at Bettles,67.4390243902439,6.580458876430294,66.922616,-151.519083
10,Koyukuk River at Hughes,68.38888888888889,6.863059616642368,66.047712,-154.263359
11,Kuskokwim River at Akiak,66.8108108108108,7.884012789034382,60.910289,-161.211268
12,Kuskokwim River at Aniak,64.575,7.652341689530944,61.586480,-159.539776
13,Kuskokwim River at Bethel,67.25581395348837,8.610881884087451,60.778704,-161.744292
14,Kuskokwim River at Crooked Creek,63.62162162162162,7.080298767045825,61.864059,-158.119884
15,Kuskokwim River at Kalskag,64.79411764705883,7.470261898636794,61.524238,-160.342483
16,Kuskokwim River at McGrath,63.81395348837209,7.112215561149799,62.951482,-155.586175
17,Kuskokwim River at Nikolai,50.4054054054054,7.783384937228859,63.010581,-154.376836
18,Kuskokwim River at Red Devil,62.729729729729726,7.225143784223444,61.784541,-157.332662
19,Kuskokwim River at Sleetmute,61.6764705882353,7.3142475668250215,61.677972,-157.109573
20,Kuskokwim River at Stony River,62.48571428571429,6.577016257935118,61.786283,-156.595162
21,Kuskokwim River at Tuluksak,66.12903225806451,7.37898789574772,61.107217,-160.984981
22,Susitna River at Sunshine,59.411764705882355,6.090815972896102,62.175057,-150.175444
23,Tanana River at Nenana,58.76744186046512,6.7218095965663665,64.566435,-149.091492
24,Tanana River nr Manley Hot Springs,61.32258064516129,7.422430405081585,64.969939,-150.652862
25,Yentna River at Lake Creek,59.03225806451613,5.9748577163965,61.904176,-150.913123
26,Yukon River at Alakanuk,79.37142857142857,7.7272844110818095,62.670760,-164.610513
27,Yukon River at Anvik,73.6470588235294,6.9843216322776565,62.651910,-160.174711
28,Yukon River at Circle,67.02564102564102,5.787860160384611,65.830226,-144.008404
29,Yukon River at Dawson,62.651162790697676,5.079762465998136,64.061648,-139.441616
30,Yukon River at Eagle,62.69767441860465,5.877863572522516,64.789821,-141.196132
31,Yukon River at Fort Yukon,68.1025641025641,5.771047846999854,66.557310,-145.286436
32,Yukon River at Galena,69.85714285714286,5.920495317822857,64.728625,-156.947021
33,Yukon River at Holy Cross,72.19444444444444,7.070338219610329,62.214564,-159.743813
34,Yukon River at Kaltag,71.24324324324324,6.705741343577678,64.327760,-158.713890
35,Yukon River at Marshall,72.2258064516129,7.116692478107856,61.848403,-162.127789
36,Yukon River at Mountain Village,74.47222222222223,7.96594936001662,62.077988,-163.725535
37,Yukon River at Ruby,68.64864864864865,6.133769079703208,64.744070,-155.495164
38,Yukon River at Russian Mission,72.11111111111111,7.257617782235151,61.786511,-161.309024
39,Yukon River at Tanana,67.15789473684211,6.0158633349084525,65.168755,-152.104701
40,Yukon River nr Emmonak,78.35135135135135,7.867712558355247,62.753419,-164.497907
