# Data from NWS-APRFC_AK_BreakupDate.csv 
# Means and std of breakup day in days since March 1 
# Only sites with more than 20 data points since 1980 on selected Rivers
# 
,siteID,mean,std
0,Buckland River at Buckland,75.1470588235294,8.2061778389033
1,Kobuk River at Ambler,75.52631578947368,6.8289401738177355
2,Kobuk River at Kobuk,73.45,6.894628157913769
3,Kobuk River at Shungnak,74.8125,7.045646104670464
4,Kuskokwim River at Akiak,67.05263157894737,7.918324175764043
5,Kuskokwim River at Aniak,55.8780487804878,56.19795152937125
6,Kuskokwim River at Bethel,67.5,8.662938971729345
7,Kuskokwim River at Crooked Creek,63.81578947368421,7.085788072129272
8,Kuskokwim River at Kalskag,65.02857142857142,7.489151818329174
9,Kuskokwim River at McGrath,63.97727272727273,7.112022694537116
10,Kuskokwim River at Nikolai,50.6578947368421,7.833663723952639
11,Kuskokwim River at Red Devil,62.94736842105263,7.252016936299947
12,Kuskokwim River at Sleetmute,61.91428571428571,7.341948084852702
13,Kuskokwim River at Stony River,62.69444444444444,6.602248294307216
14,Kuskokwim River at Tuluksak,66.4375,7.46578215767152
15,Tanana River at Nenana,58.93181818181818,6.732074310664797
16,Tanana River nr Manley Hot Springs,61.59375,7.461122353519848
17,Yukon River at Alakanuk,79.52777777777777,7.673651062885301
18,Yukon River at Anvik,73.74285714285715,6.904145630761007
19,Yukon River at Circle,67.125,5.747630503977826
20,Yukon River at Dawson,62.75,5.062975501642542
21,Yukon River at Eagle,62.86363636363637,5.91250511220944
22,Yukon River at Fort Yukon,68.2,5.7298140659858445
23,Yukon River at Galena,70.02325581395348,5.950143544058906
24,Yukon River at Holy Cross,72.32432432432432,7.0160690721532415
25,Yukon River at Kaltag,71.36842105263158,6.659360624416676
26,Yukon River at Marshall,72.5625,7.255420665423751
27,Yukon River at Mountain Village,74.64864864864865,7.927505619382765
28,Yukon River at Ruby,68.8157894736842,6.137414118550979
29,Yukon River at Russian Mission,72.4054054054054,7.376612665337283
30,Yukon River at Tanana,67.28205128205128,5.986602225622414
31,Yukon River nr Emmonak,78.52631578947368,7.835252430798799
