# Correlations from linear regression between last Nenana ice thickness and breakupdate 
# Data sent by Bob Busey, after Nenana Ice Classic site (cleaned up)
# 
,location,slope,R2,r_value,p_value,std_err
0,Chena River at Fairbanks,0.488939752281117,0.21234300703214573,0.4608069086202438,0.015563298288560153,0.1883366879658685
1,Kuskokwim River at Nikolai,0.5097584096568464,0.26560543072754006,0.5153692178696163,0.001813321956342302,0.14984272523034256
2,Gakona River at Gakona,-0.028885318507619877,0.000422195771603737,-0.02054740303794465,0.9157451309373265,0.2704871518381438
3,Gulkana River nr Gakona,0.024419240455991403,0.0003181285963959331,0.017836159799573818,0.9254675840892673,0.2586918158520153
4,Tanana River at Nenana,0.39527604804497174,0.16895445995731304,0.41104070352863237,0.014169239019911366,0.15260582470289089
5,Yukon River at Dawson,0.1818370213090053,0.07588206737568233,0.2754669987052575,0.10923051292425125,0.11046366804644732
6,Yentna River at Lake Creek,0.3092307972905312,0.12496049233295166,0.3534975138992517,0.05995040040191832,0.1574810584721873
7,Susitna River at Sunshine,0.1825895892152424,0.04874797523388076,0.22078943641823257,0.2684252690596645,0.16131528264227493
8,Yukon River at Eagle,0.13523905182571777,0.026760307928233078,0.16358578155889061,0.34773822531683785,0.14197422293753148
9,Kuskokwim River at Stony River,0.2647754940197531,0.09107147238230397,0.30178050364843645,0.09895971066302356,0.15532897495386735
10,Kuskokwim River at Sleetmute,0.37350002297495905,0.14411413724458788,0.3796236784561625,0.03517190410210587,0.16902317962804356
11,Tanana River nr Manley Hot Springs,0.28647206277037124,0.08301836522765434,0.2881290773727191,0.14499637997653306,0.1904169046859564
12,Kuskokwim River at McGrath,0.2660927723736865,0.07651653425428324,0.2766162219651683,0.10770020510659713,0.16092111204321544
13,Kuskokwim River at Red Devil,0.2790022321340178,0.08668810436021349,0.2944284367383923,0.09626316441266415,0.16265096150546396
14,Kuskokwim River at Crooked Creek,0.3998186255331859,0.17223995390682437,0.41501801636413854,0.020255644106098182,0.1627606077060346
15,Koyukuk River at Allakaket,0.07173962109151027,0.005767979150541958,0.07594721292148882,0.6744352160630601,0.16916490288625868
16,Yukon River at Tanana,0.18427713005408997,0.05174887197860313,0.22748378399042674,0.2184196803253125,0.14648180444446643
17,Yukon River at Fort Yukon,0.1652640887443079,0.045127903178581306,0.21243329112589981,0.22774731195467152,0.13438584547203455
18,Yukon River at Circle,0.19151256910895875,0.059012434502977835,0.24292475070066005,0.1662547359912924,0.1351893468190492
19,Koyukuk River at Bettles,0.09796663030003426,0.011037177411513006,0.10505797167046871,0.5480898270551001,0.16142922855781552
20,Koyukuk River at Hughes,0.09072716007228063,0.008141645848721379,0.09023106919859356,0.6353678563361427,0.18924613796541365
21,Kuskokwim River at Aniak,0.3848605761529771,0.12800338223893054,0.3577756031913447,0.03484358284791195,0.17486107072148602
22,Yukon River at Ruby,0.20031275134158713,0.05635584108262632,0.2373938522426946,0.19847384436516632,0.1522103754745901
23,Kuskokwim River at Kalskag,0.2936160953435289,0.08746560891399537,0.295745851896515,0.09471383949159701,0.17033542186376688
24,Kuskokwim River at Tuluksak,0.3068331333751373,0.0899130415111358,0.2998550341600684,0.10742406935239553,0.18448172059112858
25,Kuskokwim River at Akiak,0.3644371902893353,0.11273694455914446,0.3357632269310391,0.05221383763890033,0.1807343783362807
26,Yukon River at Galena,0.26652692265104244,0.1087362369245962,0.3297517807754739,0.053053678570882876,0.13283119816645564
27,Kuskokwim River at Bethel,0.546752320243799,0.18720533289176153,0.4326723158370102,0.009432327095765025,0.1983192993304498
28,Yukon River at Kaltag,0.2661115470430749,0.07871948656241873,0.28056993167910693,0.11984440679380809,0.16621029052195138
29,Yukon River at Holy Cross,0.2884614386555722,0.08617871532649851,0.29356211493736467,0.10294814255390454,0.17149748859590092
30,Yukon River at Anvik,0.25084771913100445,0.07000656274514327,0.2645875332383279,0.15766945051179343,0.17278327653327952
31,Buckland River at Buckland,0.32028983052078003,0.08647302715239319,0.29406296460518994,0.12878710036117563,0.20416290276752183
32,Kobuk River at Kobuk,0.15607082667460268,0.02710006812457758,0.16462098324508204,0.3599400501261526,0.16795377861289146
33,Yukon River at Russian Mission,0.2954241291517808,0.08754663096926436,0.29588279938053913,0.1060664552873376,0.1771057190818538
34,Yukon River at Mountain Village,0.35592822696602444,0.10505608813551567,0.32412356923789987,0.07032952161950087,0.1896658318438017
35,Yukon River at Alakanuk,0.3285775664854684,0.0867875683749263,0.29459729865517487,0.1140350608727502,0.20142623745683924
36,Yukon River nr Emmonak,0.38613780664741015,0.11472841580193985,0.3387158334089799,0.05791779597396463,0.19583236183494554
37,Yukon River at Marshall,0.34018812386736985,0.10441267121515821,0.3231294960463347,0.10736617697336695,0.20337187569542362
38,Chisana River at Northway,0.3610295491551665,0.2448117371759208,0.4947845361123575,0.011921069131921848,0.13221792250211759
39,Kobuk River at Ambler,0.18586690090577151,0.03139607590994953,0.17718937866009218,0.3402954722279178,0.19170722714474464
40,Kobuk River at Shungnak,0.22068711787396447,0.048592944400852725,0.2204380738458144,0.26920713129900176,0.1953005898311025
