,siteID,mean_days,std_days,lat,lon,objectid,huc6,name,river,locality,mean_date
19,Kuskokwim River at Nikolai,50.4054054054054,7.78338493722886,63.010581,-154.376836,22,190304,Upper Kuskokwim River,Kuskokwim River,Nikolai,04-20
20,Kuskokwim River at Sleetmute,61.6764705882353,7.31424756682502,61.677972,-157.109573,22,190304,Upper Kuskokwim River,Kuskokwim River,Sleetmute,05-02
21,Kuskokwim River at Stony River,62.4857142857143,6.57701625793512,61.786283,-156.595162,22,190304,Upper Kuskokwim River,Kuskokwim River,Stony River,05-02
22,Yukon River at Galena,69.8571428571429,5.92049531782286,64.728625,-156.947021,23,190902,Melozitna River-Yukon River,Yukon River,Galena,05-10
23,Yukon River at Kaltag,71.2432432432432,6.70574134357768,64.32776,-158.71389,23,190902,Melozitna River-Yukon River,Yukon River,Kaltag,05-11
24,Yukon River at Ruby,68.6486486486486,6.13376907970321,64.74407,-155.495164,23,190902,Melozitna River-Yukon River,Yukon River,Ruby,05-09
25,Yukon River at Tanana,67.1578947368421,6.01586333490845,65.168755,-152.104701,23,190902,Melozitna River-Yukon River,Yukon River,Tanana,05-07
26,Kuskokwim River at Akiak,66.8108108108108,7.88401278903438,60.910289,-161.211268,24,190305,Lower Kuskokwim River,Kuskokwim River,Akiak,05-07
27,Kuskokwim River at Aniak,64.575,7.65234168953094,61.58648,-159.539776,24,190305,Lower Kuskokwim River,Kuskokwim River,Aniak,05-05
28,Kuskokwim River at Bethel,67.2558139534884,8.61088188408745,60.778704,-161.744292,24,190305,Lower Kuskokwim River,Kuskokwim River,Bethel,05-07
29,Kuskokwim River at Crooked Creek,63.6216216216216,7.08029876704583,61.864059,-158.119884,24,190305,Lower Kuskokwim River,Kuskokwim River,Crooked Creek,05-04
30,Kuskokwim River at Kalskag,64.7941176470588,7.47026189863679,61.524238,-160.342483,24,190305,Lower Kuskokwim River,Kuskokwim River,Kalskag,05-05
31,Kuskokwim River at Red Devil,62.7297297297297,7.22514378422344,61.784541,-157.332662,24,190305,Lower Kuskokwim River,Kuskokwim River,Red Devil,05-03
32,Kuskokwim River at Tuluksak,66.1290322580645,7.37898789574772,61.107217,-160.984981,24,190305,Lower Kuskokwim River,Kuskokwim River,Tuluksak,05-06
33,Buckland River at Buckland,75.0909090909091,8.32677772446985,65.978508,-161.120656,27,190502,Northern Seward Peninsula,Buckland River,Buckland,05-15
34,Koyukuk River at Allakaket,67.8888888888889,6.68806090957302,66.565835,-152.650807,31,190901,Koyukuk River,Koyukuk River,Allakaket,05-08
35,Koyukuk River at Bettles,67.4390243902439,6.58045887643029,66.922616,-151.519083,31,190901,Koyukuk River,Koyukuk River,Bettles,05-07
36,Koyukuk River at Hughes,68.3888888888889,6.86305961664237,66.047712,-154.263359,31,190901,Koyukuk River,Koyukuk River,Hughes,05-08
37,Chena River at Fairbanks,53.9333333333333,7.57460973540407,64.844761,-147.719989,38,190803,Tanana River,Chena River,Fairbanks,04-24
38,Chisana River at Northway,52.8125,5.99159357336486,62.983449,-141.958823,38,190803,Tanana River,Chisana River,Northway,04-23
39,Tanana River at Nenana,58.7674418604651,6.72180959656637,64.566435,-149.091492,38,190803,Tanana River,Tanana River,Nenana,04-29
40,Tanana River nr Manley Hot Springs,61.3225806451613,7.42243040508158,64.969939,-150.652862,38,190803,Tanana River,Tanana River,Manley Hot Springs,05-01
