# Data from NWS-APRFC_AK_BreakupDate.csv 
# Means and std of breakup day in Julian Day 
# Only sites with more than 17 data points since 1980 on selected Rivers
# 
,siteID,mean,std
0,Buckland River at Buckland,137.35294117647058,8.197865032271748
1,Colville River at Colville Village,151.72727272727272,7.55413364092369
2,Colville River at Umiat,143.42857142857142,6.225523500649796
3,Gakona River at Gakona,121.54285714285714,10.330830093471098
4,Gulkana River nr Gakona,120.76470588235294,9.273810708785712
5,Kobuk River at Ambler,137.78947368421052,6.822688281841746
6,Kobuk River at Kobuk,135.7,6.895557841735347
7,Kobuk River at Shungnak,137.125,7.033330785302493
8,Koyukuk River at Allakaket,130.26315789473685,6.615641622889166
9,Koyukuk River at Bettles,129.76190476190476,6.5993699766166625
10,Koyukuk River at Hughes,130.72972972972974,6.8054253220363705
11,Koyukuk River at Huslia,132.38888888888889,5.606077467816812
12,Kuskokwim River at Akiak,129.26315789473685,7.903759661402046
13,Kuskokwim River at Aniak,127.02439024390245,7.6631840799958875
14,Kuskokwim River at Bethel,129.75,8.656560894005661
15,Kuskokwim River at Crooked Creek,126.07894736842105,7.064879176669534
16,Kuskokwim River at Kalskag,127.2,7.411437901291886
17,Kuskokwim River at McGrath,126.22727272727273,7.093605493727028
18,Kuskokwim River at Napakiak,130.44827586206895,9.630999825327999
19,Kuskokwim River at Nikolai,112.92105263157895,7.854699330001287
20,Kuskokwim River at Red Devil,125.1842105263158,7.244215821840188
21,Kuskokwim River at Sleetmute,124.17142857142858,7.354413298012509
22,Kuskokwim River at Stony River,124.94444444444444,6.589794900100979
23,Kuskokwim River at Tuluksak,128.6875,7.428964674100449
24,Susitna River at Sunshine,121.91428571428571,6.06034083962585
25,Tanana River at Fairbanks D-S of Chena R,119.52380952380952,6.8162969977770755
26,Tanana River at Nenana,121.18181818181819,6.741998624632425
27,Tanana River nr Manley Hot Springs,123.84375,7.453552411326233
28,Yentna River at Fish Creek,122.875,5.4238803693361035
29,Yentna River at Lake Creek,121.5625,6.015772280350403
30,Yukon River at Alakanuk,141.80555555555554,7.603831532079992
31,Yukon River at Anvik,135.97142857142856,6.8834230296446295
32,Yukon River at Beaver,130.82142857142858,4.714466086015521
33,Yukon River at Circle,129.375,5.780992284623097
34,Yukon River at Dawson,125.0,5.025516287257296
35,Yukon River at Eagle,125.11363636363636,5.899215198457903
36,Yukon River at Fort Yukon,130.45,5.777720249549235
37,Yukon River at Galena,132.27906976744185,5.949492100752916
38,Yukon River at Holy Cross,134.54054054054055,6.9426003557528615
39,Yukon River at Kaltag,133.60526315789474,6.594590222231135
40,Yukon River at Koyukuk,132.05882352941177,7.309844288999033
41,Yukon River at Marshall,134.8125,7.235385715469003
42,Yukon River at Mountain Village,136.83783783783784,7.847552744906146
43,Yukon River at Nulato,132.65384615384616,6.5479297961557785
44,Yukon River at Pilot Station,135.03703703703704,8.460230409125904
45,Yukon River at Rampart,132.2962962962963,4.944420435935179
46,Yukon River at Ruby,131.05263157894737,6.133414764338732
47,Yukon River at Russian Mission,134.64864864864865,7.334152288423646
48,Yukon River at Stevens Village,131.76923076923077,5.006457368700483
49,Yukon River at Tanana,129.51282051282053,5.977465555478894
50,Yukon River nr Emmonak,140.78947368421052,7.809065745888749
