# AUKE_BAY
# Cumulative degree days > 20 starting March 1 from ACIS, gaps filled from climatology
# Excluded years (more than 10 days of missing data): 2016
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2017,2018,2019,2020,2021,2022
15,185.59,296.50,174.00,244.00,305.00,219.00,241.50,133.50,274.50,107.00,258.00,185.50,250.50,248.00,269.50,152.00,193.50,127.50,208.00,195.00,253.50,279.40,84.00,114.50,247.50,319.00,126.00,125.66,254.50,132.00,253.50,86.00,219.00,191.50,171.50,242.00,39.50,188.00,211.86,162.00,206.50,234.50
16,200.59,314.00,186.50,262.00,321.50,233.50,257.00,151.50,292.50,119.00,277.00,200.50,266.50,256.50,286.50,173.00,211.50,137.50,225.50,206.00,271.00,298.40,89.50,133.00,266.50,335.00,126.00,134.66,270.50,144.00,274.50,103.00,234.00,197.00,185.50,253.50,50.00,205.00,234.86,173.00,221.50,253.50
17,216.09,331.00,201.50,282.00,339.00,251.00,274.50,170.50,311.00,133.50,295.00,218.00,286.50,265.00,300.50,191.00,227.50,151.00,246.00,217.50,291.50,314.90,97.50,150.00,280.50,352.00,126.00,145.16,287.00,152.50,293.50,118.00,246.50,197.00,199.00,270.50,58.00,221.00,263.36,187.50,236.50,272.00
18,231.59,347.50,220.00,300.00,359.00,268.50,290.00,189.00,329.50,150.00,309.00,232.50,306.50,280.50,311.00,204.00,243.50,170.50,267.50,230.50,308.50,329.08,105.50,168.50,293.50,362.50,132.00,154.66,302.50,165.50,311.00,131.50,261.50,204.50,212.50,289.00,64.00,238.50,290.86,200.50,250.50,292.50
19,248.59,367.50,237.50,316.50,380.00,282.00,307.50,207.00,347.00,169.50,323.09,245.50,329.00,295.00,325.50,216.00,256.50,187.50,287.00,249.00,326.50,329.08,117.50,186.50,306.00,371.00,147.00,160.66,318.00,179.50,330.00,144.00,274.00,207.00,225.00,307.00,76.50,253.00,313.86,220.00,261.50,313.00
20,269.09,387.50,254.00,329.50,399.00,297.50,326.00,225.00,365.50,186.50,334.59,260.50,348.50,313.00,338.50,230.00,267.00,202.50,310.00,266.00,344.50,329.08,135.50,206.50,323.00,383.50,166.00,174.16,334.00,193.00,345.50,165.50,284.00,210.00,240.00,327.00,91.82,265.50,337.86,238.50,273.00,330.50
21,289.59,406.00,272.00,342.50,415.00,313.00,341.19,244.00,388.00,203.50,349.78,274.50,366.00,331.50,347.50,243.00,281.00,221.00,333.50,286.50,361.50,329.08,152.50,225.00,342.50,402.00,186.00,190.66,351.50,206.50,361.00,178.50,293.00,212.50,251.50,344.50,106.82,280.50,359.36,254.00,285.50,351.00
22,308.59,428.00,290.00,355.00,435.00,331.00,357.69,268.50,406.50,219.00,367.28,285.00,382.50,351.50,359.00,248.50,295.50,238.00,354.00,307.50,379.00,330.58,169.50,242.50,357.00,418.50,206.00,209.16,367.00,221.50,376.50,196.50,303.50,223.00,262.50,362.00,123.82,295.00,382.36,273.00,298.00,371.50
23,324.09,451.00,307.00,366.50,454.50,347.00,374.19,290.00,426.00,234.50,383.28,296.50,399.00,367.00,374.00,249.00,309.50,256.00,371.50,325.50,397.00,339.58,186.00,262.50,375.00,435.00,229.00,226.16,382.00,239.00,393.50,214.00,317.50,238.50,276.50,380.00,140.82,308.50,404.36,285.00,312.00,391.50
24,341.09,473.00,324.50,382.00,477.50,363.00,390.80,311.00,442.00,255.50,400.78,310.50,418.50,382.50,394.00,250.00,328.50,270.50,392.00,345.00,417.00,356.19,201.50,280.00,394.50,451.00,248.50,240.66,397.50,253.00,412.50,235.00,332.00,256.00,291.00,399.00,157.82,322.00,425.86,298.50,325.50,411.50
