# ANCHORAGE_MERRILL_FIELD
# Cumulative degree days > 20 starting March 1 from ACIS, gaps filled from climatology
# Excluded years (more than 10 days of missing data): 1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997
#
d_since_march1,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,0.00,0.00,6.50,4.00,6.00,15.00,12.00,6.00,0.00,0.00,0.00,0.00,10.50,0.00,0.00,4.00,8.50,5.50,14.00,0.00,0.00,0.00,3.00,0.00,9.50
1,0.00,2.50,10.50,9.00,14.50,16.98,24.50,6.50,0.00,0.00,7.00,0.00,24.00,0.00,0.50,9.50,13.00,12.50,26.50,0.00,0.00,0.50,3.00,0.00,17.00
2,0.00,2.50,24.00,9.00,17.50,37.98,38.00,14.50,0.00,0.00,16.00,0.00,38.50,0.00,3.00,11.00,15.50,26.50,34.50,0.00,2.50,8.00,3.00,0.00,26.50
3,0.00,2.50,39.50,11.00,17.50,50.98,49.00,21.50,0.00,0.00,36.00,0.00,44.00,0.00,3.00,17.50,28.50,42.50,38.50,0.00,2.50,10.00,3.00,0.00,45.00
4,0.00,2.50,47.50,27.50,17.50,62.98,55.00,33.50,6.50,0.00,54.50,7.50,54.00,0.00,3.00,24.50,38.50,58.50,48.00,0.00,2.50,11.50,3.00,0.00,57.00
5,0.00,2.50,54.00,39.00,17.50,70.98,55.00,42.50,15.00,0.00,72.00,7.50,58.00,4.00,3.00,32.50,38.50,76.50,60.50,0.00,2.50,21.50,3.00,0.00,61.00
6,0.50,2.50,58.50,55.50,17.50,77.48,55.00,57.00,20.00,0.00,88.50,7.50,58.00,6.00,3.00,44.00,38.50,95.50,71.50,0.00,2.50,29.50,3.00,0.00,61.00
7,2.50,2.50,62.00,70.00,17.50,82.98,55.00,74.00,20.50,0.00,107.00,7.50,60.00,10.50,3.00,61.00,38.50,103.00,83.50,0.00,6.50,41.50,6.00,0.00,64.50
8,3.50,2.50,67.00,86.00,17.50,86.48,55.00,93.50,20.50,0.00,128.00,13.00,60.00,14.00,3.00,78.00,38.50,103.00,96.50,0.00,18.00,58.00,9.50,2.00,75.50
9,9.00,2.50,68.50,104.50,17.50,88.48,69.50,110.50,20.50,0.00,144.50,21.00,60.00,14.00,3.00,90.50,46.50,103.00,108.00,0.00,25.00,76.00,9.50,8.50,89.00
10,10.00,6.50,71.50,123.00,17.50,88.48,79.50,132.00,20.50,0.00,156.00,33.50,60.00,14.00,3.00,99.00,62.00,103.00,110.35,0.00,25.00,93.50,9.50,8.50,105.00
11,19.00,16.50,84.00,142.50,17.50,88.48,89.00,152.00,20.50,0.00,166.00,43.00,60.00,14.00,3.00,104.00,75.00,103.00,126.85,0.00,32.00,105.00,9.50,8.50,119.50
12,26.00,29.00,98.00,158.00,17.50,88.48,96.00,169.00,20.50,0.00,173.50,51.00,60.00,14.00,3.00,104.00,88.50,103.00,140.85,4.50,46.00,119.00,9.50,8.50,125.50
13,40.00,42.00,113.00,172.50,17.50,88.48,110.00,184.50,20.50,0.00,176.50,54.00,64.50,14.00,6.00,107.00,101.00,103.00,152.35,4.50,55.50,136.50,9.50,8.50,125.50
14,55.00,50.00,128.50,186.50,17.50,92.98,123.00,195.00,20.50,0.00,182.50,54.00,74.50,16.00,7.50,107.00,101.00,103.00,168.85,4.50,64.00,149.00,9.50,8.50,125.50
15,71.50,50.00,146.00,202.50,27.00,108.98,130.00,209.00,20.50,0.00,193.00,54.00,82.00,28.00,7.50,107.00,101.00,114.00,181.35,4.50,80.50,167.50,14.00,8.50,136.50
16,87.00,50.00,162.00,215.50,29.50,121.98,135.50,219.00,20.50,0.00,201.50,54.50,88.00,39.00,7.50,107.00,108.00,130.50,189.85,4.50,93.50,184.00,15.00,8.50,145.00
17,107.50,51.00,174.50,222.50,31.50,132.48,136.00,230.50,20.50,0.00,205.50,54.50,92.50,49.00,7.50,107.00,118.00,145.50,197.35,4.50,110.50,202.50,24.00,8.50,157.00
18,126.50,62.50,185.50,229.00,38.00,144.98,136.00,240.00,27.00,0.00,213.00,54.50,106.50,57.50,7.50,107.00,122.00,159.50,198.85,4.50,124.00,219.50,36.00,8.50,172.00
19,147.50,74.00,202.00,229.00,40.50,150.48,136.00,247.00,37.00,0.00,219.50,54.50,121.50,64.00,7.50,107.00,125.00,176.00,208.35,4.50,135.50,238.00,52.50,8.50,186.00
20,165.00,85.50,219.00,231.00,43.50,150.48,138.50,254.00,53.00,4.50,234.00,54.50,128.50,76.50,7.50,107.00,134.50,189.50,227.85,4.50,143.50,254.00,63.00,8.50,193.50
21,179.50,94.00,235.00,231.00,43.50,150.48,147.00,263.00,62.00,9.00,248.00,55.00,138.50,90.00,7.50,115.00,138.50,208.50,248.85,4.50,151.50,275.50,72.00,8.50,201.50
22,199.00,107.50,251.50,235.50,43.50,153.48,159.00,275.50,73.50,10.50,257.50,63.00,150.50,106.00,7.50,124.00,142.50,224.50,268.85,4.50,155.50,296.00,80.50,13.50,213.50
23,216.50,122.50,265.00,240.00,47.00,159.48,174.00,286.50,88.00,10.50,270.00,76.50,164.50,120.00,15.50,125.50,149.00,240.50,293.35,4.50,162.50,315.00,94.00,17.00,229.50
