# SKAGWAY_AIRPORT
# Cumulative degree days > 20 starting March 1 from ACIS, gaps filled from climatology
# Excluded years (more than 10 days of missing data): 1980, 1981, 1987, 1990, 1992, 1993, 1994, 1995, 1996, 1997
#
d_since_march1,1982,1983,1984,1985,1986,1988,1989,1991,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
19,214.00,312.50,402.50,291.50,258.50,331.50,169.50,245.50,272.00,213.00,285.00,305.00,118.00,184.00,287.00,362.00,106.50,106.50,292.50,130.00,323.50,107.50,268.50,172.50,235.50,326.00,408.50,84.50,236.50,334.00,251.50,240.81,304.00
20,235.50,327.00,419.50,307.50,277.00,350.50,190.00,257.00,295.50,230.50,302.50,305.00,135.50,204.50,300.50,371.50,127.00,121.00,307.50,140.50,336.50,120.00,278.50,172.50,248.00,346.00,438.00,104.50,247.00,360.00,268.00,251.81,321.00
21,259.00,341.00,435.00,324.50,298.00,369.50,208.00,266.00,320.00,251.00,319.00,305.00,152.50,221.50,316.00,384.50,152.50,137.50,324.00,151.00,349.50,130.00,288.00,172.50,260.00,364.50,464.50,124.00,260.50,386.50,288.00,262.31,338.50
22,277.00,354.00,454.50,339.50,315.50,385.00,228.50,275.50,338.50,270.50,337.50,305.00,173.00,239.50,330.50,402.50,174.00,154.00,342.50,167.50,363.50,147.50,299.50,182.50,275.00,384.50,492.00,141.00,276.50,411.00,301.50,273.81,360.00
23,294.00,365.50,475.00,359.50,331.00,404.00,246.00,287.00,355.00,289.00,355.50,312.00,188.50,254.00,346.50,419.00,193.50,170.50,355.50,182.50,379.00,166.00,314.00,195.50,288.50,401.50,516.50,159.00,287.50,432.50,314.00,286.81,382.50
24,312.00,373.50,494.50,378.00,349.00,419.50,262.00,301.00,377.00,307.50,375.50,327.50,204.50,271.00,370.00,434.50,211.00,184.50,371.50,199.00,397.50,187.50,329.50,212.50,304.50,421.00,541.50,177.00,294.50,452.00,326.00,295.31,403.00
25,328.50,386.50,517.00,391.50,367.00,438.00,278.50,319.00,398.00,323.00,391.00,345.00,221.50,289.00,389.00,457.50,230.00,197.50,386.50,215.50,412.00,208.00,344.00,229.00,319.50,443.00,565.00,195.50,301.00,477.50,343.00,314.81,422.00
26,342.50,404.00,541.00,409.50,385.00,455.00,286.50,339.50,415.50,337.50,408.00,364.50,240.50,306.00,410.50,477.00,249.50,209.50,401.50,233.50,430.00,228.00,360.50,242.50,333.00,465.50,588.50,213.50,311.00,499.50,353.00,331.31,439.50
27,358.00,425.00,563.50,425.00,403.00,472.50,288.50,357.50,433.00,352.50,424.50,381.50,258.00,325.50,429.50,494.00,268.00,224.00,414.00,250.00,449.00,248.50,383.00,255.50,348.00,489.00,615.00,235.00,328.00,521.00,357.50,342.81,458.00
28,374.00,446.00,584.50,438.50,422.50,489.50,298.50,374.00,450.50,368.50,440.00,398.50,274.50,347.00,448.00,510.00,284.50,238.00,425.50,265.00,469.00,267.00,406.50,270.00,367.50,511.00,644.00,255.50,347.50,542.50,359.00,350.81,477.00
29,387.00,467.00,604.00,455.00,438.50,509.00,318.00,392.50,472.00,387.50,460.00,415.00,290.00,369.50,463.50,528.00,299.00,251.00,435.50,281.00,486.00,286.50,426.00,288.50,386.00,538.00,671.50,278.00,364.00,568.00,360.50,369.31,495.50
30,400.50,486.00,627.00,472.50,452.00,529.00,339.00,408.00,493.50,404.50,476.50,431.50,298.00,382.00,480.00,544.00,314.00,265.50,451.00,296.50,506.00,308.00,442.50,307.50,400.50,560.50,700.00,299.50,381.50,594.50,365.50,387.81,516.50
