# MCGRATH_AP
# Cumulative degree days > 20 starting March 1 from ACIS, gaps filled from climatology
# No years excluded (all years had 10 or fewer days of missing data)
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,0.00,16.50,0.00,0.00,0.00,0.00,0.00,0.00,10.50,7.50,0.00,0.00,0.00,2.50,0.00,10.00,14.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00
1,0.00,23.50,0.00,0.00,0.00,0.00,0.00,0.00,11.00,7.50,0.00,0.00,0.00,2.50,0.00,16.00,24.00,0.00,0.00,0.00,0.00,0.00,0.00,32.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00
2,0.00,26.00,0.00,0.00,0.00,2.50,0.00,0.00,16.00,7.50,3.00,0.00,0.00,2.50,0.00,16.00,32.50,0.00,0.00,0.00,0.00,0.00,0.00,49.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,6.00,0.00,0.50,0.00,0.00,0.00,5.00
3,0.00,27.00,0.00,0.00,0.00,10.50,0.00,0.00,22.00,7.50,3.00,0.00,0.00,2.50,0.00,16.50,42.00,0.00,0.00,0.00,0.00,0.50,0.00,52.50,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,26.50,7.00,0.00,0.50,1.50,0.00,0.00,18.50
4,1.50,29.50,0.00,0.00,10.00,15.50,0.00,0.00,22.00,7.50,3.00,1.00,0.00,2.50,0.00,16.50,42.00,0.00,0.00,0.00,1.00,0.50,0.00,52.50,0.00,0.00,1.00,0.00,16.50,8.00,0.00,0.00,0.00,0.00,0.00,36.00,7.00,0.00,6.00,3.50,0.00,0.00,19.00
5,3.00,29.50,4.00,0.00,25.00,15.50,0.00,0.00,22.00,7.50,3.00,12.00,0.00,2.50,0.00,16.50,42.00,0.00,0.00,0.00,7.00,0.50,0.00,52.50,0.00,0.00,1.00,0.00,21.50,8.00,0.00,0.00,0.00,0.00,0.00,42.50,7.00,0.00,15.00,7.00,0.00,0.00,23.00
6,13.50,30.50,6.50,0.00,34.50,15.50,0.00,0.00,23.50,7.50,3.00,19.00,0.00,2.50,0.00,16.50,42.00,0.00,0.00,0.00,7.00,0.50,0.00,52.50,0.00,0.00,1.00,0.00,29.50,8.00,0.00,0.00,0.00,9.00,0.00,49.00,7.00,0.00,23.00,9.00,0.00,0.00,23.00
7,22.50,30.50,16.50,0.00,48.50,19.00,0.00,2.50,23.50,7.50,3.00,19.00,0.00,2.50,0.00,16.50,42.00,0.00,0.00,0.00,7.00,3.50,0.00,52.50,0.00,0.00,1.00,0.00,38.00,8.00,0.00,0.00,0.00,24.50,0.00,49.00,7.00,0.00,26.50,17.00,0.00,1.00,31.50
8,28.00,34.50,25.00,0.00,64.50,29.50,0.00,2.50,23.50,7.50,3.00,19.00,3.50,2.50,0.00,16.50,42.00,0.00,0.00,0.00,7.00,5.50,0.00,52.50,0.00,0.00,1.00,0.00,39.50,8.00,0.00,0.00,0.00,30.50,0.00,49.00,7.00,0.00,28.50,25.50,0.00,2.00,40.00
9,28.00,34.50,29.50,0.00,69.50,38.50,0.00,2.50,42.00,7.50,3.00,19.00,17.00,2.50,0.00,16.50,42.00,0.00,0.00,0.00,7.00,6.00,0.00,52.50,1.00,0.00,1.00,0.00,39.50,8.50,0.00,0.00,0.00,31.50,0.00,49.00,7.00,0.00,28.50,36.00,0.00,2.00,40.00
10,28.00,37.00,30.00,0.00,74.00,42.00,0.00,2.50,63.00,7.50,3.00,19.00,18.00,2.50,2.50,16.50,42.00,0.00,0.00,0.00,7.00,6.00,0.00,52.50,9.00,7.00,1.00,0.00,46.50,12.50,0.00,0.00,0.00,31.50,0.00,49.00,7.00,0.00,28.50,48.50,0.00,2.00,40.00
11,28.00,49.50,30.00,0.00,80.50,50.00,0.00,2.50,78.50,7.50,3.50,19.00,18.00,2.50,2.50,16.50,42.00,0.00,0.00,0.00,7.00,8.00,0.00,52.50,10.50,18.50,1.00,0.00,48.00,14.50,0.00,0.00,0.00,31.50,0.00,49.00,7.00,0.00,28.50,58.00,0.00,2.00,40.00
12,28.00,59.00,30.00,0.00,85.00,50.00,0.00,2.50,78.50,7.50,3.50,22.50,18.00,2.50,2.50,16.50,44.00,0.00,0.00,0.00,7.00,11.00,0.00,52.50,18.50,32.50,1.00,0.00,48.00,14.50,0.00,0.00,0.00,31.50,15.00,49.00,7.00,0.00,28.50,63.50,0.00,2.00,40.00
13,28.00,72.50,30.00,0.00,88.50,50.00,0.00,2.50,78.50,7.50,3.50,22.50,18.00,2.50,2.50,16.50,56.00,0.00,0.00,0.00,7.00,17.00,0.00,52.50,20.50,47.00,1.00,0.00,48.00,14.50,0.00,0.00,0.00,31.50,16.50,49.00,7.00,0.00,28.50,63.50,0.50,2.00,40.00
14,28.00,82.50,30.00,0.00,91.50,50.00,4.00,2.50,78.50,7.50,3.50,22.50,22.50,2.50,2.50,16.50,56.00,5.00,4.50,0.00,7.00,18.50,0.00,52.50,28.00,56.00,1.00,0.00,48.00,14.50,0.00,0.00,0.00,31.50,16.50,49.00,7.00,0.00,28.50,72.50,0.50,2.00,40.00
