# ALYESKA
# Cumulative degree days > 20 starting March 1 from ACIS, gaps filled from climatology
# Excluded years (more than 10 days of missing data): 1980, 1981, 1989, 2012
#
d_since_march1,1982,1983,1984,1985,1986,1987,1988,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
16,81.86,155.19,281.50,126.00,100.00,94.00,246.50,106.14,96.50,147.00,183.50,150.24,29.50,147.00,82.00,149.50,66.44,222.50,239.00,48.50,139.50,167.50,242.50,35.50,2.50,196.00,82.50,121.00,37.50,164.00,159.00,151.50,256.00,0.00,119.50,228.00,31.50,37.00,223.00
17,96.86,166.69,298.00,135.00,113.00,102.50,261.50,113.64,106.00,158.50,185.50,150.24,35.50,160.00,82.00,166.50,66.44,239.00,252.00,60.50,152.00,172.50,253.00,35.50,2.50,203.50,87.50,134.50,47.00,165.00,170.50,170.50,267.50,0.00,135.50,247.00,41.50,37.00,234.50
18,113.36,176.69,306.50,147.00,123.50,115.50,274.50,117.64,110.50,173.50,194.00,150.24,38.00,171.00,94.00,184.00,73.94,252.00,255.00,74.50,164.50,172.50,267.00,42.00,2.50,207.00,89.50,150.50,55.00,165.00,181.00,189.00,276.50,0.00,152.50,265.50,50.00,37.00,249.00
19,129.36,188.19,314.48,160.00,131.50,130.50,287.50,120.14,110.50,189.50,204.00,150.24,43.00,178.50,107.50,205.00,87.44,265.00,259.00,85.50,175.00,172.50,279.50,51.50,2.50,216.00,91.00,169.00,63.00,165.00,186.50,206.50,286.00,1.50,169.00,284.00,63.00,37.00,264.00
20,146.36,204.19,327.98,174.50,142.50,144.00,299.00,123.64,110.50,205.00,218.00,158.32,43.00,185.50,118.50,222.00,101.44,281.00,259.00,95.50,179.00,173.00,289.50,63.00,2.50,226.50,91.00,185.00,73.50,165.00,195.50,222.50,304.00,6.00,181.50,309.50,80.00,37.00,278.00
21,159.36,218.69,340.48,188.50,155.50,160.00,311.50,136.14,113.50,219.50,231.50,158.32,43.00,195.50,129.00,239.00,116.44,299.00,259.00,101.00,179.50,177.00,301.50,80.00,6.50,240.00,91.00,195.50,86.00,165.00,206.00,240.50,329.00,6.00,188.00,331.00,93.00,37.00,288.00
22,172.86,232.69,349.98,201.50,167.50,179.00,325.00,147.64,123.00,234.00,247.00,167.82,43.00,208.00,138.50,255.00,130.44,316.00,259.00,107.00,181.00,189.00,314.00,95.50,10.00,252.50,97.00,208.50,99.50,172.50,214.00,259.00,350.00,6.00,192.50,351.00,104.00,39.00,296.50
23,184.36,243.21,359.98,217.50,180.50,196.00,336.50,159.64,133.00,248.50,254.00,181.32,43.00,221.00,142.00,275.00,147.94,331.00,268.50,115.50,185.00,205.00,324.00,107.50,11.50,260.00,108.50,220.00,114.50,181.00,222.50,277.00,375.50,6.00,199.00,370.50,117.00,44.00,307.50
24,193.36,259.71,371.48,231.50,194.00,208.50,347.00,177.64,144.50,264.00,259.00,196.82,43.00,233.00,142.00,291.00,163.44,345.50,277.00,126.50,192.00,219.50,336.50,119.50,11.50,273.50,121.00,235.50,128.00,185.00,231.50,296.50,398.50,6.00,207.50,390.50,133.00,51.00,326.00
25,198.86,276.21,386.98,238.50,206.00,223.00,351.50,196.14,161.00,279.50,263.00,212.82,43.00,247.00,142.50,308.00,179.44,359.00,295.50,141.00,207.50,227.50,347.50,133.00,11.50,284.50,133.50,248.00,142.00,185.00,241.00,320.50,417.00,6.00,219.00,410.00,150.50,62.00,343.00
26,203.86,293.21,404.98,243.50,209.50,238.00,358.00,215.64,177.50,289.50,272.50,227.82,48.50,263.50,146.50,320.00,197.44,365.50,315.00,154.00,221.50,231.50,363.00,146.50,11.50,292.00,150.50,259.50,154.50,185.00,250.50,339.00,432.50,10.50,233.00,427.50,165.50,68.50,358.50
27,211.86,312.71,418.98,246.00,214.50,252.00,366.00,233.14,189.50,296.50,286.50,239.82,65.50,278.00,157.61,332.00,212.94,366.00,331.00,163.50,234.00,239.50,373.50,161.00,12.00,301.00,161.00,272.50,167.00,185.00,261.50,358.50,448.00,16.50,246.50,450.50,172.00,76.00,373.00
28,214.36,328.21,429.98,252.50,214.50,269.00,377.50,248.14,202.50,300.00,303.00,258.82,82.00,291.50,171.61,341.00,224.44,373.50,344.50,172.00,245.50,245.00,381.50,175.00,14.00,307.50,169.50,290.50,177.50,192.00,271.00,377.50,462.50,29.50,261.00,472.00,174.00,84.50,389.00
29,218.36,344.71,443.48,261.00,214.50,285.00,391.50,265.14,213.00,301.00,317.50,276.32,99.00,305.00,179.61,356.00,236.44,391.50,360.50,176.50,255.50,245.00,386.00,184.00,16.00,316.00,181.00,309.50,195.00,206.00,279.50,394.00,484.50,39.00,271.50,491.50,176.00,95.50,405.50
30,220.86,358.71,456.98,261.00,214.50,299.50,407.00,281.64,222.00,305.00,338.00,295.82,119.50,319.00,189.11,365.50,246.44,408.00,368.50,177.50,261.50,245.00,395.00,195.50,21.00,329.00,187.50,327.50,214.00,223.00,288.50,411.50,505.50,51.00,280.50,510.50,179.50,107.00,422.00
31,220.86,377.71,474.98,261.00,214.50,311.00,420.50,294.64,229.00,320.00,357.50,315.32,138.50,327.50,201.61,377.80,259.44,420.50,376.00,180.00,266.50,245.00,411.50,211.50,28.50,345.00,192.50,343.00,228.50,236.00,298.50,431.00,533.50,68.00,289.00,532.00,184.50,115.00,440.50
32,221.36,394.21,492.98,261.00,227.52,326.00,433.50,307.14,242.50,337.50,376.00,334.32,158.00,333.50,217.11,392.30,274.44,431.00,384.00,183.00,269.50,248.50,421.50,229.00,40.50,362.00,197.50,359.00,243.00,246.00,311.00,448.00,556.50,85.00,301.00,552.50,195.50,116.00,457.50
