# COLD_BAY_AIRPORT
# Cumulative degree days > 20 starting March 1 from ACIS, gaps filled from climatology
# No years excluded (all years had 10 or fewer days of missing data)
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
17,204.00,250.00,280.00,199.50,227.50,248.00,143.00,247.50,105.50,200.50,158.00,256.00,170.50,218.50,137.00,147.00,294.50,156.50,305.00,67.50,257.50,245.50,236.50,183.50,195.50,305.00,214.00,18.50,147.00,202.00,28.00,167.50,43.00,192.00,205.00,223.00,214.50,101.50,271.00,250.50,200.00,193.50,216.00
18,220.50,267.00,296.50,215.00,243.00,259.50,154.00,265.50,118.50,201.50,177.00,261.00,182.50,233.50,137.00,160.00,312.00,159.00,318.00,79.50,274.50,254.50,250.00,187.50,203.00,325.00,230.00,23.50,147.00,202.00,39.00,184.00,43.00,196.50,212.00,242.50,224.00,105.50,286.50,263.00,215.00,212.00,216.00
19,239.00,290.00,317.50,235.00,260.00,268.00,163.00,283.50,131.00,206.50,195.00,276.50,186.50,250.00,138.50,170.00,331.00,162.50,328.00,89.00,292.00,263.50,268.00,191.50,206.50,342.00,239.50,31.96,147.00,202.00,42.50,202.00,43.00,203.50,231.50,258.00,228.50,107.00,302.00,278.00,227.50,229.00,217.50
20,257.00,309.50,336.50,253.50,280.00,275.50,171.50,298.00,138.50,212.00,210.50,294.50,193.00,260.50,148.50,173.50,348.00,171.50,335.00,98.50,305.50,271.00,284.50,198.50,216.50,347.00,243.50,40.09,147.00,202.00,45.00,218.50,43.00,216.50,251.50,276.50,235.00,112.50,313.50,293.00,240.50,246.50,224.00
21,274.00,327.50,346.00,271.00,296.50,280.50,180.50,306.00,141.50,226.50,230.50,314.00,208.50,267.00,162.50,182.00,361.50,184.50,346.50,108.50,319.00,278.00,303.00,204.00,226.00,352.00,248.50,40.09,147.00,202.00,49.00,231.50,43.00,232.00,267.50,297.00,244.50,115.50,330.50,311.00,253.50,254.50,230.00
22,290.00,345.00,352.50,288.50,313.00,284.00,193.50,313.00,141.50,242.00,248.00,333.00,226.00,271.00,181.00,192.50,377.00,196.00,360.50,120.50,335.50,282.50,319.00,209.50,239.50,361.00,256.00,40.09,147.00,202.00,52.50,246.50,58.50,245.00,287.00,314.50,258.00,120.50,346.00,330.00,267.00,265.00,233.00
23,306.00,364.00,352.50,305.00,331.00,288.00,206.00,324.00,141.50,260.00,265.50,351.50,239.00,280.00,188.00,199.00,392.50,201.50,377.50,133.50,342.00,285.50,334.50,217.00,257.00,371.50,266.50,40.09,147.00,202.00,64.00,257.00,67.50,247.50,305.50,333.00,273.00,125.50,362.00,350.00,288.50,291.00,236.00
24,325.00,381.50,354.00,322.50,349.00,297.00,211.00,337.00,141.50,277.00,284.00,371.00,247.00,297.00,188.00,206.00,410.00,208.00,389.50,144.50,342.50,288.00,351.50,226.00,273.00,381.00,273.50,49.09,147.00,204.00,76.50,267.50,71.50,250.00,321.50,350.50,290.50,137.00,380.00,370.50,307.50,306.00,237.50
25,343.00,401.00,363.00,337.50,366.00,298.00,215.50,351.50,141.50,293.00,299.50,390.00,255.00,317.00,188.50,215.00,430.50,224.00,405.00,155.00,346.00,291.00,365.50,234.00,280.00,389.00,281.00,49.09,147.00,209.50,85.50,276.50,85.00,259.50,337.00,370.50,308.00,149.00,396.50,388.50,329.50,320.00,243.00
26,358.00,420.50,380.00,351.00,384.00,299.50,218.00,366.00,147.00,306.00,314.00,405.50,266.50,335.50,204.00,230.50,449.00,237.50,419.50,166.00,346.00,296.50,379.50,240.00,281.50,405.50,296.00,49.09,147.00,212.00,94.00,285.00,94.00,275.50,355.50,390.00,327.50,161.00,411.00,405.00,348.50,333.00,256.50
27,373.00,440.50,396.00,366.50,399.00,305.50,218.00,379.50,152.00,318.00,331.50,415.00,281.00,353.50,215.50,242.00,469.00,247.00,441.50,171.00,348.50,301.50,390.00,249.50,282.00,418.00,312.50,49.09,156.00,222.50,94.50,293.50,101.00,293.00,369.00,408.50,341.50,165.50,425.50,422.00,362.00,356.00,268.50
28,390.00,460.50,410.50,382.00,410.00,310.50,220.00,393.00,171.00,331.00,349.50,420.50,295.00,371.00,226.00,250.50,487.50,254.00,453.00,175.50,352.50,306.50,397.00,263.00,282.00,423.50,324.00,58.59,172.00,231.00,94.50,304.50,108.00,310.00,386.50,424.00,355.50,170.50,439.50,441.50,366.00,374.50,281.50
29,406.00,474.00,423.50,401.00,423.00,314.00,232.00,405.50,187.00,340.50,363.50,428.00,306.50,388.00,236.50,258.50,504.00,261.50,468.50,189.00,353.00,309.00,405.50,278.50,282.00,424.00,339.50,73.09,188.50,240.00,94.50,313.00,113.50,321.00,404.50,436.50,374.00,181.50,451.50,459.50,370.50,386.50,296.50
30,424.50,491.00,431.00,418.50,440.00,314.00,247.00,421.00,198.00,354.50,375.00,442.50,316.00,406.50,253.00,265.00,521.50,263.00,484.00,201.50,360.00,315.00,414.00,300.00,282.00,424.50,353.50,90.09,206.00,242.00,105.00,324.00,118.00,333.50,422.00,445.00,398.00,189.00,464.00,482.50,377.50,398.00,311.00
31,441.00,509.00,437.00,438.00,454.50,314.00,263.00,438.50,203.00,367.50,392.50,457.00,324.50,424.50,270.00,273.00,536.50,263.00,498.00,207.50,365.00,330.50,429.50,322.00,282.00,434.00,368.50,105.59,219.50,247.00,111.50,333.50,120.00,348.50,441.50,455.50,418.50,199.00,485.00,505.00,391.50,405.00,317.50
32,459.00,526.50,443.00,455.00,467.50,329.00,273.00,455.50,204.50,374.50,408.00,473.50,334.00,443.50,287.00,278.50,546.00,271.00,515.50,218.50,374.00,351.00,449.50,340.00,282.50,447.00,386.50,120.09,230.50,262.50,117.00,348.00,120.50,366.00,463.50,466.00,437.00,207.50,503.50,528.00,405.00,418.00,332.50
33,476.50,541.00,458.00,471.50,485.00,344.00,280.50,467.00,205.00,382.50,420.50,491.00,345.50,459.50,303.50,284.00,555.00,288.00,529.50,232.50,390.00,365.00,466.50,358.50,283.50,457.00,409.00,134.59,247.50,266.50,120.50,357.50,120.50,383.50,483.00,477.00,454.50,214.50,519.50,554.00,427.00,437.50,345.00
34,495.00,555.50,477.50,485.00,501.50,351.50,290.00,479.00,205.00,397.00,430.50,503.50,358.50,477.50,323.50,291.00,561.00,304.50,542.50,249.00,408.00,377.50,483.50,377.50,283.50,458.00,421.00,148.09,259.50,272.00,131.00,370.00,129.00,402.50,503.00,497.00,475.50,223.00,533.00,577.00,453.50,454.50,358.00
35,512.50,576.00,497.00,497.50,517.50,354.50,290.00,494.00,205.00,411.00,441.50,515.00,370.00,494.50,342.50,299.00,565.50,317.00,555.00,262.00,422.00,397.00,496.50,394.00,296.50,462.00,431.00,163.09,272.50,288.50,135.00,382.50,129.00,421.50,522.00,521.00,495.00,230.50,542.00,598.00,466.00,467.00,364.50
36,526.50,593.50,515.00,507.00,534.50,360.00,291.50,511.00,205.00,426.50,455.50,532.00,381.50,513.50,362.50,308.00,573.50,328.50,567.50,272.00,434.00,415.00,510.00,409.00,312.50,464.50,448.50,179.59,285.00,306.50,135.00,400.00,138.00,434.00,533.00,537.50,515.00,239.00,552.50,617.50,478.00,486.00,366.50
37,542.50,609.50,530.50,515.00,551.50,365.00,291.50,531.50,205.00,442.00,476.50,545.50,393.00,532.00,379.50,317.50,586.50,341.50,582.00,282.00,442.00,432.50,523.00,417.50,327.50,476.50,467.00,195.09,294.50,321.00,138.00,418.00,151.00,438.50,540.50,553.00,534.00,248.00,565.00,631.50,485.50,508.50,371.00
38,560.50,624.50,549.50,529.50,559.00,372.50,301.00,549.00,205.00,459.50,493.50,556.00,406.50,547.00,389.00,325.00,605.00,358.00,600.50,296.50,454.00,448.50,535.00,426.50,343.00,490.50,485.50,205.59,304.50,334.50,139.50,430.50,159.50,440.50,549.50,570.50,554.00,260.00,585.00,643.50,496.00,516.00,375.00
39,580.00,641.50,570.00,550.00,562.50,379.00,318.00,567.50,208.00,477.50,512.50,566.50,419.00,559.50,393.00,333.00,625.00,377.00,622.00,311.50,468.00,464.00,548.00,435.00,361.00,500.00,499.50,221.09,309.00,350.50,145.50,442.00,171.00,443.00,567.00,583.00,572.00,272.00,603.00,662.50,512.50,526.00,377.50
40,600.00,662.00,585.00,568.50,571.50,379.00,338.50,578.00,224.50,490.00,527.50,578.50,431.50,572.50,396.00,344.50,646.00,393.50,638.50,323.50,483.50,474.00,559.00,447.00,378.00,507.50,516.50,236.59,310.00,357.00,162.00,454.50,184.50,448.50,587.50,595.50,590.50,288.00,618.50,686.00,530.00,544.00,388.00
41,618.00,680.00,590.50,588.00,581.00,379.00,357.00,585.50,241.00,499.00,544.50,592.00,437.00,591.50,407.00,351.50,665.00,412.50,655.50,333.00,502.50,482.50,567.00,459.50,392.00,518.00,538.50,251.59,316.50,357.50,178.50,459.50,196.00,449.00,610.00,604.50,608.50,305.50,637.00,708.50,550.00,566.00,404.50
42,635.00,697.00,591.50,604.00,584.00,379.00,375.00,594.50,256.00,511.00,563.50,601.50,439.50,610.50,422.00,359.00,683.00,434.00,677.50,341.50,520.00,493.50,577.00,480.00,408.50,529.50,552.50,265.59,333.00,361.00,199.00,463.50,205.50,449.50,630.50,611.00,629.50,323.00,654.50,731.00,572.00,583.50,424.00
43,652.00,711.50,601.00,618.00,587.50,383.00,395.00,608.50,268.00,525.00,583.50,623.00,451.50,629.50,431.50,374.00,702.00,452.00,699.50,344.50,537.00,503.00,593.50,499.50,422.50,548.50,561.00,276.09,357.50,373.50,213.00,465.50,215.00,455.00,650.00,616.50,647.00,344.50,670.50,752.00,592.00,598.00,444.50
