# BETHEL_AIRPORT
# Cumulative degree days > 20 starting March 1 from ACIS, gaps filled from climatology
# No years excluded (all years had 10 or fewer days of missing data)
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
17,66.50,145.00,98.00,29.00,156.00,58.00,56.50,52.50,15.00,32.50,13.00,51.50,39.50,32.50,27.00,35.00,116.00,0.50,161.00,0.00,137.00,74.50,71.50,62.00,80.00,120.00,9.00,0.00,51.00,59.50,1.00,0.00,1.50,65.50,16.50,73.00,47.00,0.00,73.50,169.00,44.00,28.50,78.50
18,74.50,161.50,112.50,37.50,156.00,65.50,58.00,52.50,15.00,32.50,13.00,51.50,51.00,47.50,27.00,35.00,116.00,0.50,181.50,7.50,145.00,74.50,83.00,62.00,80.00,128.00,9.00,0.00,51.00,59.50,10.50,14.00,1.50,65.50,16.50,82.50,47.00,0.00,77.50,169.00,56.00,28.50,78.50
19,86.50,177.50,124.00,49.00,161.00,65.50,58.00,52.50,15.00,35.50,13.00,51.50,51.00,63.50,27.00,35.00,122.50,0.50,198.00,15.50,158.50,74.50,96.50,62.00,80.00,128.50,9.00,0.00,51.00,59.50,15.00,28.50,1.50,65.50,16.50,95.50,47.00,0.00,79.50,169.00,68.00,28.50,78.50
20,95.00,189.00,138.50,62.50,164.50,66.00,58.00,57.50,15.00,35.50,13.00,54.50,51.00,71.50,27.00,35.00,136.50,0.50,206.50,20.50,167.50,74.50,110.00,62.00,80.00,128.50,9.00,0.00,51.00,59.50,15.00,40.00,1.50,66.00,16.50,102.00,47.00,0.00,86.50,182.50,69.50,28.50,78.50
21,104.00,197.00,138.50,76.50,164.50,66.00,58.00,69.50,15.00,35.50,22.00,65.00,51.00,71.50,27.00,35.00,147.50,0.50,214.00,32.00,175.00,74.50,118.00,62.00,80.00,128.50,9.00,0.00,51.00,59.50,15.00,48.50,1.50,66.00,16.50,105.00,60.50,0.00,90.50,202.50,69.50,28.50,78.50
22,113.00,201.50,138.50,86.00,164.50,66.00,61.00,78.00,15.00,37.50,30.50,78.50,63.00,71.50,27.00,35.00,158.00,0.50,224.00,40.00,177.00,74.50,127.50,62.00,81.00,133.00,9.00,0.00,51.00,59.50,15.00,55.00,1.50,66.00,16.50,113.50,73.00,0.00,91.50,222.00,76.00,28.50,78.50
23,128.00,210.50,138.50,93.50,164.50,66.00,61.00,92.00,15.00,47.50,34.50,93.00,75.50,71.50,27.00,35.00,167.00,0.50,240.50,54.50,177.00,74.50,141.00,62.00,81.00,133.00,9.00,0.00,51.00,59.50,15.00,55.00,1.50,66.00,19.50,126.50,86.00,0.00,96.50,237.50,88.00,39.00,78.50
24,138.00,219.00,138.50,98.00,164.50,66.00,61.00,103.00,15.00,55.50,46.50,106.00,75.50,71.50,27.00,35.00,181.00,0.50,248.00,69.00,177.00,74.50,154.00,62.00,81.00,133.00,9.00,0.00,51.00,59.50,22.00,55.00,1.50,66.00,19.50,142.00,99.00,0.00,102.50,257.00,101.00,39.50,78.50
25,145.50,231.50,138.50,100.00,165.00,66.00,61.00,111.00,15.00,62.50,62.50,120.00,75.50,79.50,27.00,35.00,191.00,0.50,248.00,76.50,177.00,74.50,163.50,62.00,81.00,133.00,9.00,0.00,51.00,59.50,22.00,55.00,1.50,66.00,19.50,155.00,103.00,0.00,116.50,272.00,109.50,41.00,82.50
26,153.50,245.00,143.50,100.00,170.50,66.00,61.00,122.50,15.00,62.50,78.50,130.50,75.50,96.00,36.00,35.00,202.00,0.50,248.00,81.00,177.00,74.50,167.50,62.00,81.00,133.00,9.00,0.00,51.00,59.50,22.00,55.00,11.00,66.00,23.50,174.00,103.00,0.00,129.50,284.50,119.50,41.00,92.00
27,161.50,258.00,153.00,104.50,183.50,66.00,61.00,133.00,15.00,62.50,93.50,138.50,75.50,112.50,51.00,38.00,216.00,0.50,253.50,81.00,177.00,74.50,167.50,62.00,81.00,133.00,9.00,0.00,51.00,59.50,22.00,55.00,20.00,73.00,23.50,190.50,105.50,0.00,135.50,299.50,119.50,43.00,103.00
28,167.50,275.00,153.00,104.50,194.00,66.00,61.00,145.00,15.00,62.50,106.50,138.50,75.50,128.00,59.00,50.50,228.50,0.50,253.50,81.00,177.00,74.50,167.50,66.50,81.00,133.00,9.00,0.00,52.50,66.50,22.00,55.00,25.00,77.00,25.00,204.00,105.50,0.00,137.00,314.00,119.50,55.00,114.50
29,180.50,286.50,153.00,104.50,204.50,66.00,61.00,154.50,15.00,62.50,113.00,138.50,75.50,142.00,61.50,61.50,240.00,0.50,257.00,81.00,177.00,74.50,167.50,66.50,81.00,133.00,21.00,5.50,64.50,66.50,22.00,55.00,26.50,77.00,25.00,204.00,108.50,0.00,143.00,332.00,119.50,55.00,132.50
30,195.00,298.00,153.00,104.50,218.50,66.00,61.00,166.00,15.00,62.50,113.00,140.00,75.50,158.50,70.00,70.50,249.00,0.50,267.00,82.50,177.00,74.50,167.50,66.50,81.00,133.00,25.00,14.50,79.50,66.50,22.00,55.00,26.50,77.00,25.00,204.00,118.00,1.00,149.00,350.50,121.50,55.00,148.00
31,207.00,310.00,153.00,104.50,232.00,66.00,61.00,177.50,15.00,67.50,113.00,149.00,75.50,177.50,88.50,78.00,254.50,0.50,272.00,82.50,177.00,74.50,167.50,79.00,81.00,133.00,26.00,27.50,90.00,66.50,22.00,55.00,26.50,78.00,29.00,204.00,138.00,7.50,161.00,369.50,126.50,55.00,153.50
32,221.00,322.00,153.00,112.50,245.50,66.00,61.00,195.00,15.00,67.50,125.50,156.00,75.50,192.50,102.50,82.50,257.00,0.50,282.00,82.50,177.00,86.00,168.50,88.00,81.00,133.00,26.00,43.00,97.50,66.50,22.00,55.00,26.50,81.00,38.00,204.00,153.00,12.00,168.50,386.00,129.00,55.00,161.50
33,237.00,331.00,153.00,123.50,262.00,66.00,61.00,211.00,15.00,67.50,140.50,160.00,79.50,208.50,113.50,86.00,257.00,11.50,294.50,90.50,177.00,98.00,173.00,96.00,81.00,133.00,26.00,56.50,111.50,66.50,22.00,66.50,26.50,91.00,55.00,209.50,171.00,18.00,171.00,400.00,140.50,67.50,169.00
34,254.50,337.50,162.00,138.50,273.50,66.00,61.00,220.00,15.00,74.50,147.50,160.00,87.50,221.50,130.50,91.50,257.00,25.50,300.00,96.00,186.50,102.50,177.00,106.50,81.00,133.00,26.00,68.00,114.00,66.50,22.00,66.50,26.50,96.00,70.00,222.00,190.00,26.00,171.00,407.50,152.00,67.50,173.50
35,268.50,349.50,178.00,152.00,287.00,66.00,61.00,229.00,15.00,83.50,152.00,160.00,97.50,232.50,147.50,101.50,257.00,36.00,300.00,99.00,195.00,108.50,182.50,118.50,86.50,133.00,26.00,81.00,114.00,66.50,22.00,66.50,26.50,96.00,75.00,235.00,207.50,33.50,171.00,416.00,156.00,67.50,173.50
36,277.50,366.00,192.50,154.50,298.00,66.00,61.00,241.00,15.00,93.00,165.00,160.00,109.00,243.00,162.50,114.00,257.00,51.50,300.00,99.00,195.00,120.00,190.50,123.50,105.50,133.00,26.00,102.00,114.00,78.50,22.00,66.50,26.50,96.00,75.00,247.50,224.50,43.00,171.00,425.50,158.50,74.50,173.50
37,290.00,375.50,200.50,154.50,298.00,66.00,61.00,254.00,15.00,105.00,183.00,165.00,120.50,252.50,166.50,120.00,257.00,70.50,300.00,99.00,195.00,131.50,199.50,123.50,124.00,133.50,26.50,122.50,114.00,87.50,22.00,79.50,26.50,96.00,75.00,256.00,242.00,55.50,171.00,437.00,158.50,74.50,173.50
38,302.50,387.00,213.00,154.50,298.00,66.00,61.00,262.00,15.00,119.50,200.50,166.50,131.50,259.50,166.50,125.50,257.00,88.00,305.50,105.00,195.00,140.00,207.50,125.00,143.00,136.00,39.50,144.50,114.00,87.50,22.00,92.00,37.00,96.00,75.00,266.50,260.00,63.00,176.50,451.50,158.50,74.50,173.50
39,318.00,400.00,224.50,158.00,298.00,66.00,61.00,264.00,15.00,132.00,212.50,166.50,140.50,263.00,166.50,137.50,269.00,107.00,320.50,114.00,204.00,148.50,208.50,131.50,163.00,136.00,51.50,166.00,114.00,87.50,22.00,92.00,48.00,96.00,75.00,280.50,279.50,69.50,188.50,465.00,168.00,74.50,177.50
40,327.50,416.50,224.50,167.00,298.00,66.00,71.50,264.00,15.00,137.50,227.50,166.50,140.50,267.00,169.50,142.50,283.50,130.00,332.50,126.50,212.50,154.00,208.50,144.50,181.00,136.00,56.50,181.00,114.00,95.50,35.50,92.00,61.00,96.00,76.00,285.50,299.00,81.00,202.00,481.50,182.00,79.00,190.00
41,330.50,433.50,224.50,169.50,298.00,66.00,86.00,264.00,28.50,140.00,241.00,166.50,140.50,279.50,171.00,142.50,294.50,148.50,344.00,127.00,229.50,154.00,208.50,160.00,201.50,136.00,62.00,197.00,114.00,95.50,47.00,92.00,64.50,96.00,82.50,285.50,318.50,98.00,214.50,503.00,192.50,92.50,203.50
42,336.50,444.00,224.50,169.50,298.00,66.00,103.50,264.00,45.50,149.50,254.00,170.50,140.50,299.00,177.50,144.50,307.50,169.00,358.00,127.00,246.50,154.00,208.50,179.50,218.00,136.00,66.00,211.00,118.00,95.50,59.00,92.00,66.50,96.00,101.50,285.50,339.00,119.50,235.00,522.00,206.00,106.00,225.50
43,345.00,451.00,224.50,169.50,298.00,66.00,115.00,264.00,59.50,164.00,269.50,180.50,140.50,316.50,178.50,157.50,322.00,185.00,375.00,127.00,266.50,154.00,219.50,195.00,232.50,141.50,66.00,218.50,132.00,95.50,67.50,92.00,66.50,96.00,118.50,285.50,358.50,137.00,252.50,533.50,217.50,118.00,244.50
44,352.50,455.00,224.50,176.50,298.00,66.00,127.50,264.00,75.00,173.00,286.50,193.50,146.50,333.00,178.50,174.00,342.00,190.00,388.00,127.00,283.50,160.50,233.00,208.50,250.00,148.50,66.00,231.00,132.50,95.50,69.50,92.00,73.50,96.00,137.00,294.50,381.00,156.50,267.00,548.00,235.50,125.50,265.50
45,352.50,458.00,224.50,187.50,298.00,66.00,141.00,264.00,94.50,185.00,300.00,207.00,157.00,344.50,178.50,192.00,359.50,191.50,402.50,127.00,299.00,171.00,238.50,220.00,269.00,150.50,73.66,243.00,132.50,95.50,69.50,93.50,86.50,96.00,154.50,294.50,400.50,177.50,284.00,560.50,251.50,134.00,284.50
46,352.50,465.00,224.50,193.50,298.00,67.00,153.00,264.00,113.50,195.50,316.00,218.00,173.50,357.50,178.50,209.00,365.50,196.00,420.00,138.50,314.50,182.50,246.50,227.00,285.50,150.50,82.03,244.00,132.50,95.50,83.50,99.00,100.00,96.00,173.50,294.50,412.50,195.50,298.50,562.50,271.50,141.50,303.00
47,356.50,477.50,224.50,202.50,298.00,67.00,159.00,264.00,127.00,206.50,330.50,232.50,188.50,369.00,184.50,224.00,365.50,204.00,437.50,156.00,327.00,192.00,253.50,235.00,301.50,150.50,87.03,253.00,143.00,95.50,93.50,101.50,105.50,96.00,190.50,301.50,430.00,213.00,315.00,565.50,294.00,151.00,322.50
48,359.50,496.50,224.50,214.00,298.00,67.00,172.50,264.00,138.50,216.50,348.00,249.50,204.00,385.00,198.50,242.00,366.50,216.50,447.00,178.00,334.50,196.00,256.00,246.50,318.00,150.50,87.03,258.50,150.50,95.50,114.50,102.00,115.50,98.50,209.50,321.00,450.50,229.50,337.00,571.50,316.50,166.00,339.00
49,359.50,516.00,224.50,219.50,298.00,67.00,184.00,265.00,154.50,223.50,367.50,269.50,217.00,400.00,214.00,257.00,385.00,229.50,451.50,200.50,334.50,206.00,265.00,257.50,335.00,150.50,87.03,259.00,168.00,95.50,132.50,102.00,124.00,99.50,228.50,329.50,473.50,243.50,357.00,575.00,334.50,182.00,353.50
50,364.50,533.50,224.50,227.00,298.00,67.00,185.50,265.00,166.00,228.50,388.50,287.00,221.00,418.00,227.50,263.50,407.50,240.00,462.50,218.00,342.00,225.00,275.00,276.00,353.00,150.50,87.03,274.50,189.50,98.50,151.00,102.00,124.00,100.50,249.50,332.00,498.00,260.00,372.50,581.00,353.50,197.00,370.00
51,380.50,549.50,224.50,236.50,298.00,67.00,190.50,271.50,176.50,236.50,409.00,305.50,224.00,438.00,245.00,275.00,430.00,251.50,473.50,233.00,352.00,244.00,280.50,293.50,372.50,156.50,93.03,297.50,209.00,108.50,168.50,104.50,129.50,101.00,269.50,341.50,524.00,282.50,390.00,584.00,370.50,211.50,387.00
52,394.00,559.50,228.50,249.00,298.00,67.00,190.50,272.00,189.00,251.50,425.00,319.50,235.50,455.50,252.50,291.00,451.50,265.00,492.50,245.00,352.00,264.00,288.00,311.50,394.00,170.00,101.03,320.00,229.50,122.50,180.50,114.50,139.50,104.50,293.00,353.00,548.00,304.50,412.00,584.00,385.50,230.50,407.50
53,404.00,566.50,239.50,263.00,298.00,70.50,191.00,273.50,207.00,265.00,434.00,331.00,246.50,470.00,262.00,310.00,477.00,283.50,514.50,245.50,352.00,272.50,293.50,329.50,414.00,176.00,102.03,345.50,243.50,135.00,185.50,131.00,157.00,112.00,314.00,370.50,577.50,330.00,428.00,588.00,404.00,248.50,430.50
54,414.00,576.50,253.50,276.00,298.00,72.00,194.50,273.50,223.50,273.50,441.50,345.00,259.50,485.00,273.00,329.00,494.50,307.50,537.50,246.50,352.00,282.00,304.50,347.00,435.00,191.00,102.03,368.00,250.00,149.00,193.50,153.00,171.50,118.50,333.50,389.50,608.50,354.00,446.00,595.50,426.50,268.00,441.50
55,427.50,595.50,268.50,290.00,305.50,72.00,195.00,279.50,238.00,279.50,452.50,365.50,272.50,499.50,283.50,345.50,511.00,333.50,561.00,256.50,354.00,296.00,319.00,363.50,448.00,209.50,102.03,392.00,250.00,166.50,207.50,173.50,186.00,126.00,354.50,411.50,638.00,374.50,464.00,609.50,445.50,286.50,456.00
56,449.00,607.00,274.00,303.00,320.50,72.00,199.50,292.00,255.50,279.50,465.50,388.00,286.00,516.50,301.00,359.50,528.50,355.50,577.50,268.50,358.50,313.50,333.00,383.00,464.00,234.50,106.03,413.50,250.00,184.50,218.00,187.50,203.00,133.00,376.00,431.50,663.50,396.00,480.00,627.50,460.50,307.00,473.00
57,466.50,617.00,277.50,315.00,344.50,72.00,202.50,308.50,277.00,285.50,480.00,407.50,297.50,538.00,321.00,372.00,539.50,378.00,587.00,280.00,371.50,326.50,348.50,401.00,479.00,259.50,108.03,425.50,250.00,204.00,219.50,203.50,220.00,138.00,402.00,451.50,686.00,414.00,493.50,646.50,476.00,326.50,494.50
58,486.00,634.00,277.50,328.00,365.00,72.00,213.00,327.00,293.50,305.50,493.00,428.50,310.00,558.50,342.50,387.50,547.50,402.50,592.50,293.50,385.00,342.00,368.50,417.50,494.50,281.00,110.53,441.50,250.00,225.00,226.00,222.50,232.00,140.50,423.00,473.00,712.00,434.00,511.50,668.50,488.50,340.00,513.50
59,505.00,650.50,277.50,340.00,385.50,72.00,229.00,346.00,306.50,328.00,507.50,450.00,323.50,582.00,363.50,406.00,558.50,425.50,597.50,306.00,402.50,360.00,385.50,435.00,516.00,306.00,110.53,463.00,252.50,249.00,241.00,241.00,242.00,146.50,439.50,498.50,738.00,454.50,528.00,693.00,502.50,348.00,536.50
