# KODIAK_AIRPORT
# Cumulative degree days > 20 starting March 1 from ACIS, gaps filled from climatology
# No years excluded (all years had 10 or fewer days of missing data)
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,11.50,16.50,12.00,14.50,12.50,21.50,0.00,8.00,17.00,16.50,15.50,13.00,0.00,10.50,6.00,20.00,17.00,7.00,15.00,3.00,17.00,8.00,12.50,19.50,20.50,7.50,4.00,0.00,9.50,5.50,18.50,11.00,4.00,10.50,12.50,14.00,17.00,2.50,10.50,11.50,16.00,14.00,13.50
1,30.00,30.00,22.50,29.00,20.50,35.50,8.50,15.50,34.50,22.50,32.50,29.00,1.50,21.50,6.00,39.00,36.50,17.00,25.50,8.00,33.00,16.50,25.00,44.00,40.50,21.00,12.50,2.50,22.00,11.50,33.50,20.50,11.00,19.50,26.00,34.00,33.50,7.00,22.50,26.00,23.00,28.00,25.50
2,47.50,42.50,37.50,44.00,36.50,53.50,15.50,22.50,49.50,22.50,44.00,42.00,4.50,40.00,6.00,58.50,50.00,24.00,33.50,17.00,49.50,33.50,38.00,65.50,56.50,36.00,25.00,7.50,37.00,20.50,44.00,30.50,11.00,36.50,37.00,53.50,53.50,13.50,38.00,41.50,23.00,42.50,41.00
3,68.50,56.00,53.50,60.00,58.00,73.00,19.00,29.00,63.50,27.50,52.00,56.00,4.50,56.00,6.00,73.00,67.00,39.00,45.50,26.00,66.50,51.00,50.00,82.50,67.50,53.50,36.50,10.00,53.50,34.50,50.00,40.50,11.00,55.00,52.50,75.00,68.00,24.50,52.50,57.50,23.00,55.50,62.50
4,88.00,75.00,66.50,80.50,77.00,92.50,33.00,34.00,80.50,35.50,59.00,71.50,9.00,75.00,6.00,87.50,84.50,55.00,63.00,34.50,84.50,67.50,58.50,97.00,79.50,73.50,50.00,10.00,71.50,51.00,60.00,50.50,12.50,73.00,66.50,97.50,85.00,32.00,67.00,76.00,28.00,67.00,82.50
5,109.50,93.50,85.00,100.00,95.00,109.00,45.00,41.50,94.50,45.50,60.50,92.00,22.00,90.50,21.50,102.50,98.50,66.50,82.00,42.50,101.50,80.00,66.00,112.50,89.00,92.00,60.50,10.00,84.50,64.00,61.00,67.00,24.00,90.00,81.00,118.00,103.50,37.50,81.50,95.00,34.50,76.50,101.00
6,129.50,114.00,104.00,122.00,115.50,123.00,57.00,58.50,111.00,61.00,62.00,107.00,38.50,104.00,38.00,115.50,111.00,78.00,102.00,52.00,117.50,91.50,70.50,126.00,90.50,113.00,65.50,10.00,101.00,77.00,66.50,83.50,29.50,106.50,95.00,138.00,121.00,44.00,94.50,112.00,42.00,92.00,120.00
7,148.50,135.00,124.50,142.00,136.50,142.50,66.50,76.50,122.00,77.00,75.50,116.00,55.50,114.00,56.50,132.00,125.00,88.50,120.50,60.50,133.00,109.50,78.50,140.00,90.50,133.50,70.50,10.00,113.50,90.00,72.00,100.50,36.00,122.50,107.00,150.50,138.00,51.00,109.00,133.00,57.50,104.50,141.00
8,167.00,156.00,144.50,162.50,157.50,158.50,73.50,96.00,137.00,89.00,87.50,128.00,73.00,121.50,76.00,149.00,138.50,98.50,138.50,63.50,151.50,129.50,87.00,150.00,98.50,152.50,77.50,10.50,130.00,103.00,72.00,115.00,41.00,135.00,115.50,153.50,159.50,61.00,118.00,150.00,70.00,123.00,162.00
9,184.00,176.50,162.00,179.00,178.00,177.50,87.00,116.00,154.00,102.50,100.00,139.50,90.00,138.00,91.50,161.50,151.50,107.00,156.50,72.00,169.00,149.50,93.00,162.00,115.00,172.00,86.50,18.50,143.50,120.00,72.00,126.00,41.00,148.50,132.50,156.00,180.50,69.50,124.50,170.00,74.50,133.50,182.00
10,197.00,197.00,177.00,197.00,198.00,197.50,103.00,135.00,171.00,113.00,118.50,153.00,105.00,156.50,109.00,167.50,165.50,118.50,173.50,80.00,186.00,171.00,103.00,175.50,129.50,192.00,98.50,21.00,152.00,136.00,72.00,136.00,41.00,161.00,151.00,160.00,200.50,78.00,140.50,187.50,81.00,137.00,201.50
11,208.00,217.00,187.50,218.50,218.00,213.00,121.00,148.00,187.50,121.50,137.50,173.00,116.50,173.00,128.00,168.50,182.00,132.50,193.50,85.50,200.00,187.00,112.50,180.50,146.50,215.00,113.00,21.00,161.00,148.50,72.00,146.50,42.50,174.00,163.00,160.00,220.50,88.50,157.50,202.00,88.50,139.00,221.50
12,214.50,237.50,201.00,240.50,235.00,225.50,138.50,168.00,201.00,130.00,154.50,191.00,127.00,191.50,142.50,170.50,199.00,146.00,213.50,91.00,216.50,199.00,115.50,180.50,158.50,236.50,126.00,21.00,172.00,158.50,84.50,157.00,47.00,184.00,179.00,160.00,238.50,101.00,174.50,220.50,94.50,148.00,241.00
13,220.50,257.50,219.00,263.50,252.50,239.00,158.50,184.50,216.00,142.00,167.50,204.50,144.50,210.50,155.50,170.50,217.00,157.00,233.50,94.50,232.50,217.50,125.00,180.50,174.00,251.50,138.00,21.00,179.50,164.50,95.00,168.50,51.00,190.50,181.00,165.00,258.50,107.50,193.00,239.50,103.00,158.50,259.00
14,226.50,278.00,237.50,286.00,272.00,250.50,175.50,201.50,235.00,159.50,179.50,207.50,162.00,225.50,166.50,170.50,236.00,171.00,253.50,94.50,249.50,234.00,142.00,190.00,186.50,266.50,146.50,21.00,194.50,164.50,109.00,181.00,53.50,197.00,181.00,182.00,276.50,107.50,209.00,260.00,111.50,170.00,272.50
15,233.50,298.50,254.00,307.00,292.50,263.00,192.50,218.50,257.00,180.00,194.00,222.00,177.50,238.00,175.50,170.50,253.00,182.00,271.50,94.50,265.00,250.00,157.50,206.50,202.00,282.50,151.50,22.00,209.00,164.50,128.00,193.50,53.50,206.50,185.50,203.00,295.50,112.00,231.00,283.50,127.50,180.50,285.00
16,243.00,318.00,272.50,328.00,313.00,280.00,210.00,237.00,275.50,196.00,212.50,237.00,193.50,253.00,180.50,170.50,272.00,186.00,290.50,94.50,277.00,266.50,172.50,220.00,215.50,300.50,164.50,25.50,221.50,168.50,146.00,208.00,55.00,217.50,201.00,224.00,312.50,118.50,250.50,307.00,149.00,189.50,291.50
17,261.50,340.00,292.00,351.50,333.50,296.50,227.00,251.00,293.00,205.50,232.50,237.50,206.50,268.50,186.00,176.00,291.50,194.50,310.00,106.50,294.00,281.00,190.00,230.00,219.00,318.50,179.00,30.00,226.50,175.00,163.00,223.00,60.00,227.50,215.00,244.00,333.00,123.50,269.50,321.50,169.50,197.50,303.00
18,278.50,359.00,314.50,375.50,353.00,308.50,242.50,270.00,309.00,219.00,252.00,238.50,223.50,286.50,186.00,183.00,312.00,208.00,330.00,120.50,312.00,294.50,206.00,239.00,223.00,335.50,193.50,30.00,231.00,177.00,179.00,237.00,66.00,235.50,232.00,264.00,347.50,128.50,290.50,332.50,186.50,201.00,316.50
19,300.50,375.50,333.00,397.50,369.00,320.00,258.00,287.00,329.00,235.50,269.00,249.00,240.00,303.50,186.00,184.50,329.50,223.50,350.50,133.00,329.00,306.00,220.50,241.50,235.00,354.50,208.00,33.00,232.00,184.50,192.50,254.50,66.00,245.50,243.50,287.00,363.50,137.50,307.50,352.00,201.50,214.00,333.50
20,320.00,394.00,357.50,419.50,387.00,337.50,277.50,305.50,346.00,252.00,286.50,264.00,251.50,319.00,195.50,184.50,346.00,238.00,374.00,145.00,343.00,312.50,235.00,241.50,252.00,362.00,221.50,42.50,242.50,188.50,209.00,269.50,67.00,255.50,261.50,305.00,384.00,148.00,326.00,374.00,219.50,228.50,351.00
21,334.50,412.00,376.00,442.00,405.00,357.00,294.00,324.00,360.00,266.50,306.00,279.50,268.50,332.50,211.50,193.00,361.50,252.50,394.50,156.00,357.00,320.50,251.00,241.50,271.50,372.00,239.50,43.50,257.50,196.50,226.00,281.00,68.50,274.00,281.00,326.00,405.00,161.50,342.50,396.50,238.50,239.50,364.00
22,352.50,432.00,386.00,463.50,423.50,378.00,311.50,340.00,365.50,283.00,324.50,294.00,286.00,339.00,225.50,199.00,375.00,265.00,413.50,166.00,372.50,329.50,266.50,241.50,286.00,383.00,254.00,46.00,266.50,205.00,242.50,298.00,74.50,288.50,300.00,348.00,428.00,173.50,363.00,415.00,264.50,254.00,376.00
23,371.50,453.00,393.00,483.00,444.00,390.50,329.50,356.50,369.50,301.00,341.50,315.50,305.00,351.50,245.50,206.00,388.00,276.00,431.50,179.50,385.50,345.00,280.00,257.00,302.00,402.50,268.00,46.00,275.00,213.00,257.50,314.00,88.50,298.50,316.00,370.50,451.00,184.50,382.50,437.00,287.00,272.50,386.00
24,391.50,473.00,401.00,503.50,465.00,401.00,347.00,372.00,379.00,316.50,359.00,337.00,322.00,360.50,262.00,218.50,406.50,286.50,446.00,192.50,395.50,365.00,295.00,276.50,318.00,418.50,281.00,47.00,288.00,227.50,276.00,330.00,99.00,298.50,332.00,393.00,468.50,193.50,399.00,460.00,311.00,292.50,405.50
