# EAGLE
# Cumulative degree days > 20 starting March 1 from ACIS, gaps filled from climatology
# Excluded years (more than 10 days of missing data): 1982, 2009, 2022
#
d_since_march1,1980,1981,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,6.00,62.50,0.00,38.00,22.50,0.00,0.00,45.50,0.00,25.00,3.00,65.50,1.00,13.00,7.00,15.50,0.00,2.00,0.00,9.00,0.00,13.50,22.00,0.00,56.00,0.00,0.00,52.50,16.00,0.00,0.00,5.00,12.00,27.00,0.00,0.00,25.50,51.50,1.50,0.00
17,6.00,75.50,0.00,38.00,22.50,0.00,0.00,45.50,0.00,27.00,3.00,65.50,1.00,13.00,26.00,15.50,0.00,4.00,0.00,9.00,0.00,13.50,22.00,0.00,56.00,0.00,0.00,52.50,16.00,0.00,0.00,5.00,12.00,27.00,0.00,0.00,32.50,69.50,1.50,0.00
18,6.00,88.00,0.00,38.00,23.50,2.00,0.00,45.50,0.00,27.00,3.00,70.00,1.00,13.00,29.00,15.50,0.00,16.50,0.00,9.00,0.00,13.50,22.00,0.00,56.00,0.00,0.00,52.50,16.00,0.00,0.00,5.00,12.00,27.00,0.00,0.00,32.50,88.50,7.50,0.00
19,6.00,101.50,0.00,38.00,23.50,2.00,0.00,45.50,0.00,27.00,3.00,80.50,1.00,13.00,29.00,15.50,0.00,27.00,0.00,10.50,0.00,15.00,22.00,0.00,56.00,0.00,0.00,52.50,16.00,0.00,0.00,5.00,12.00,27.00,0.00,0.00,34.50,105.50,19.00,0.00
20,15.00,110.50,0.00,38.00,23.50,2.00,0.00,45.50,0.00,27.00,3.00,87.50,2.00,13.00,29.00,15.50,0.00,38.50,10.50,10.50,0.00,15.00,22.00,0.00,56.00,9.50,0.00,52.50,16.00,0.00,0.00,5.00,12.00,27.00,0.00,0.00,34.50,116.50,28.50,0.00
21,15.00,110.50,0.00,38.00,23.50,2.00,6.00,45.50,0.00,27.00,3.00,103.50,11.50,13.00,29.00,15.50,0.00,49.00,20.50,10.50,0.00,15.00,22.00,0.00,56.00,14.00,0.00,52.50,16.00,0.00,0.00,5.00,12.00,27.00,0.00,0.00,34.50,134.00,34.00,0.00
22,15.00,110.50,0.00,38.00,23.50,2.00,9.50,45.50,0.00,32.00,3.00,117.00,24.00,13.00,29.00,16.00,0.00,59.50,30.00,13.00,0.00,15.00,24.50,0.00,56.00,15.00,0.00,52.50,16.00,0.00,0.00,5.00,12.00,35.00,0.00,0.00,34.50,147.50,34.00,0.00
23,15.00,110.50,0.00,38.00,23.50,2.00,15.00,45.50,0.00,32.00,5.50,124.50,33.00,13.50,29.00,18.50,0.00,70.50,44.50,14.50,0.00,15.00,24.50,0.00,56.00,15.00,0.00,52.50,16.00,0.00,0.00,5.00,12.00,41.00,1.50,0.00,34.50,159.50,34.00,0.00
24,15.00,110.50,0.00,38.00,23.50,2.00,24.50,45.50,0.00,32.00,15.50,136.50,33.00,23.50,29.00,19.00,0.00,80.50,53.00,19.00,0.00,15.00,24.50,0.00,58.50,17.00,0.00,52.50,16.00,0.00,0.00,5.00,12.00,43.50,7.50,0.00,34.50,177.00,38.00,0.00
25,15.00,110.50,0.00,38.00,23.50,2.00,36.00,45.50,0.00,36.00,22.00,149.00,33.00,39.00,29.00,20.50,0.00,92.00,60.00,30.50,0.00,19.00,24.50,0.00,62.50,17.00,0.00,52.50,16.00,0.00,0.00,5.00,12.00,50.00,25.00,0.00,34.50,193.00,45.00,3.50
26,15.00,118.00,0.00,38.00,23.50,2.00,48.00,45.50,0.00,48.00,28.00,156.50,33.00,48.50,29.00,27.50,0.00,103.50,60.00,34.50,0.00,20.00,24.50,0.00,67.50,17.00,0.00,52.50,16.00,8.00,0.00,5.00,12.00,65.00,38.00,0.00,34.50,210.00,45.00,3.50
27,20.00,128.50,0.00,42.00,23.50,2.00,53.50,45.50,0.00,60.00,28.00,162.50,35.50,57.00,29.00,32.50,0.00,106.50,60.00,34.50,0.00,20.00,24.50,0.00,74.00,17.00,0.00,52.50,17.00,11.00,0.00,5.00,12.00,78.50,53.00,0.00,34.50,225.00,45.00,3.50
