# KETCHIKAN_AIRPORT
# Cumulative degree days > 20 starting March 1 from ACIS, gaps filled from climatology
# Excluded years (more than 10 days of missing data): 1981, 1982, 1985, 1986, 1987, 1988
#
d_since_march1,1980,1983,1984,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,24.00,16.50,22.50,10.50,22.50,10.50,17.50,19.00,25.50,17.50,12.50,16.50,16.50,18.50,19.50,19.00,17.50,19.00,16.50,24.50,13.50,4.50,20.00,15.50,23.00,0.00,11.50,19.50,7.50,21.50,22.00,11.50,19.50,14.00,19.00,16.00,18.50
1,46.00,32.00,42.00,15.00,44.00,15.50,31.50,38.50,49.50,34.00,32.00,30.50,33.50,34.50,40.00,37.00,36.50,39.00,31.00,47.50,28.50,23.00,36.50,35.00,45.00,4.00,27.50,35.00,11.50,42.00,42.50,26.50,34.00,24.50,37.00,32.50,41.00
2,66.00,47.50,62.50,31.50,66.00,20.50,47.00,63.50,73.00,52.00,49.00,41.50,52.00,52.50,58.50,55.50,52.00,61.00,47.50,70.00,43.50,42.50,54.50,53.50,67.00,15.00,45.00,51.50,14.00,62.00,65.50,38.50,48.00,35.00,52.50,49.00,59.00
3,76.50,63.00,83.00,51.50,89.50,27.50,62.00,84.00,88.50,59.50,60.00,53.00,67.50,67.00,73.00,71.50,64.00,83.00,64.50,91.50,59.50,60.50,72.00,69.00,83.50,30.00,56.50,70.50,14.00,80.00,90.00,53.01,58.00,46.00,66.50,68.00,78.50
4,90.50,77.50,104.00,70.50,111.50,44.00,76.00,104.50,103.00,69.00,68.50,69.00,79.50,81.00,90.50,86.50,67.50,98.00,79.00,112.50,76.50,83.00,88.00,83.50,100.50,47.00,65.00,86.50,19.50,102.50,111.50,58.51,73.50,57.50,81.50,89.00,98.50
5,103.50,90.50,127.00,86.50,127.00,60.50,91.00,124.00,119.50,80.50,78.50,85.50,90.00,94.00,104.50,107.00,68.50,103.00,96.00,134.00,96.00,108.50,109.00,99.50,118.50,61.00,78.50,101.00,25.50,125.50,137.50,63.01,88.00,72.50,95.00,107.50,120.00
6,119.50,106.50,149.00,101.50,141.00,81.00,109.50,139.50,137.50,91.00,89.00,100.50,103.00,108.50,118.50,125.00,68.50,103.00,117.50,158.50,109.00,127.00,128.50,111.00,133.50,71.50,97.50,116.00,43.50,148.50,161.00,72.51,102.00,85.50,108.50,128.00,138.00
7,138.00,128.00,172.50,114.00,150.50,97.00,132.50,151.50,161.00,103.50,107.50,117.00,114.00,120.50,132.00,141.50,68.50,103.00,138.50,183.50,121.50,144.00,147.50,120.50,147.00,85.00,118.00,130.50,66.50,173.00,180.50,83.51,114.50,100.00,119.00,144.50,155.00
8,156.50,150.00,195.50,124.50,165.50,113.00,151.50,165.50,183.50,116.50,133.50,132.50,127.50,133.50,148.00,158.50,68.50,103.00,155.00,209.50,131.50,158.00,165.00,121.50,162.00,102.00,135.50,148.50,87.50,193.50,201.00,88.51,133.50,116.00,136.00,162.50,167.50
