# MCKINLEY_PARK
# Cumulative degree days > 20 starting March 1 from ACIS, gaps filled from climatology
# No years excluded (all years had 10 or fewer days of missing data)
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,0.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,11.00,0.00,3.00,9.50,0.00,0.00,0.00,4.00,0.00,1.00,13.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,7.00,0.00,4.50,0.00,0.00,0.00,0.00,0.00,0.00
1,0.00,23.50,0.00,0.00,0.00,0.00,0.00,0.00,24.50,0.00,3.00,0.00,0.00,17.50,0.00,8.00,11.00,0.00,0.00,0.00,4.00,0.00,1.00,27.00,10.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,8.50,0.00,5.50,0.00,0.00,0.00,0.00,0.00,0.00
2,2.00,23.50,0.00,0.00,0.00,0.00,0.00,0.00,36.00,0.00,15.50,0.00,0.00,17.50,0.00,10.50,11.00,0.00,0.00,0.00,4.00,0.00,1.00,27.00,22.00,0.00,0.00,0.00,0.00,0.00,9.50,0.00,0.00,3.00,8.50,3.00,5.50,0.00,0.00,0.00,0.00,0.00,0.00
3,10.00,23.50,0.00,0.00,6.50,0.00,0.00,0.00,43.50,0.00,25.50,0.00,0.00,17.50,0.00,13.50,11.00,0.00,0.00,0.00,11.00,0.00,1.00,37.50,22.00,0.00,0.00,0.00,0.00,0.00,12.00,0.00,0.00,3.00,8.50,12.50,5.50,0.00,0.00,0.00,0.00,0.00,1.50
4,18.00,23.50,0.00,0.00,21.50,0.00,0.00,0.00,46.00,0.00,25.50,0.00,0.00,17.50,0.00,17.50,11.00,0.00,0.00,0.00,17.00,5.00,1.00,37.50,22.00,0.00,0.00,0.00,13.50,0.00,16.50,0.00,0.00,5.00,8.50,25.00,5.50,0.00,0.00,0.00,0.00,0.00,7.00
5,25.00,31.50,0.00,0.00,39.50,0.00,0.00,0.00,48.00,0.00,25.50,0.00,0.00,17.50,0.00,17.50,11.00,0.00,0.00,0.00,19.50,13.00,1.00,37.50,22.00,9.00,0.00,0.00,30.50,0.00,23.00,0.00,0.00,7.50,8.50,32.00,5.50,0.00,0.00,0.00,0.00,2.00,11.00
6,25.00,31.50,2.00,0.00,55.50,2.00,0.00,0.00,53.50,0.00,25.50,0.00,0.00,17.50,0.00,17.50,11.00,0.00,0.00,0.00,19.50,20.00,1.00,37.50,22.00,18.00,0.00,0.00,46.00,0.00,23.00,0.00,0.00,7.50,8.50,34.50,5.50,0.00,0.00,0.00,0.00,2.00,11.00
7,26.00,31.50,2.00,0.00,69.50,2.00,0.00,0.00,62.00,0.00,25.50,3.00,3.00,17.50,0.00,17.50,11.00,0.00,0.00,0.00,20.00,23.50,1.00,37.50,22.00,30.00,0.00,0.00,62.00,0.00,23.00,0.00,0.00,9.50,8.50,36.50,9.00,0.00,0.00,3.50,0.00,2.00,11.00
8,29.00,42.00,6.50,0.00,86.00,6.00,0.00,1.00,69.50,0.00,25.50,3.00,14.00,17.50,0.00,17.50,11.00,0.00,0.00,0.00,20.00,32.00,1.00,37.50,22.00,44.00,0.00,0.00,70.50,0.00,23.00,0.00,0.00,20.00,8.50,36.50,13.50,0.00,1.50,15.50,0.00,2.00,15.50
9,29.00,50.50,8.50,0.00,107.00,10.50,0.00,6.50,81.00,0.00,25.50,3.00,27.50,17.50,9.00,17.50,11.00,0.00,0.00,0.00,20.00,40.00,1.00,37.50,22.00,57.00,0.00,0.00,81.50,0.00,23.00,0.00,0.00,27.00,8.50,36.50,15.50,0.00,6.00,26.50,0.00,6.00,18.50
10,29.00,60.50,8.50,0.00,107.00,21.50,0.00,8.50,94.00,0.00,25.50,3.00,41.00,17.50,16.00,17.50,11.00,0.00,0.00,0.00,20.00,47.00,1.00,37.50,27.00,73.00,0.00,0.00,83.50,0.50,23.00,0.00,0.00,30.00,8.50,36.50,19.50,0.00,6.00,38.50,0.00,6.00,18.50
11,29.00,75.00,8.50,0.00,119.00,24.50,0.00,9.50,103.00,0.00,25.50,3.00,49.00,17.50,22.00,17.50,11.00,0.00,0.00,0.00,20.00,62.50,1.00,37.50,30.00,85.50,0.00,0.00,84.00,0.50,23.00,0.00,0.00,30.00,17.00,36.50,25.50,0.00,6.00,47.00,0.00,6.00,18.50
12,29.00,85.00,8.50,0.00,127.00,25.50,0.00,9.50,112.50,2.00,27.50,3.00,50.00,17.50,26.00,17.50,15.00,0.00,6.00,0.00,20.50,71.00,1.00,37.50,30.00,98.50,0.00,0.00,86.00,0.50,23.00,0.00,0.00,30.00,27.00,36.50,27.50,0.00,10.50,50.50,0.00,6.00,18.50
13,29.00,95.00,8.50,0.00,136.50,25.50,3.50,9.50,113.50,4.50,29.00,3.00,50.00,17.50,26.00,17.50,19.50,0.00,13.50,0.00,25.00,78.00,1.00,37.50,30.00,108.50,0.00,0.00,86.00,0.50,23.00,0.00,0.00,30.00,41.50,36.50,27.50,0.00,20.50,56.00,0.00,6.00,18.50
14,29.00,101.00,8.50,0.00,145.00,25.50,5.00,9.50,113.50,8.00,29.00,3.00,50.00,17.50,26.00,17.50,28.50,0.00,22.00,2.50,25.00,89.50,1.00,37.50,30.00,113.50,0.00,0.00,86.00,0.50,23.00,0.00,0.00,30.00,51.00,36.50,27.50,0.00,21.50,67.00,0.00,6.00,18.50
15,29.00,108.00,8.50,0.00,148.50,25.50,9.00,13.50,113.50,9.00,29.00,3.00,55.50,17.50,26.00,17.50,28.50,0.00,33.50,2.50,35.00,94.00,1.00,37.50,30.00,121.50,0.00,0.00,86.00,0.50,23.00,0.00,0.00,30.00,51.00,36.50,27.50,0.00,23.00,79.00,0.00,6.00,18.50
16,29.00,121.00,9.50,2.00,148.50,25.50,12.00,13.50,113.50,9.00,37.00,3.00,56.50,17.50,26.00,17.50,28.50,0.00,48.00,2.50,43.00,94.00,12.00,37.50,30.00,121.50,0.00,0.00,86.00,0.50,23.00,0.00,0.00,30.00,51.00,47.00,27.50,0.00,30.50,96.50,0.00,6.00,19.00
17,29.00,141.00,20.00,2.00,148.50,32.00,12.00,13.50,113.50,9.00,40.00,4.00,56.50,17.50,26.00,17.50,28.50,0.00,62.00,2.50,49.00,94.00,13.00,39.50,30.00,123.00,0.00,0.00,86.00,0.50,23.00,0.00,0.00,30.00,51.00,51.50,27.50,0.00,40.00,115.50,2.00,6.00,19.50
18,29.00,162.00,32.00,2.00,148.50,35.50,12.00,13.50,113.50,9.00,40.00,4.00,62.00,18.00,26.00,17.50,28.50,0.00,78.50,3.00,50.50,94.00,14.50,41.00,30.00,129.50,0.00,0.00,86.00,0.50,25.50,0.00,0.00,30.00,51.00,59.50,27.50,0.00,52.00,131.00,10.50,6.00,19.50
19,29.00,171.00,44.00,3.50,148.50,39.50,12.00,13.50,113.50,9.00,40.00,4.00,68.00,20.00,26.00,17.50,28.50,0.00,93.00,14.00,55.50,94.00,14.50,44.50,30.00,129.50,3.50,0.00,86.00,0.50,25.50,0.00,0.00,30.00,51.00,67.50,27.50,0.00,53.50,137.50,21.50,6.00,19.50
20,34.00,176.00,57.00,6.50,148.50,45.50,12.00,13.50,113.50,9.00,40.00,4.00,73.00,22.50,26.00,17.50,28.50,0.00,111.00,25.50,62.00,94.00,15.50,44.50,30.00,129.50,5.50,0.00,86.00,0.50,25.50,0.50,0.00,30.00,51.00,75.50,33.50,0.00,53.50,150.50,31.50,6.00,19.50
21,35.50,176.00,57.00,6.50,148.50,48.00,12.00,23.50,113.50,9.00,44.50,4.00,78.50,31.50,26.00,17.50,28.50,0.00,124.00,30.50,69.00,94.00,15.50,44.50,31.00,129.50,6.50,0.00,86.00,0.50,25.50,1.00,0.00,30.00,51.00,82.00,37.50,0.00,53.50,172.50,35.50,6.00,19.50
22,36.50,176.00,64.00,6.50,148.50,52.00,12.00,34.50,113.50,9.00,48.50,4.00,89.00,41.00,26.00,17.50,31.50,0.00,139.00,38.50,76.50,94.00,15.50,44.50,36.00,129.50,6.50,0.00,86.00,0.50,25.50,1.00,0.00,30.00,51.00,86.00,48.50,0.00,53.50,194.50,35.50,6.00,19.50
23,41.00,176.00,64.00,6.50,148.50,52.00,12.00,48.50,113.50,16.50,52.50,5.50,98.50,41.00,32.50,17.50,40.00,0.00,155.50,52.00,83.00,94.00,18.00,44.50,41.00,131.50,8.00,0.00,86.00,0.50,25.50,4.00,0.00,30.00,53.00,90.00,57.50,0.00,53.50,215.50,39.00,6.00,19.50
24,51.50,178.00,64.00,6.50,148.50,52.00,12.00,61.50,113.50,19.50,59.00,11.00,108.00,41.00,44.50,17.50,46.00,0.00,169.00,64.50,86.00,94.00,21.00,44.50,41.00,140.00,8.00,0.00,86.00,0.50,25.50,7.50,0.00,30.00,56.00,94.50,65.50,0.00,53.50,232.50,47.00,6.00,29.00
25,59.00,180.00,64.00,6.50,148.50,52.00,12.00,68.50,113.50,19.50,70.50,19.50,117.50,41.00,48.00,17.50,54.00,0.00,179.00,72.50,86.00,94.00,29.00,44.50,41.00,144.00,8.00,0.00,86.00,9.00,25.50,10.50,0.00,30.00,59.50,105.00,80.50,0.00,53.50,249.50,53.00,7.50,40.00
26,71.00,189.50,64.00,6.50,156.00,52.00,12.00,75.50,113.50,19.50,84.00,27.00,121.50,41.00,48.00,17.50,56.00,0.00,183.50,72.50,86.00,94.00,31.00,44.50,41.00,147.50,8.00,0.00,86.00,16.50,25.50,10.50,0.00,30.00,60.00,122.00,89.00,0.00,53.50,269.00,53.00,7.50,44.50
27,78.00,196.00,64.00,8.00,163.50,52.00,12.00,79.00,113.50,19.50,99.00,35.50,121.50,48.50,53.50,22.50,56.00,0.00,183.50,72.50,86.00,94.00,31.00,44.50,41.00,147.50,8.00,0.00,86.00,16.50,32.00,10.50,3.50,30.00,60.00,132.50,97.50,0.00,53.50,282.50,53.00,7.50,47.50
28,82.00,201.00,66.00,8.00,174.50,52.00,12.00,86.00,113.50,19.50,110.50,37.00,121.50,61.00,65.00,33.00,58.00,0.00,191.50,72.50,86.00,94.00,31.00,44.50,41.00,151.00,8.00,0.00,86.00,16.50,38.50,10.50,10.50,30.00,60.00,139.00,111.00,0.00,55.00,301.00,53.00,7.50,56.50
29,95.00,201.00,66.00,8.00,187.50,52.00,12.00,100.00,113.50,19.50,116.50,37.00,121.50,72.00,81.00,42.50,60.50,0.00,197.00,72.50,100.00,94.00,31.00,44.50,41.00,151.00,8.00,0.00,86.00,17.00,42.50,19.00,15.50,33.50,60.00,146.00,123.00,0.00,56.50,312.50,53.00,10.00,63.00
30,103.50,210.50,66.00,8.00,197.50,52.00,12.00,113.00,115.50,19.50,124.50,37.00,121.50,85.50,96.00,53.50,60.50,0.00,197.00,72.50,107.50,94.00,31.00,44.50,41.00,152.50,9.50,0.00,93.50,17.00,45.50,23.00,21.00,39.00,60.00,155.50,142.00,0.00,56.50,326.50,53.00,14.00,63.00
31,117.00,218.00,66.00,8.00,211.00,52.00,12.00,116.50,115.50,19.50,129.50,37.00,121.50,102.50,110.00,70.00,60.50,0.00,201.50,79.50,117.00,94.00,31.00,44.50,41.00,152.50,16.00,3.50,106.50,17.00,50.00,23.00,26.50,46.00,60.00,162.00,164.50,14.00,56.50,346.00,53.00,14.00,64.50
32,134.00,226.00,66.00,8.00,223.50,52.00,12.00,120.00,115.50,19.50,129.50,39.00,121.50,115.50,129.50,78.50,60.50,0.00,216.50,88.00,121.50,94.00,31.00,44.50,41.00,152.50,25.00,7.50,122.50,17.00,56.50,23.00,29.00,46.50,60.50,173.00,185.00,30.00,56.50,364.00,53.00,14.00,64.50
33,150.50,226.50,66.00,12.00,232.50,52.00,12.00,126.50,115.50,19.50,131.00,41.00,121.50,124.00,145.00,86.50,60.50,0.00,227.00,88.00,124.50,96.50,31.00,44.50,41.00,153.69,25.00,11.00,139.50,17.00,62.00,32.50,29.00,48.50,61.00,179.00,201.00,38.00,56.50,372.50,58.50,14.00,64.50
34,168.50,226.50,66.00,26.00,241.50,52.00,12.00,126.50,115.50,19.50,143.00,44.00,121.50,129.00,156.00,97.50,60.50,3.50,242.50,88.00,131.50,108.00,31.00,44.50,42.66,153.69,29.50,15.00,156.50,17.00,66.50,39.00,29.00,48.50,61.50,179.50,210.50,46.50,56.50,372.50,64.00,14.00,64.50
35,178.50,230.50,69.50,42.00,253.00,52.00,12.00,126.50,115.50,20.00,151.50,47.00,121.50,135.50,164.50,111.50,65.50,16.50,249.50,88.00,131.50,117.50,31.00,44.50,56.66,153.69,40.50,24.50,170.50,17.00,72.50,46.50,30.00,48.50,65.50,181.50,221.50,60.50,56.50,372.50,72.50,14.00,64.50
36,179.50,230.50,84.00,46.50,260.50,52.00,12.00,134.00,115.50,20.50,159.00,53.00,121.50,141.00,173.00,121.00,78.00,35.50,261.00,90.00,131.50,120.50,33.50,44.50,73.16,162.69,40.50,34.50,170.50,17.00,81.50,48.00,45.00,48.50,73.00,184.00,239.50,74.50,58.00,382.50,72.50,14.00,65.00
37,184.50,234.50,100.50,51.50,261.50,52.00,12.00,140.00,115.50,21.50,166.00,59.50,124.50,147.00,180.50,129.00,86.50,56.50,274.00,90.00,131.50,125.00,34.00,44.50,94.16,178.19,40.50,56.00,170.50,17.00,90.50,48.00,50.50,48.50,81.50,199.00,254.00,88.00,63.00,392.50,72.50,14.00,68.50
38,197.50,239.50,108.00,56.50,265.50,56.43,12.00,144.00,115.50,26.50,174.50,66.50,130.50,155.50,185.50,135.50,87.00,73.50,287.00,90.00,131.50,134.00,34.00,44.50,115.66,183.69,45.50,72.00,170.50,17.50,92.00,57.00,58.00,48.50,81.50,218.50,270.50,94.00,66.00,410.50,72.50,14.00,73.00
39,208.50,239.50,115.00,61.00,268.50,56.43,12.00,148.50,115.50,30.50,186.50,73.50,138.00,164.00,185.50,143.00,87.00,87.00,298.50,90.00,134.50,135.50,35.50,44.50,132.16,191.19,59.50,91.50,170.50,19.00,92.00,61.00,63.50,48.50,81.50,231.00,286.00,104.50,72.50,428.00,72.50,14.00,73.00
