location,river,forecastdate,most likely breakup in (days),forecasted date,average breakup date,probability of breakup within ± 3 days around forecasted,probability of breakup within 1 or 2 days,probability of breakup within 3-7 days,probability of breakup within week 2 from now,probability of breakup within week 3 from now
Buckland,Buckland River,2024-05-10,7,2024-05-16,05-15,0.52,0.07,0.33,0.47,0.12
Fairbanks,Chena River,2024-05-10,-14,2024-04-25,04-24,1.00,0.78,0.22,0.00,0.00
Northway,Chisana River,2024-05-10,-15,2024-04-24,04-23,1.00,0.95,0.05,0.00,0.00
Gakona,Gulkana River,2024-05-10,-9,2024-04-30,04-28,0.86,0.38,0.48,0.13,0.01
Kobuk,Kobuk River,2024-05-10,5,2024-05-14,05-13,0.64,0.13,0.48,0.37,0.03
Shungnak,Kobuk River,2024-05-10,7,2024-05-16,05-15,0.66,0.06,0.42,0.48,0.03
Ambler,Kobuk River,2024-05-10,8,2024-05-17,05-16,0.53,0.06,0.31,0.49,0.13
Bettles,Koyukuk River,2024-05-10,0,2024-05-09,05-07,0.87,0.31,0.55,0.13,0.00
Allakaket,Koyukuk River,2024-05-10,2,2024-05-11,05-08,0.80,0.25,0.55,0.19,0.01
Hughes,Koyukuk River,2024-05-10,1,2024-05-10,05-08,0.89,0.32,0.57,0.11,0.00
Tuluksak,Kuskokwim River,2024-05-10,-1,2024-05-08,05-06,0.99,0.58,0.41,0.01,0.00
Akiak,Kuskokwim River,2024-05-10,0,2024-05-09,05-07,0.97,0.44,0.54,0.03,0.00
Bethel,Kuskokwim River,2024-05-10,0,2024-05-09,05-07,0.88,0.33,0.55,0.12,0.00
Manley Hot Springs,Tanana River,2024-05-10,-6,2024-05-03,05-01,1.00,0.72,0.28,0.00,0.00
Lake Creek,Yentna River,2024-05-10,-8,2024-05-01,04-29,1.00,0.89,0.10,0.00,0.00
Circle,Yukon River,2024-05-10,0,2024-05-09,05-07,0.93,0.38,0.55,0.07,0.00
Tanana,Yukon River,2024-05-10,0,2024-05-09,05-07,0.95,0.41,0.54,0.05,0.00
Fort Yukon,Yukon River,2024-05-10,2,2024-05-11,05-08,0.89,0.30,0.59,0.11,0.00
Ruby,Yukon River,2024-05-10,2,2024-05-11,05-09,0.95,0.34,0.61,0.05,0.00
Galena,Yukon River,2024-05-10,2,2024-05-11,05-10,0.95,0.29,0.65,0.05,0.00
Kaltag,Yukon River,2024-05-10,4,2024-05-13,05-11,0.77,0.14,0.63,0.23,0.00
Holy Cross,Yukon River,2024-05-10,4,2024-05-13,05-12,0.81,0.13,0.69,0.19,0.00
Marshall,Yukon River,2024-05-10,6,2024-05-15,05-12,0.78,0.03,0.50,0.47,0.00
Russian Mission,Yukon River,2024-05-10,5,2024-05-14,05-12,0.73,0.13,0.56,0.30,0.01
Anvik,Yukon River,2024-05-10,4,2024-05-13,05-14,0.75,0.14,0.62,0.25,0.00
Mountain Village,Yukon River,2024-05-10,7,2024-05-16,05-14,0.67,0.05,0.40,0.52,0.03
Emmonak,Yukon River,2024-05-10,12,2024-05-21,05-18,0.73,0.00,0.06,0.68,0.26
Alakanuk,Yukon River,2024-05-10,13,2024-05-22,05-19,0.69,0.00,0.03,0.54,0.43
