location,river,forecastdate,most likely breakup in (days),forecasted date,average breakup date,probability of breakup within ± 3 days around forecasted,probability of breakup within 1 or 2 days,probability of breakup within 3-7 days,probability of breakup within week 2 from now,probability of breakup within week 3 from now
Buckland,Buckland River,2024-04-26,21,2024-05-16,05-15,0.38,0.00,0.01,0.11,0.32
Fairbanks,Chena River,2024-04-26,-1,2024-04-24,04-24,0.87,0.33,0.53,0.13,0.00
Northway,Chisana River,2024-04-26,-1,2024-04-24,04-23,0.98,0.52,0.46,0.02,0.00
Gakona,Gakona River,2024-04-26,7,2024-05-02,04-29,0.39,0.09,0.27,0.36,0.20
Gakona,Gulkana River,2024-04-26,4,2024-04-29,04-28,0.46,0.12,0.34,0.37,0.14
Kobuk,Kobuk River,2024-04-26,19,2024-05-14,05-13,0.45,0.00,0.01,0.15,0.43
Shungnak,Kobuk River,2024-04-26,21,2024-05-16,05-15,0.48,0.00,0.00,0.09,0.40
Ambler,Kobuk River,2024-04-26,22,2024-05-17,05-16,0.43,0.00,0.00,0.07,0.31
Bettles,Koyukuk River,2024-04-26,15,2024-05-10,05-07,0.46,0.01,0.07,0.35,0.43
Allakaket,Koyukuk River,2024-04-26,16,2024-05-11,05-08,0.46,0.00,0.05,0.30,0.45
Hughes,Koyukuk River,2024-04-26,15,2024-05-10,05-08,0.46,0.01,0.06,0.34,0.44
Sleetmute,Kuskokwim River,2024-04-26,7,2024-05-02,05-02,0.59,0.07,0.37,0.49,0.07
Stony River,Kuskokwim River,2024-04-26,9,2024-05-04,05-02,0.57,0.04,0.27,0.55,0.14
Red Devil,Kuskokwim River,2024-04-26,8,2024-05-03,05-03,0.59,0.04,0.30,0.56,0.10
McGrath,Kuskokwim River,2024-04-26,8,2024-05-03,05-04,0.56,0.04,0.28,0.56,0.13
Crooked Creek,Kuskokwim River,2024-04-26,10,2024-05-05,05-04,0.56,0.02,0.17,0.57,0.22
Aniak,Kuskokwim River,2024-04-26,12,2024-05-07,05-05,0.52,0.01,0.10,0.49,0.36
Kalskag,Kuskokwim River,2024-04-26,11,2024-05-06,05-05,0.64,0.01,0.12,0.64,0.23
Tuluksak,Kuskokwim River,2024-04-26,13,2024-05-08,05-06,0.63,0.00,0.04,0.51,0.42
Akiak,Kuskokwim River,2024-04-26,14,2024-05-09,05-07,0.54,0.00,0.04,0.38,0.49
Bethel,Kuskokwim River,2024-04-26,15,2024-05-10,05-07,0.48,0.01,0.06,0.36,0.44
Sunshine,Susitna River,2024-04-26,6,2024-05-01,04-29,0.64,0.06,0.43,0.47,0.03
Nenana,Tanana River,2024-04-26,4,2024-04-29,04-29,0.77,0.17,0.60,0.23,0.00
Manley Hot Springs,Tanana River,2024-04-26,8,2024-05-03,05-01,0.57,0.05,0.31,0.53,0.11
Lake Creek,Yentna River,2024-04-26,6,2024-05-01,04-29,0.76,0.06,0.54,0.40,0.00
Dawson,Yukon River,2024-04-26,10,2024-05-05,05-03,0.71,0.00,0.15,0.72,0.12
Eagle,Yukon River,2024-04-26,10,2024-05-05,05-03,0.63,0.01,0.17,0.64,0.17
Circle,Yukon River,2024-04-26,14,2024-05-09,05-07,0.54,0.00,0.05,0.40,0.46
Tanana,Yukon River,2024-04-26,14,2024-05-09,05-07,0.57,0.00,0.04,0.42,0.48
Fort Yukon,Yukon River,2024-04-26,15,2024-05-10,05-08,0.53,0.00,0.03,0.32,0.51
Ruby,Yukon River,2024-04-26,15,2024-05-10,05-09,0.54,0.00,0.03,0.33,0.52
Galena,Yukon River,2024-04-26,16,2024-05-11,05-10,0.57,0.00,0.01,0.25,0.58
Kaltag,Yukon River,2024-04-26,18,2024-05-13,05-11,0.51,0.00,0.01,0.19,0.51
Holy Cross,Yukon River,2024-04-26,18,2024-05-13,05-12,0.57,0.00,0.00,0.13,0.57
Marshall,Yukon River,2024-04-26,21,2024-05-16,05-12,0.61,0.00,0.00,0.03,0.42
Russian Mission,Yukon River,2024-04-26,18,2024-05-13,05-12,0.53,0.00,0.01,0.15,0.53
Anvik,Yukon River,2024-04-26,18,2024-05-13,05-14,0.53,0.00,0.01,0.16,0.53
Mountain Village,Yukon River,2024-04-26,20,2024-05-15,05-14,0.50,0.00,0.00,0.09,0.43
Emmonak,Yukon River,2024-04-26,26,2024-05-21,05-18,0.47,0.00,0.00,0.01,0.13
Alakanuk,Yukon River,2024-04-26,27,2024-05-22,05-19,0.47,0.00,0.00,0.01,0.10
