location,river,forecastdate,most likely breakup in (days),forecasted date,average breakup date,probability of breakup within ± 3 days around forecasted,probability of breakup within 1 or 2 days,probability of breakup within 3-7 days,probability of breakup within week 2 from now,probability of breakup within week 3 from now
Buckland,Buckland River,2024-05-11,6,2024-05-16,05-15,0.54,0.09,0.38,0.44,0.08
Northway,Chisana River,2024-05-11,-16,2024-04-24,04-23,1.00,0.95,0.05,0.00,0.00
Gakona,Gulkana River,2024-05-11,-10,2024-04-30,04-28,0.87,0.40,0.47,0.12,0.01
Kobuk,Kobuk River,2024-05-11,4,2024-05-14,05-13,0.69,0.16,0.53,0.30,0.01
Shungnak,Kobuk River,2024-05-11,5,2024-05-15,05-15,0.65,0.09,0.50,0.40,0.02
Ambler,Kobuk River,2024-05-11,7,2024-05-17,05-16,0.55,0.08,0.36,0.46,0.09
Bettles,Koyukuk River,2024-05-11,-1,2024-05-09,05-07,0.91,0.37,0.54,0.09,0.00
Allakaket,Koyukuk River,2024-05-11,1,2024-05-11,05-08,0.85,0.30,0.55,0.15,0.00
Hughes,Koyukuk River,2024-05-11,0,2024-05-10,05-08,0.92,0.38,0.54,0.08,0.00
Tuluksak,Kuskokwim River,2024-05-11,-2,2024-05-08,05-06,0.99,0.63,0.36,0.01,0.00
Akiak,Kuskokwim River,2024-05-11,-1,2024-05-09,05-07,0.98,0.52,0.47,0.02,0.00
Manley Hot Springs,Tanana River,2024-05-11,-7,2024-05-03,05-01,1.00,0.75,0.24,0.00,0.00
Circle,Yukon River,2024-05-11,-1,2024-05-09,05-07,0.96,0.45,0.51,0.04,0.00
Tanana,Yukon River,2024-05-11,-1,2024-05-09,05-07,0.97,0.48,0.49,0.03,0.00
Fort Yukon,Yukon River,2024-05-11,0,2024-05-10,05-08,0.93,0.37,0.56,0.07,0.00
Ruby,Yukon River,2024-05-11,0,2024-05-10,05-09,0.98,0.44,0.53,0.02,0.00
Galena,Yukon River,2024-05-11,1,2024-05-11,05-10,0.98,0.40,0.57,0.02,0.00
Kaltag,Yukon River,2024-05-11,3,2024-05-13,05-11,0.86,0.21,0.66,0.14,0.00
Holy Cross,Yukon River,2024-05-11,3,2024-05-13,05-12,0.90,0.21,0.70,0.10,0.00
Marshall,Yukon River,2024-05-11,5,2024-05-15,05-12,0.79,0.06,0.62,0.32,0.00
Russian Mission,Yukon River,2024-05-11,3,2024-05-13,05-12,0.78,0.18,0.60,0.22,0.00
Anvik,Yukon River,2024-05-11,3,2024-05-13,05-14,0.84,0.20,0.64,0.16,0.00
Mountain Village,Yukon River,2024-05-11,6,2024-05-16,05-14,0.69,0.07,0.48,0.43,0.02
Emmonak,Yukon River,2024-05-11,10,2024-05-20,05-18,0.70,0.00,0.10,0.74,0.16
Alakanuk,Yukon River,2024-05-11,12,2024-05-22,05-19,0.71,0.00,0.05,0.64,0.30
