location,river,forecastdate,most likely breakup in (days),forecasted date,average breakup date,probability of breakup within ± 3 days around forecasted,probability of breakup within 1 or 2 days,probability of breakup within 3-7 days,probability of breakup within week 2 from now,probability of breakup within week 3 from now
Buckland,Buckland River,2024-05-14,3,2024-05-16,05-15,0.70,0.19,0.51,0.28,0.02
Northway,Chisana River,2024-05-14,-19,2024-04-24,04-23,1.00,0.97,0.03,0.00,0.00
Gakona,Gulkana River,2024-05-14,-13,2024-04-30,04-28,0.90,0.44,0.46,0.09,0.00
Kobuk,Kobuk River,2024-05-14,1,2024-05-14,05-13,0.88,0.32,0.56,0.12,0.00
Shungnak,Kobuk River,2024-05-14,2,2024-05-15,05-15,0.85,0.25,0.60,0.15,0.00
Ambler,Kobuk River,2024-05-14,3,2024-05-16,05-16,0.66,0.17,0.49,0.31,0.02
Bettles,Koyukuk River,2024-05-14,-4,2024-05-09,05-07,0.97,0.54,0.43,0.03,0.00
Allakaket,Koyukuk River,2024-05-14,-2,2024-05-11,05-08,0.95,0.45,0.49,0.05,0.00
Hughes,Koyukuk River,2024-05-14,-3,2024-05-10,05-08,0.98,0.56,0.42,0.02,0.00
Tuluksak,Kuskokwim River,2024-05-14,-5,2024-05-08,05-06,1.00,0.75,0.25,0.00,0.00
Akiak,Kuskokwim River,2024-05-14,-4,2024-05-09,05-07,1.00,0.67,0.32,0.00,0.00
Manley Hot Springs,Tanana River,2024-05-14,-10,2024-05-03,05-01,1.00,0.82,0.18,0.00,0.00
Circle,Yukon River,2024-05-14,-4,2024-05-09,05-07,0.99,0.62,0.37,0.01,0.00
Tanana,Yukon River,2024-05-14,-4,2024-05-09,05-07,1.00,0.67,0.32,0.00,0.00
Fort Yukon,Yukon River,2024-05-14,-3,2024-05-10,05-08,0.99,0.57,0.42,0.01,0.00
Ruby,Yukon River,2024-05-14,-3,2024-05-10,05-09,1.00,0.71,0.29,0.00,0.00
Galena,Yukon River,2024-05-14,-2,2024-05-11,05-10,1.00,0.71,0.29,0.00,0.00
Kaltag,Yukon River,2024-05-14,0,2024-05-13,05-11,0.98,0.48,0.50,0.02,0.00
Holy Cross,Yukon River,2024-05-14,0,2024-05-13,05-12,0.99,0.55,0.45,0.01,0.00
Marshall,Yukon River,2024-05-14,2,2024-05-15,05-12,0.94,0.30,0.64,0.06,0.00
Russian Mission,Yukon River,2024-05-14,0,2024-05-13,05-12,0.93,0.37,0.56,0.07,0.00
Anvik,Yukon River,2024-05-14,0,2024-05-13,05-14,0.97,0.44,0.53,0.03,0.00
Mountain Village,Yukon River,2024-05-14,3,2024-05-16,05-14,0.82,0.22,0.61,0.18,0.00
Emmonak,Yukon River,2024-05-14,7,2024-05-20,05-18,0.75,0.02,0.39,0.57,0.01
Alakanuk,Yukon River,2024-05-14,9,2024-05-22,05-19,0.74,0.01,0.22,0.72,0.06
