location,river,forecastdate,most likely breakup in (days),forecasted date,average breakup date,probability of breakup within ± 3 days around forecasted,probability of breakup within 1 or 2 days,probability of breakup within 3-7 days,probability of breakup within week 2 from now,probability of breakup within week 3 from now
Buckland,Buckland River,2024-05-02,15,2024-05-16,05-15,0.42,0.01,0.06,0.30,0.42
Fairbanks,Chena River,2024-05-02,-6,2024-04-25,04-24,0.97,0.56,0.41,0.03,0.00
Northway,Chisana River,2024-05-02,-7,2024-04-24,04-23,1.00,0.84,0.16,0.00,0.00
Gakona,Gakona River,2024-05-02,1,2024-05-02,04-29,0.56,0.17,0.39,0.33,0.10
Gakona,Gulkana River,2024-05-02,-1,2024-04-30,04-28,0.68,0.23,0.45,0.27,0.05
Kobuk,Kobuk River,2024-05-02,13,2024-05-14,05-13,0.50,0.01,0.10,0.45,0.38
Shungnak,Kobuk River,2024-05-02,15,2024-05-16,05-15,0.55,0.00,0.03,0.36,0.50
Ambler,Kobuk River,2024-05-02,16,2024-05-17,05-16,0.46,0.00,0.04,0.28,0.46
Bettles,Koyukuk River,2024-05-02,8,2024-05-09,05-07,0.52,0.05,0.28,0.51,0.15
Allakaket,Koyukuk River,2024-05-02,10,2024-05-11,05-08,0.52,0.03,0.21,0.52,0.22
Hughes,Koyukuk River,2024-05-02,9,2024-05-10,05-08,0.54,0.04,0.26,0.53,0.16
Sleetmute,Kuskokwim River,2024-05-02,1,2024-05-02,05-02,0.89,0.32,0.57,0.11,0.00
Stony River,Kuskokwim River,2024-05-02,2,2024-05-03,05-02,0.83,0.24,0.59,0.17,0.00
Red Devil,Kuskokwim River,2024-05-02,2,2024-05-03,05-03,0.88,0.27,0.61,0.12,0.00
McGrath,Kuskokwim River,2024-05-02,2,2024-05-03,05-04,0.86,0.25,0.61,0.14,0.00
Crooked Creek,Kuskokwim River,2024-05-02,4,2024-05-05,05-04,0.71,0.15,0.56,0.29,0.01
Aniak,Kuskokwim River,2024-05-02,6,2024-05-07,05-05,0.63,0.07,0.43,0.47,0.03
Kalskag,Kuskokwim River,2024-05-02,5,2024-05-06,05-05,0.76,0.09,0.59,0.31,0.00
Tuluksak,Kuskokwim River,2024-05-02,7,2024-05-08,05-06,0.76,0.03,0.43,0.53,0.01
Akiak,Kuskokwim River,2024-05-02,8,2024-05-09,05-07,0.64,0.02,0.27,0.64,0.08
Bethel,Kuskokwim River,2024-05-02,8,2024-05-09,05-07,0.56,0.04,0.28,0.55,0.13
Sunshine,Susitna River,2024-05-02,1,2024-05-02,04-29,0.91,0.34,0.57,0.09,0.00
Manley Hot Springs,Tanana River,2024-05-02,2,2024-05-03,05-01,0.84,0.26,0.58,0.16,0.00
Lake Creek,Yentna River,2024-05-02,0,2024-05-01,04-29,0.98,0.48,0.50,0.02,0.00
Eagle,Yukon River,2024-05-02,4,2024-05-05,05-03,0.77,0.14,0.63,0.23,0.00
Circle,Yukon River,2024-05-02,8,2024-05-09,05-07,0.60,0.04,0.30,0.57,0.09
Tanana,Yukon River,2024-05-02,8,2024-05-09,05-07,0.64,0.03,0.31,0.59,0.07
Fort Yukon,Yukon River,2024-05-02,9,2024-05-10,05-08,0.58,0.02,0.21,0.61,0.16
Ruby,Yukon River,2024-05-02,9,2024-05-10,05-09,0.64,0.01,0.20,0.67,0.12
Galena,Yukon River,2024-05-02,10,2024-05-11,05-10,0.66,0.00,0.13,0.69,0.17
Kaltag,Yukon River,2024-05-02,12,2024-05-13,05-11,0.60,0.00,0.09,0.56,0.33
Holy Cross,Yukon River,2024-05-02,12,2024-05-13,05-12,0.67,0.00,0.05,0.61,0.33
Marshall,Yukon River,2024-05-02,15,2024-05-16,05-12,0.73,0.00,0.00,0.35,0.61
Russian Mission,Yukon River,2024-05-02,12,2024-05-13,05-12,0.58,0.00,0.07,0.53,0.37
Anvik,Yukon River,2024-05-02,12,2024-05-13,05-14,0.62,0.00,0.07,0.57,0.34
Mountain Village,Yukon River,2024-05-02,15,2024-05-16,05-14,0.57,0.00,0.03,0.37,0.51
Emmonak,Yukon River,2024-05-02,20,2024-05-21,05-18,0.57,0.00,0.00,0.06,0.47
Alakanuk,Yukon River,2024-05-02,21,2024-05-22,05-19,0.55,0.00,0.00,0.04,0.39
