location,river,forecastdate,most likely breakup in (days),forecasted date,average breakup date,probability of breakup within ± 3 days around forecasted,probability of breakup within 1 or 2 days,probability of breakup within 3-7 days,probability of breakup within week 2 from now
Buckland,Buckland River,2024-04-10,38,2024-05-16,05-15,0.35,0.00,0.00,0.02
Fairbanks,Chena River,2024-04-10,14,2024-04-22,04-24,0.44,0.02,0.12,0.35
Northway,Chisana River,2024-04-10,16,2024-04-24,04-23,0.59,0.00,0.02,0.54
Gakona,Gakona River,2024-04-10,23,2024-05-01,04-29,0.28,0.01,0.04,0.24
Gakona,Gulkana River,2024-04-10,21,2024-04-29,04-28,0.30,0.01,0.04,0.28
Kobuk,Kobuk River,2024-04-10,35,2024-05-13,05-13,0.41,0.00,0.00,0.02
Shungnak,Kobuk River,2024-04-10,36,2024-05-14,05-15,0.41,0.00,0.00,0.01
Ambler,Kobuk River,2024-04-10,37,2024-05-15,05-16,0.42,0.00,0.00,0.01
Bettles,Koyukuk River,2024-04-10,31,2024-05-09,05-07,0.42,0.00,0.00,0.06
Allakaket,Koyukuk River,2024-04-10,32,2024-05-10,05-08,0.43,0.00,0.00,0.04
Hughes,Koyukuk River,2024-04-10,31,2024-05-09,05-08,0.41,0.00,0.00,0.07
Nikolai,Kuskokwim River,2024-04-10,10,2024-04-18,04-20,0.51,0.04,0.24,0.20
Sleetmute,Kuskokwim River,2024-04-10,23,2024-05-01,05-02,0.43,0.00,0.01,0.32
Stony River,Kuskokwim River,2024-04-10,25,2024-05-03,05-02,0.44,0.00,0.00,0.24
Red Devil,Kuskokwim River,2024-04-10,24,2024-05-02,05-03,0.42,0.00,0.00,0.28
McGrath,Kuskokwim River,2024-04-10,25,2024-05-03,05-04,0.43,0.00,0.00,0.24
Crooked Creek,Kuskokwim River,2024-04-10,27,2024-05-05,05-04,0.41,0.00,0.00,0.18
Aniak,Kuskokwim River,2024-04-10,28,2024-05-06,05-05,0.39,0.00,0.00,0.16
Kalskag,Kuskokwim River,2024-04-10,26,2024-05-04,05-05,0.44,0.00,0.00,0.20
Tuluksak,Kuskokwim River,2024-04-10,28,2024-05-06,05-06,0.42,0.00,0.00,0.13
Akiak,Kuskokwim River,2024-04-10,29,2024-05-07,05-07,0.41,0.00,0.00,0.10
Bethel,Kuskokwim River,2024-04-10,30,2024-05-08,05-07,0.36,0.00,0.00,0.10
Sunshine,Susitna River,2024-04-10,23,2024-05-01,04-29,0.52,0.00,0.00,0.36
Nenana,Tanana River,2024-04-10,20,2024-04-28,04-29,0.48,0.00,0.01,0.45
Manley Hot Springs,Tanana River,2024-04-10,22,2024-04-30,05-01,0.43,0.00,0.01,0.34
Lake Creek,Yentna River,2024-04-10,21,2024-04-29,04-29,0.62,0.00,0.00,0.48
Dawson,Yukon River,2024-04-10,26,2024-05-04,05-03,0.57,0.00,0.00,0.15
Eagle,Yukon River,2024-04-10,25,2024-05-03,05-03,0.49,0.00,0.00,0.21
Circle,Yukon River,2024-04-10,30,2024-05-08,05-07,0.48,0.00,0.00,0.05
Tanana,Yukon River,2024-04-10,30,2024-05-08,05-07,0.48,0.00,0.00,0.07
Fort Yukon,Yukon River,2024-04-10,31,2024-05-09,05-08,0.48,0.00,0.00,0.04
Ruby,Yukon River,2024-04-10,32,2024-05-10,05-09,0.45,0.00,0.00,0.04
Galena,Yukon River,2024-04-10,33,2024-05-11,05-10,0.47,0.00,0.00,0.02
Kaltag,Yukon River,2024-04-10,33,2024-05-11,05-11,0.43,0.00,0.00,0.03
Holy Cross,Yukon River,2024-04-10,34,2024-05-12,05-12,0.44,0.00,0.00,0.02
Marshall,Yukon River,2024-04-10,36,2024-05-14,05-12,0.41,0.00,0.00,0.01
Russian Mission,Yukon River,2024-04-10,34,2024-05-12,05-12,0.42,0.00,0.00,0.02
Anvik,Yukon River,2024-04-10,33,2024-05-11,05-14,0.43,0.00,0.00,0.03
Mountain Village,Yukon River,2024-04-10,36,2024-05-14,05-14,0.39,0.00,0.00,0.02
Emmonak,Yukon River,2024-04-10,42,2024-05-20,05-18,0.36,0.00,0.00,0.00
Alakanuk,Yukon River,2024-04-10,43,2024-05-21,05-19,0.38,0.00,0.00,0.00
