location,river,forecastdate,most likely breakup in (days),forecasted date,average breakup date,probability of breakup within ± 3 days around forecasted,probability of breakup within 1 or 2 days,probability of breakup within 3-7 days,probability of breakup within week 2 from now,probability of breakup within week 3 from now
Buckland,Buckland River,2024-04-29,18,2024-05-16,05-15,0.40,0.00,0.03,0.19,0.40
Fairbanks,Chena River,2024-04-29,-3,2024-04-25,04-24,0.93,0.45,0.49,0.06,0.00
Northway,Chisana River,2024-04-29,-4,2024-04-24,04-23,1.00,0.74,0.26,0.00,0.00
Gakona,Gakona River,2024-04-29,4,2024-05-02,04-29,0.46,0.13,0.33,0.36,0.15
Gakona,Gulkana River,2024-04-29,2,2024-04-30,04-28,0.58,0.17,0.41,0.33,0.08
Kobuk,Kobuk River,2024-04-29,16,2024-05-14,05-13,0.48,0.00,0.04,0.29,0.47
Shungnak,Kobuk River,2024-04-29,18,2024-05-16,05-15,0.52,0.00,0.01,0.18,0.52
Ambler,Kobuk River,2024-04-29,19,2024-05-17,05-16,0.45,0.00,0.01,0.15,0.43
Bettles,Koyukuk River,2024-04-29,11,2024-05-09,05-07,0.48,0.02,0.15,0.48,0.31
Allakaket,Koyukuk River,2024-04-29,13,2024-05-11,05-08,0.48,0.01,0.10,0.44,0.37
Hughes,Koyukuk River,2024-04-29,12,2024-05-10,05-08,0.50,0.02,0.13,0.48,0.32
Sleetmute,Kuskokwim River,2024-04-29,4,2024-05-02,05-02,0.70,0.16,0.54,0.29,0.01
Stony River,Kuskokwim River,2024-04-29,6,2024-05-04,05-02,0.65,0.10,0.47,0.41,0.03
Red Devil,Kuskokwim River,2024-04-29,5,2024-05-03,05-03,0.68,0.11,0.52,0.36,0.01
McGrath,Kuskokwim River,2024-04-29,5,2024-05-03,05-04,0.64,0.10,0.48,0.40,0.02
Crooked Creek,Kuskokwim River,2024-04-29,7,2024-05-05,05-04,0.61,0.05,0.36,0.53,0.06
Aniak,Kuskokwim River,2024-04-29,9,2024-05-07,05-05,0.57,0.02,0.22,0.59,0.16
Kalskag,Kuskokwim River,2024-04-29,8,2024-05-06,05-05,0.71,0.02,0.31,0.63,0.04
Tuluksak,Kuskokwim River,2024-04-29,10,2024-05-08,05-06,0.70,0.00,0.15,0.71,0.14
Akiak,Kuskokwim River,2024-04-29,11,2024-05-09,05-07,0.58,0.01,0.10,0.58,0.30
Bethel,Kuskokwim River,2024-04-29,11,2024-05-09,05-07,0.50,0.02,0.14,0.50,0.31
Sunshine,Susitna River,2024-04-29,4,2024-05-02,04-29,0.75,0.18,0.58,0.24,0.00
Nenana,Tanana River,2024-04-29,1,2024-04-29,04-29,0.95,0.38,0.57,0.05,0.00
Manley Hot Springs,Tanana River,2024-04-29,5,2024-05-03,05-01,0.65,0.12,0.49,0.37,0.02
Lake Creek,Yentna River,2024-04-29,3,2024-05-01,04-29,0.88,0.23,0.66,0.12,0.00
Dawson,Yukon River,2024-04-29,7,2024-05-05,05-03,0.76,0.02,0.41,0.55,0.01
Eagle,Yukon River,2024-04-29,7,2024-05-05,05-03,0.69,0.04,0.39,0.54,0.03
Circle,Yukon River,2024-04-29,11,2024-05-09,05-07,0.57,0.01,0.13,0.57,0.27
Tanana,Yukon River,2024-04-29,11,2024-05-09,05-07,0.61,0.01,0.12,0.61,0.25
Fort Yukon,Yukon River,2024-04-29,12,2024-05-10,05-08,0.56,0.00,0.08,0.52,0.37
Ruby,Yukon River,2024-04-29,12,2024-05-10,05-09,0.59,0.00,0.08,0.55,0.35
Galena,Yukon River,2024-04-29,13,2024-05-11,05-10,0.61,0.00,0.04,0.48,0.45
Kaltag,Yukon River,2024-04-29,15,2024-05-13,05-11,0.55,0.00,0.03,0.35,0.51
Holy Cross,Yukon River,2024-04-29,15,2024-05-13,05-12,0.62,0.00,0.01,0.32,0.59
Marshall,Yukon River,2024-04-29,18,2024-05-16,05-12,0.67,0.00,0.00,0.11,0.67
Russian Mission,Yukon River,2024-04-29,15,2024-05-13,05-12,0.56,0.00,0.02,0.32,0.54
Anvik,Yukon River,2024-04-29,15,2024-05-13,05-14,0.57,0.00,0.02,0.34,0.53
Mountain Village,Yukon River,2024-04-29,17,2024-05-15,05-14,0.53,0.00,0.01,0.19,0.55
Emmonak,Yukon River,2024-04-29,23,2024-05-21,05-18,0.52,0.00,0.00,0.02,0.25
Alakanuk,Yukon River,2024-04-29,24,2024-05-22,05-19,0.51,0.00,0.00,0.01,0.21
