location,river,forecastdate,most likely breakup in (days),forecasted date,average breakup date,probability of breakup within ± 3 days around forecasted,probability of breakup within 1 or 2 days,probability of breakup within 3-7 days,probability of breakup within week 2 from now,probability of breakup within week 3 from now
Buckland,Buckland River,2024-04-21,26,2024-05-16,05-15,0.36,0.00,0.00,0.04,0.17
Fairbanks,Chena River,2024-04-21,4,2024-04-24,04-24,0.64,0.16,0.49,0.33,0.03
Northway,Chisana River,2024-04-21,4,2024-04-24,04-23,0.75,0.13,0.61,0.25,0.00
Gakona,Gakona River,2024-04-21,12,2024-05-02,04-29,0.32,0.05,0.17,0.32,0.28
Gakona,Gulkana River,2024-04-21,9,2024-04-29,04-28,0.37,0.06,0.22,0.37,0.25
Kobuk,Kobuk River,2024-04-21,24,2024-05-14,05-13,0.42,0.00,0.00,0.04,0.23
Shungnak,Kobuk River,2024-04-21,26,2024-05-16,05-15,0.45,0.00,0.00,0.02,0.17
Ambler,Kobuk River,2024-04-21,27,2024-05-17,05-16,0.42,0.00,0.00,0.01,0.12
Bettles,Koyukuk River,2024-04-21,20,2024-05-10,05-07,0.44,0.00,0.01,0.14,0.41
Allakaket,Koyukuk River,2024-04-21,21,2024-05-11,05-08,0.44,0.00,0.01,0.10,0.37
Hughes,Koyukuk River,2024-04-21,20,2024-05-10,05-08,0.43,0.00,0.01,0.13,0.40
Nikolai,Kuskokwim River,2024-04-21,0,2024-04-20,04-20,0.90,0.35,0.55,0.10,0.00
Sleetmute,Kuskokwim River,2024-04-21,12,2024-05-02,05-02,0.51,0.01,0.12,0.49,0.34
Stony River,Kuskokwim River,2024-04-21,14,2024-05-04,05-02,0.50,0.01,0.07,0.40,0.43
Red Devil,Kuskokwim River,2024-04-21,13,2024-05-03,05-03,0.50,0.01,0.08,0.43,0.40
McGrath,Kuskokwim River,2024-04-21,14,2024-05-04,05-04,0.52,0.01,0.07,0.42,0.43
Crooked Creek,Kuskokwim River,2024-04-21,16,2024-05-06,05-04,0.50,0.00,0.04,0.30,0.48
Aniak,Kuskokwim River,2024-04-21,17,2024-05-07,05-05,0.47,0.00,0.02,0.21,0.48
Kalskag,Kuskokwim River,2024-04-21,16,2024-05-06,05-05,0.54,0.00,0.02,0.28,0.54
Tuluksak,Kuskokwim River,2024-04-21,18,2024-05-08,05-06,0.53,0.00,0.01,0.17,0.53
Akiak,Kuskokwim River,2024-04-21,20,2024-05-10,05-07,0.49,0.00,0.01,0.12,0.45
Bethel,Kuskokwim River,2024-04-21,20,2024-05-10,05-07,0.43,0.00,0.01,0.13,0.39
Sunshine,Susitna River,2024-04-21,11,2024-05-01,04-29,0.61,0.00,0.10,0.61,0.28
Nenana,Tanana River,2024-04-21,9,2024-04-29,04-29,0.64,0.02,0.26,0.62,0.10
Manley Hot Springs,Tanana River,2024-04-21,13,2024-05-03,05-01,0.51,0.01,0.09,0.45,0.39
Lake Creek,Yentna River,2024-04-21,11,2024-05-01,04-29,0.74,0.00,0.08,0.74,0.18
Dawson,Yukon River,2024-04-21,15,2024-05-05,05-03,0.65,0.00,0.01,0.35,0.58
Eagle,Yukon River,2024-04-21,15,2024-05-05,05-03,0.57,0.00,0.03,0.35,0.52
Circle,Yukon River,2024-04-21,19,2024-05-09,05-07,0.50,0.00,0.01,0.13,0.48
Tanana,Yukon River,2024-04-21,19,2024-05-09,05-07,0.53,0.00,0.00,0.12,0.51
Fort Yukon,Yukon River,2024-04-21,20,2024-05-10,05-08,0.50,0.00,0.00,0.09,0.43
Ruby,Yukon River,2024-04-21,20,2024-05-10,05-09,0.50,0.00,0.00,0.09,0.43
Galena,Yukon River,2024-04-21,21,2024-05-11,05-10,0.52,0.00,0.00,0.05,0.37
Kaltag,Yukon River,2024-04-21,23,2024-05-13,05-11,0.47,0.00,0.00,0.05,0.30
Holy Cross,Yukon River,2024-04-21,23,2024-05-13,05-12,0.51,0.00,0.00,0.02,0.26
Marshall,Yukon River,2024-04-21,26,2024-05-16,05-12,0.52,0.00,0.00,0.00,0.10
Russian Mission,Yukon River,2024-04-21,23,2024-05-13,05-12,0.49,0.00,0.00,0.03,0.27
Anvik,Yukon River,2024-04-21,23,2024-05-13,05-14,0.49,0.00,0.00,0.03,0.29
Mountain Village,Yukon River,2024-04-21,25,2024-05-15,05-14,0.45,0.00,0.00,0.02,0.19
Emmonak,Yukon River,2024-04-21,32,2024-05-22,05-18,0.42,0.00,0.00,0.00,0.03
Alakanuk,Yukon River,2024-04-21,32,2024-05-22,05-19,0.42,0.00,0.00,0.00,0.03
