location,river,forecastdate,most likely breakup in (days),forecasted date,average breakup date,probability of breakup within ± 3 days around forecasted,probability of breakup within 1 or 2 days,probability of breakup within 3-7 days,probability of breakup within week 2 from now
Buckland,Buckland River,2024-04-18,30,2024-05-16,05-15,0.35,0.00,0.00,0.10
Fairbanks,Chena River,2024-04-18,8,2024-04-24,04-24,0.55,0.08,0.36,0.09
Northway,Chisana River,2024-04-18,8,2024-04-24,04-23,0.71,0.03,0.37,0.03
Gakona,Gakona River,2024-04-18,16,2024-05-02,04-29,0.30,0.03,0.12,0.29
Gakona,Gulkana River,2024-04-18,13,2024-04-29,04-28,0.35,0.04,0.16,0.30
Kobuk,Kobuk River,2024-04-18,28,2024-05-14,05-13,0.42,0.00,0.00,0.13
Shungnak,Kobuk River,2024-04-18,29,2024-05-15,05-15,0.44,0.00,0.00,0.09
Ambler,Kobuk River,2024-04-18,31,2024-05-17,05-16,0.42,0.00,0.00,0.06
Bettles,Koyukuk River,2024-04-18,24,2024-05-10,05-07,0.43,0.00,0.00,0.30
Allakaket,Koyukuk River,2024-04-18,25,2024-05-11,05-08,0.44,0.00,0.00,0.26
Hughes,Koyukuk River,2024-04-18,24,2024-05-10,05-08,0.42,0.00,0.00,0.29
Nikolai,Kuskokwim River,2024-04-18,4,2024-04-20,04-20,0.77,0.21,0.55,0.01
Sleetmute,Kuskokwim River,2024-04-18,16,2024-05-02,05-02,0.50,0.00,0.05,0.46
Stony River,Kuskokwim River,2024-04-18,18,2024-05-04,05-02,0.49,0.00,0.02,0.49
Red Devil,Kuskokwim River,2024-04-18,17,2024-05-03,05-03,0.49,0.00,0.03,0.48
McGrath,Kuskokwim River,2024-04-18,18,2024-05-04,05-04,0.49,0.00,0.03,0.49
Crooked Creek,Kuskokwim River,2024-04-18,20,2024-05-06,05-04,0.48,0.00,0.01,0.46
Aniak,Kuskokwim River,2024-04-18,21,2024-05-07,05-05,0.46,0.00,0.01,0.40
Kalskag,Kuskokwim River,2024-04-18,20,2024-05-06,05-05,0.53,0.00,0.01,0.50
Tuluksak,Kuskokwim River,2024-04-18,22,2024-05-08,05-06,0.51,0.00,0.00,0.41
Akiak,Kuskokwim River,2024-04-18,23,2024-05-09,05-07,0.48,0.00,0.00,0.31
Bethel,Kuskokwim River,2024-04-18,24,2024-05-10,05-07,0.43,0.00,0.00,0.28
Sunshine,Susitna River,2024-04-18,15,2024-05-01,04-29,0.62,0.00,0.03,0.51
Nenana,Tanana River,2024-04-18,13,2024-04-29,04-29,0.59,0.01,0.11,0.31
Manley Hot Springs,Tanana River,2024-04-18,16,2024-05-02,05-01,0.51,0.00,0.04,0.49
Lake Creek,Yentna River,2024-04-18,15,2024-05-01,04-29,0.75,0.00,0.01,0.51
Dawson,Yukon River,2024-04-18,19,2024-05-05,05-03,0.64,0.00,0.00,0.64
Eagle,Yukon River,2024-04-18,19,2024-05-05,05-03,0.56,0.00,0.01,0.55
Circle,Yukon River,2024-04-18,23,2024-05-09,05-07,0.50,0.00,0.00,0.34
Tanana,Yukon River,2024-04-18,23,2024-05-09,05-07,0.52,0.00,0.00,0.36
Fort Yukon,Yukon River,2024-04-18,24,2024-05-10,05-08,0.50,0.00,0.00,0.28
Ruby,Yukon River,2024-04-18,24,2024-05-10,05-09,0.49,0.00,0.00,0.28
Galena,Yukon River,2024-04-18,25,2024-05-11,05-10,0.51,0.00,0.00,0.20
Kaltag,Yukon River,2024-04-18,26,2024-05-12,05-11,0.46,0.00,0.00,0.18
Holy Cross,Yukon River,2024-04-18,27,2024-05-13,05-12,0.50,0.00,0.00,0.13
Marshall,Yukon River,2024-04-18,30,2024-05-16,05-12,0.49,0.00,0.00,0.05
Russian Mission,Yukon River,2024-04-18,27,2024-05-13,05-12,0.48,0.00,0.00,0.13
Anvik,Yukon River,2024-04-18,27,2024-05-13,05-14,0.48,0.00,0.00,0.16
Mountain Village,Yukon River,2024-04-18,29,2024-05-15,05-14,0.43,0.00,0.00,0.10
Emmonak,Yukon River,2024-04-18,36,2024-05-22,05-18,0.40,0.00,0.00,0.02
Alakanuk,Yukon River,2024-04-18,36,2024-05-22,05-19,0.42,0.00,0.00,0.01
