location,river,forecastdate,most likely breakup in (days),forecasted date,average breakup date,probability of breakup within ± 3 days around forecasted,probability of breakup within 1 or 2 days,probability of breakup within 3-7 days,probability of breakup within week 2 from now
Buckland,Buckland River,2024-04-16,32,2024-05-16,05-15,0.35,0.00,0.00,0.07
Fairbanks,Chena River,2024-04-16,9,2024-04-23,04-24,0.51,0.06,0.28,0.16
Northway,Chisana River,2024-04-16,10,2024-04-24,04-23,0.67,0.01,0.20,0.12
Gakona,Gakona River,2024-04-16,17,2024-05-01,04-29,0.29,0.02,0.10,0.29
Gakona,Gulkana River,2024-04-16,15,2024-04-29,04-28,0.33,0.03,0.12,0.31
Kobuk,Kobuk River,2024-04-16,30,2024-05-14,05-13,0.42,0.00,0.00,0.09
Shungnak,Kobuk River,2024-04-16,31,2024-05-15,05-15,0.43,0.00,0.00,0.06
Ambler,Kobuk River,2024-04-16,33,2024-05-17,05-16,0.42,0.00,0.00,0.03
Bettles,Koyukuk River,2024-04-16,25,2024-05-09,05-07,0.43,0.00,0.00,0.23
Allakaket,Koyukuk River,2024-04-16,27,2024-05-11,05-08,0.44,0.00,0.00,0.18
Hughes,Koyukuk River,2024-04-16,25,2024-05-09,05-08,0.42,0.00,0.00,0.23
Nikolai,Kuskokwim River,2024-04-16,5,2024-04-19,04-20,0.67,0.14,0.50,0.02
Sleetmute,Kuskokwim River,2024-04-16,18,2024-05-02,05-02,0.48,0.00,0.03,0.48
Stony River,Kuskokwim River,2024-04-16,20,2024-05-04,05-02,0.48,0.00,0.01,0.47
Red Devil,Kuskokwim River,2024-04-16,19,2024-05-03,05-03,0.47,0.00,0.02,0.47
McGrath,Kuskokwim River,2024-04-16,19,2024-05-03,05-04,0.48,0.00,0.01,0.47
Crooked Creek,Kuskokwim River,2024-04-16,21,2024-05-05,05-04,0.46,0.00,0.01,0.40
Aniak,Kuskokwim River,2024-04-16,23,2024-05-07,05-05,0.45,0.00,0.00,0.33
Kalskag,Kuskokwim River,2024-04-16,21,2024-05-05,05-05,0.51,0.00,0.00,0.42
Tuluksak,Kuskokwim River,2024-04-16,23,2024-05-07,05-06,0.49,0.00,0.00,0.31
Akiak,Kuskokwim River,2024-04-16,25,2024-05-09,05-07,0.48,0.00,0.00,0.23
Bethel,Kuskokwim River,2024-04-16,26,2024-05-10,05-07,0.42,0.00,0.00,0.22
Sunshine,Susitna River,2024-04-16,17,2024-05-01,04-29,0.59,0.00,0.01,0.58
Nenana,Tanana River,2024-04-16,14,2024-04-28,04-29,0.56,0.00,0.06,0.44
Manley Hot Springs,Tanana River,2024-04-16,18,2024-05-02,05-01,0.49,0.00,0.02,0.49
Lake Creek,Yentna River,2024-04-16,16,2024-04-30,04-29,0.73,0.00,0.00,0.67
Dawson,Yukon River,2024-04-16,21,2024-05-05,05-03,0.62,0.00,0.00,0.53
Eagle,Yukon River,2024-04-16,20,2024-05-04,05-03,0.54,0.00,0.00,0.49
Circle,Yukon River,2024-04-16,25,2024-05-09,05-07,0.50,0.00,0.00,0.25
Tanana,Yukon River,2024-04-16,24,2024-05-08,05-07,0.51,0.00,0.00,0.26
Fort Yukon,Yukon River,2024-04-16,26,2024-05-10,05-08,0.49,0.00,0.00,0.19
Ruby,Yukon River,2024-04-16,26,2024-05-10,05-09,0.48,0.00,0.00,0.19
Galena,Yukon River,2024-04-16,27,2024-05-11,05-10,0.51,0.00,0.00,0.12
Kaltag,Yukon River,2024-04-16,28,2024-05-12,05-11,0.46,0.00,0.00,0.12
Holy Cross,Yukon River,2024-04-16,29,2024-05-13,05-12,0.49,0.00,0.00,0.08
Marshall,Yukon River,2024-04-16,31,2024-05-15,05-12,0.47,0.00,0.00,0.04
Russian Mission,Yukon River,2024-04-16,29,2024-05-13,05-12,0.47,0.00,0.00,0.09
Anvik,Yukon River,2024-04-16,28,2024-05-12,05-14,0.48,0.00,0.00,0.11
Mountain Village,Yukon River,2024-04-16,31,2024-05-15,05-14,0.42,0.00,0.00,0.07
Emmonak,Yukon River,2024-04-16,37,2024-05-21,05-18,0.39,0.00,0.00,0.01
Alakanuk,Yukon River,2024-04-16,38,2024-05-22,05-19,0.42,0.00,0.00,0.01
