location,river,forecastdate,most likely breakup in (days),forecasted date,average breakup date,probability of breakup within ± 3 days around forecasted,probability of breakup within 1 or 2 days,probability of breakup within 3-7 days,probability of breakup within week 2 from now,probability of breakup within week 3 from now
Buckland,Buckland River,2024-05-20,-3,2024-05-16,05-15,0.92,0.42,0.50,0.08,0.00
Northway,Chisana River,2024-05-20,-25,2024-04-24,04-23,1.00,0.99,0.01,0.00,0.00
Gakona,Gulkana River,2024-05-20,-19,2024-04-30,04-28,0.94,0.53,0.42,0.05,0.00
Kobuk,Kobuk River,2024-05-20,-5,2024-05-14,05-13,0.99,0.63,0.36,0.01,0.00
Shungnak,Kobuk River,2024-05-20,-4,2024-05-15,05-15,0.99,0.61,0.38,0.01,0.00
Ambler,Kobuk River,2024-05-20,-3,2024-05-16,05-16,0.91,0.41,0.50,0.09,0.00
Bettles,Koyukuk River,2024-05-20,-10,2024-05-09,05-07,1.00,0.76,0.24,0.00,0.00
Allakaket,Koyukuk River,2024-05-20,-9,2024-05-10,05-08,0.99,0.71,0.29,0.01,0.00
Hughes,Koyukuk River,2024-05-20,-9,2024-05-10,05-08,1.00,0.82,0.18,0.00,0.00
Tuluksak,Kuskokwim River,2024-05-20,-11,2024-05-08,05-06,1.00,0.88,0.12,0.00,0.00
Akiak,Kuskokwim River,2024-05-20,-10,2024-05-09,05-07,1.00,0.86,0.14,0.00,0.00
Manley Hot Springs,Tanana River,2024-05-20,-16,2024-05-03,05-01,1.00,0.94,0.06,0.00,0.00
Tanana,Yukon River,2024-05-20,-10,2024-05-09,05-07,1.00,0.87,0.13,0.00,0.00
Ruby,Yukon River,2024-05-20,-9,2024-05-10,05-09,1.00,0.93,0.07,0.00,0.00
Kaltag,Yukon River,2024-05-20,-6,2024-05-13,05-11,1.00,0.86,0.14,0.00,0.00
Holy Cross,Yukon River,2024-05-20,-6,2024-05-13,05-12,1.00,0.94,0.06,0.00,0.00
Marshall,Yukon River,2024-05-20,-4,2024-05-15,05-12,1.00,0.76,0.24,0.00,0.00
Russian Mission,Yukon River,2024-05-20,-5,2024-05-14,05-12,1.00,0.70,0.30,0.00,0.00
Anvik,Yukon River,2024-05-20,-6,2024-05-13,05-14,1.00,0.82,0.18,0.00,0.00
Mountain Village,Yukon River,2024-05-20,-3,2024-05-16,05-14,0.99,0.61,0.38,0.01,0.00
Emmonak,Yukon River,2024-05-20,1,2024-05-20,05-18,0.97,0.42,0.55,0.03,0.00
Alakanuk,Yukon River,2024-05-20,3,2024-05-22,05-19,0.90,0.25,0.65,0.10,0.00
