location,river,forecastdate,most likely breakup in (days),forecasted date,average breakup date,probability of breakup within ± 3 days around forecasted,probability of breakup within 1 or 2 days,probability of breakup within 3-7 days,probability of breakup within week 2 from now,probability of breakup within week 3 from now
Buckland,Buckland River,2024-04-24,23,2024-05-16,05-15,0.36,0.00,0.01,0.08,0.26
Fairbanks,Chena River,2024-04-24,1,2024-04-24,04-24,0.81,0.27,0.54,0.18,0.01
Northway,Chisana River,2024-04-24,1,2024-04-24,04-23,0.94,0.35,0.59,0.06,0.00
Gakona,Gakona River,2024-04-24,9,2024-05-02,04-29,0.36,0.07,0.23,0.35,0.24
Gakona,Gulkana River,2024-04-24,6,2024-04-29,04-28,0.42,0.09,0.29,0.38,0.18
Kobuk,Kobuk River,2024-04-24,21,2024-05-14,05-13,0.44,0.00,0.01,0.09,0.36
Shungnak,Kobuk River,2024-04-24,23,2024-05-16,05-15,0.46,0.00,0.00,0.05,0.30
Ambler,Kobuk River,2024-04-24,24,2024-05-17,05-16,0.42,0.00,0.00,0.04,0.23
Bettles,Koyukuk River,2024-04-24,17,2024-05-10,05-07,0.45,0.00,0.04,0.26,0.45
Allakaket,Koyukuk River,2024-04-24,18,2024-05-11,05-08,0.45,0.00,0.03,0.21,0.45
Hughes,Koyukuk River,2024-04-24,17,2024-05-10,05-08,0.45,0.00,0.03,0.25,0.45
Sleetmute,Kuskokwim River,2024-04-24,9,2024-05-02,05-02,0.54,0.04,0.25,0.54,0.17
Stony River,Kuskokwim River,2024-04-24,11,2024-05-04,05-02,0.53,0.02,0.17,0.53,0.26
Red Devil,Kuskokwim River,2024-04-24,10,2024-05-03,05-03,0.54,0.02,0.19,0.55,0.22
McGrath,Kuskokwim River,2024-04-24,11,2024-05-04,05-04,0.55,0.02,0.17,0.55,0.25
Crooked Creek,Kuskokwim River,2024-04-24,12,2024-05-05,05-04,0.51,0.01,0.10,0.48,0.37
Aniak,Kuskokwim River,2024-04-24,14,2024-05-07,05-05,0.49,0.00,0.06,0.37,0.45
Kalskag,Kuskokwim River,2024-04-24,13,2024-05-06,05-05,0.58,0.00,0.06,0.50,0.40
Tuluksak,Kuskokwim River,2024-04-24,15,2024-05-08,05-06,0.58,0.00,0.02,0.34,0.54
Akiak,Kuskokwim River,2024-04-24,17,2024-05-10,05-07,0.52,0.00,0.02,0.25,0.52
Bethel,Kuskokwim River,2024-04-24,17,2024-05-10,05-07,0.46,0.00,0.03,0.25,0.46
Sunshine,Susitna River,2024-04-24,8,2024-05-01,04-29,0.63,0.03,0.28,0.61,0.08
Nenana,Tanana River,2024-04-24,6,2024-04-29,04-29,0.68,0.09,0.48,0.41,0.02
Manley Hot Springs,Tanana River,2024-04-24,10,2024-05-03,05-01,0.54,0.03,0.20,0.54,0.21
Lake Creek,Yentna River,2024-04-24,8,2024-05-01,04-29,0.75,0.02,0.33,0.63,0.03
Dawson,Yukon River,2024-04-24,12,2024-05-05,05-03,0.69,0.00,0.06,0.63,0.30
Eagle,Yukon River,2024-04-24,12,2024-05-05,05-03,0.59,0.00,0.09,0.56,0.33
Circle,Yukon River,2024-04-24,16,2024-05-09,05-07,0.52,0.00,0.02,0.28,0.52
Tanana,Yukon River,2024-04-24,16,2024-05-09,05-07,0.55,0.00,0.02,0.28,0.55
Fort Yukon,Yukon River,2024-04-24,17,2024-05-10,05-08,0.51,0.00,0.01,0.21,0.52
Ruby,Yukon River,2024-04-24,17,2024-05-10,05-09,0.52,0.00,0.01,0.21,0.53
Galena,Yukon River,2024-04-24,18,2024-05-11,05-10,0.54,0.00,0.00,0.14,0.54
Kaltag,Yukon River,2024-04-24,20,2024-05-13,05-11,0.49,0.00,0.01,0.11,0.44
Holy Cross,Yukon River,2024-04-24,20,2024-05-13,05-12,0.54,0.00,0.00,0.07,0.46
Marshall,Yukon River,2024-04-24,23,2024-05-16,05-12,0.58,0.00,0.00,0.01,0.25
Russian Mission,Yukon River,2024-04-24,20,2024-05-13,05-12,0.51,0.00,0.00,0.08,0.44
Anvik,Yukon River,2024-04-24,20,2024-05-13,05-14,0.51,0.00,0.00,0.09,0.45
Mountain Village,Yukon River,2024-04-24,22,2024-05-15,05-14,0.47,0.00,0.00,0.05,0.32
Emmonak,Yukon River,2024-04-24,29,2024-05-22,05-18,0.45,0.00,0.00,0.00,0.08
Alakanuk,Yukon River,2024-04-24,29,2024-05-22,05-19,0.45,0.00,0.00,0.00,0.06
