location,river,forecastdate,most likely breakup in (days),forecasted date,average breakup date,probability of breakup within ± 3 days around forecasted,probability of breakup within 1 or 2 days,probability of breakup within 3-7 days,probability of breakup within week 2 from now,probability of breakup within week 3 from now
Buckland,Buckland River,2024-04-30,17,2024-05-16,05-15,0.41,0.00,0.04,0.23,0.42
Fairbanks,Chena River,2024-04-30,-4,2024-04-25,04-24,0.95,0.49,0.46,0.05,0.00
Northway,Chisana River,2024-04-30,-5,2024-04-24,04-23,1.00,0.78,0.22,0.00,0.00
Gakona,Gakona River,2024-04-30,3,2024-05-02,04-29,0.49,0.14,0.35,0.35,0.13
Gakona,Gulkana River,2024-04-30,1,2024-04-30,04-28,0.61,0.19,0.42,0.31,0.07
Kobuk,Kobuk River,2024-04-30,15,2024-05-14,05-13,0.48,0.00,0.05,0.34,0.46
Shungnak,Kobuk River,2024-04-30,17,2024-05-16,05-15,0.53,0.00,0.02,0.23,0.54
Ambler,Kobuk River,2024-04-30,18,2024-05-17,05-16,0.45,0.00,0.02,0.19,0.45
Bettles,Koyukuk River,2024-04-30,10,2024-05-09,05-07,0.49,0.03,0.18,0.51,0.26
Allakaket,Koyukuk River,2024-04-30,12,2024-05-11,05-08,0.50,0.02,0.13,0.48,0.33
Hughes,Koyukuk River,2024-04-30,11,2024-05-10,05-08,0.51,0.02,0.17,0.51,0.27
Sleetmute,Kuskokwim River,2024-04-30,3,2024-05-02,05-02,0.78,0.21,0.57,0.21,0.00
Stony River,Kuskokwim River,2024-04-30,5,2024-05-04,05-02,0.69,0.13,0.53,0.33,0.01
Red Devil,Kuskokwim River,2024-04-30,4,2024-05-03,05-03,0.72,0.15,0.57,0.28,0.01
McGrath,Kuskokwim River,2024-04-30,4,2024-05-03,05-04,0.68,0.13,0.55,0.31,0.01
Crooked Creek,Kuskokwim River,2024-04-30,6,2024-05-05,05-04,0.63,0.07,0.43,0.46,0.03
Aniak,Kuskokwim River,2024-04-30,8,2024-05-07,05-05,0.59,0.03,0.28,0.58,0.11
Kalskag,Kuskokwim River,2024-04-30,7,2024-05-06,05-05,0.73,0.03,0.41,0.54,0.02
Tuluksak,Kuskokwim River,2024-04-30,9,2024-05-08,05-06,0.72,0.01,0.22,0.70,0.07
Akiak,Kuskokwim River,2024-04-30,10,2024-05-09,05-07,0.60,0.01,0.14,0.63,0.21
Bethel,Kuskokwim River,2024-04-30,10,2024-05-09,05-07,0.51,0.02,0.18,0.53,0.25
Sunshine,Susitna River,2024-04-30,3,2024-05-02,04-29,0.82,0.23,0.59,0.18,0.00
Manley Hot Springs,Tanana River,2024-04-30,4,2024-05-03,05-01,0.70,0.16,0.53,0.29,0.01
Lake Creek,Yentna River,2024-04-30,2,2024-05-01,04-29,0.93,0.31,0.63,0.07,0.00
Eagle,Yukon River,2024-04-30,6,2024-05-05,05-03,0.71,0.06,0.49,0.44,0.01
Circle,Yukon River,2024-04-30,10,2024-05-09,05-07,0.58,0.02,0.18,0.59,0.20
Tanana,Yukon River,2024-04-30,10,2024-05-09,05-07,0.62,0.01,0.17,0.64,0.18
Fort Yukon,Yukon River,2024-04-30,11,2024-05-10,05-08,0.57,0.01,0.12,0.57,0.29
Ruby,Yukon River,2024-04-30,11,2024-05-10,05-09,0.61,0.00,0.11,0.61,0.27
Galena,Yukon River,2024-04-30,12,2024-05-11,05-10,0.63,0.00,0.06,0.57,0.36
Kaltag,Yukon River,2024-04-30,14,2024-05-13,05-11,0.57,0.00,0.05,0.42,0.46
Holy Cross,Yukon River,2024-04-30,14,2024-05-13,05-12,0.64,0.00,0.02,0.41,0.53
Marshall,Yukon River,2024-04-30,17,2024-05-16,05-12,0.69,0.00,0.00,0.16,0.70
Russian Mission,Yukon River,2024-04-30,14,2024-05-13,05-12,0.57,0.00,0.03,0.39,0.50
Anvik,Yukon River,2024-04-30,14,2024-05-13,05-14,0.58,0.00,0.03,0.41,0.49
Mountain Village,Yukon River,2024-04-30,16,2024-05-15,05-14,0.54,0.00,0.01,0.25,0.55
Emmonak,Yukon River,2024-04-30,22,2024-05-21,05-18,0.54,0.00,0.00,0.03,0.32
Alakanuk,Yukon River,2024-04-30,23,2024-05-22,05-19,0.52,0.00,0.00,0.02,0.26
