location,river,forecastdate,most likely breakup in (days),forecasted date,average breakup date,probability of breakup within ± 3 days around forecasted,probability of breakup within 1 or 2 days,probability of breakup within 3-7 days,probability of breakup within week 2 from now,probability of breakup within week 3 from now
Buckland,Buckland River,2024-04-19,28,2024-05-16,05-15,0.35,0.00,0.00,0.02,0.12
Fairbanks,Chena River,2024-04-19,6,2024-04-24,04-24,0.58,0.10,0.41,0.43,0.06
Northway,Chisana River,2024-04-19,6,2024-04-24,04-23,0.69,0.05,0.46,0.47,0.01
Gakona,Gakona River,2024-04-19,14,2024-05-02,04-29,0.31,0.04,0.14,0.29,0.29
Gakona,Gulkana River,2024-04-19,11,2024-04-29,04-28,0.35,0.05,0.18,0.35,0.28
Kobuk,Kobuk River,2024-04-19,26,2024-05-14,05-13,0.42,0.00,0.00,0.02,0.16
Shungnak,Kobuk River,2024-04-19,28,2024-05-16,05-15,0.44,0.00,0.00,0.01,0.11
Ambler,Kobuk River,2024-04-19,29,2024-05-17,05-16,0.41,0.00,0.00,0.01,0.08
Bettles,Koyukuk River,2024-04-19,22,2024-05-10,05-07,0.43,0.00,0.01,0.09,0.34
Allakaket,Koyukuk River,2024-04-19,23,2024-05-11,05-08,0.44,0.00,0.00,0.06,0.29
Hughes,Koyukuk River,2024-04-19,22,2024-05-10,05-08,0.43,0.00,0.01,0.08,0.33
Nikolai,Kuskokwim River,2024-04-19,2,2024-04-20,04-20,0.82,0.26,0.57,0.18,0.00
Sleetmute,Kuskokwim River,2024-04-19,14,2024-05-02,05-02,0.51,0.00,0.06,0.40,0.44
Stony River,Kuskokwim River,2024-04-19,16,2024-05-04,05-02,0.49,0.00,0.03,0.29,0.49
Red Devil,Kuskokwim River,2024-04-19,15,2024-05-03,05-03,0.49,0.00,0.04,0.33,0.47
McGrath,Kuskokwim River,2024-04-19,16,2024-05-04,05-04,0.50,0.00,0.04,0.30,0.49
Crooked Creek,Kuskokwim River,2024-04-19,18,2024-05-06,05-04,0.48,0.00,0.02,0.20,0.48
Aniak,Kuskokwim River,2024-04-19,19,2024-05-07,05-05,0.46,0.00,0.01,0.14,0.43
Kalskag,Kuskokwim River,2024-04-19,18,2024-05-06,05-05,0.53,0.00,0.01,0.18,0.53
Tuluksak,Kuskokwim River,2024-04-19,20,2024-05-08,05-06,0.52,0.00,0.00,0.10,0.46
Akiak,Kuskokwim River,2024-04-19,22,2024-05-10,05-07,0.49,0.00,0.00,0.06,0.36
Bethel,Kuskokwim River,2024-04-19,22,2024-05-10,05-07,0.43,0.00,0.00,0.08,0.32
Sunshine,Susitna River,2024-04-19,13,2024-05-01,04-29,0.60,0.00,0.04,0.48,0.44
Nenana,Tanana River,2024-04-19,11,2024-04-29,04-29,0.60,0.01,0.14,0.60,0.24
Manley Hot Springs,Tanana River,2024-04-19,15,2024-05-03,05-01,0.51,0.00,0.05,0.36,0.47
Lake Creek,Yentna River,2024-04-19,13,2024-05-01,04-29,0.75,0.00,0.02,0.59,0.39
Dawson,Yukon River,2024-04-19,17,2024-05-05,05-03,0.64,0.00,0.00,0.19,0.65
Eagle,Yukon River,2024-04-19,17,2024-05-05,05-03,0.56,0.00,0.01,0.22,0.57
Circle,Yukon River,2024-04-19,21,2024-05-09,05-07,0.50,0.00,0.00,0.07,0.39
Tanana,Yukon River,2024-04-19,21,2024-05-09,05-07,0.52,0.00,0.00,0.06,0.41
Fort Yukon,Yukon River,2024-04-19,22,2024-05-10,05-08,0.49,0.00,0.00,0.05,0.33
Ruby,Yukon River,2024-04-19,22,2024-05-10,05-09,0.49,0.00,0.00,0.05,0.33
Galena,Yukon River,2024-04-19,23,2024-05-11,05-10,0.50,0.00,0.00,0.02,0.25
Kaltag,Yukon River,2024-04-19,24,2024-05-12,05-11,0.46,0.00,0.00,0.02,0.22
Holy Cross,Yukon River,2024-04-19,25,2024-05-13,05-12,0.49,0.00,0.00,0.01,0.16
Marshall,Yukon River,2024-04-19,28,2024-05-16,05-12,0.50,0.00,0.00,0.00,0.07
Russian Mission,Yukon River,2024-04-19,25,2024-05-13,05-12,0.48,0.00,0.00,0.01,0.17
Anvik,Yukon River,2024-04-19,25,2024-05-13,05-14,0.49,0.00,0.00,0.02,0.20
Mountain Village,Yukon River,2024-04-19,27,2024-05-15,05-14,0.43,0.00,0.00,0.01,0.13
Emmonak,Yukon River,2024-04-19,34,2024-05-22,05-18,0.41,0.00,0.00,0.00,0.02
Alakanuk,Yukon River,2024-04-19,34,2024-05-22,05-19,0.42,0.00,0.00,0.00,0.01
