location,river,forecastdate,most likely breakup in (days),forecasted date,average breakup date,probability of breakup within ± 3 days around forecasted,probability of breakup within 1 or 2 days,probability of breakup within 3-7 days,probability of breakup within week 2 from now,probability of breakup within week 3 from now
Buckland,Buckland River,2024-05-09,8,2024-05-16,05-15,0.49,0.05,0.28,0.49,0.17
Fairbanks,Chena River,2024-05-09,-13,2024-04-25,04-24,1.00,0.76,0.24,0.00,0.00
Northway,Chisana River,2024-05-09,-14,2024-04-24,04-23,1.00,0.94,0.06,0.00,0.00
Gakona,Gulkana River,2024-05-09,-8,2024-04-30,04-28,0.84,0.36,0.48,0.15,0.01
Kobuk,Kobuk River,2024-05-09,6,2024-05-14,05-13,0.61,0.10,0.43,0.43,0.05
Shungnak,Kobuk River,2024-05-09,8,2024-05-16,05-15,0.63,0.04,0.34,0.55,0.07
Ambler,Kobuk River,2024-05-09,9,2024-05-17,05-16,0.51,0.04,0.26,0.51,0.18
Bettles,Koyukuk River,2024-05-09,1,2024-05-09,05-07,0.82,0.26,0.55,0.18,0.00
Allakaket,Koyukuk River,2024-05-09,3,2024-05-11,05-08,0.74,0.20,0.54,0.25,0.01
Hughes,Koyukuk River,2024-05-09,2,2024-05-10,05-08,0.84,0.26,0.58,0.16,0.00
Tuluksak,Kuskokwim River,2024-05-09,0,2024-05-08,05-06,0.98,0.50,0.49,0.02,0.00
Akiak,Kuskokwim River,2024-05-09,1,2024-05-09,05-07,0.94,0.35,0.60,0.06,0.00
Bethel,Kuskokwim River,2024-05-09,1,2024-05-09,05-07,0.84,0.28,0.56,0.16,0.00
Manley Hot Springs,Tanana River,2024-05-09,-5,2024-05-03,05-01,0.99,0.67,0.32,0.01,0.00
Lake Creek,Yentna River,2024-05-09,-7,2024-05-01,04-29,1.00,0.87,0.13,0.00,0.00
Circle,Yukon River,2024-05-09,1,2024-05-09,05-07,0.90,0.32,0.58,0.10,0.00
Tanana,Yukon River,2024-05-09,1,2024-05-09,05-07,0.92,0.33,0.59,0.08,0.00
Fort Yukon,Yukon River,2024-05-09,3,2024-05-11,05-08,0.84,0.24,0.60,0.16,0.00
Ruby,Yukon River,2024-05-09,3,2024-05-11,05-09,0.91,0.25,0.66,0.09,0.00
Galena,Yukon River,2024-05-09,3,2024-05-11,05-10,0.89,0.20,0.69,0.11,0.00
Kaltag,Yukon River,2024-05-09,5,2024-05-13,05-11,0.73,0.09,0.57,0.34,0.00
Holy Cross,Yukon River,2024-05-09,5,2024-05-13,05-12,0.79,0.07,0.62,0.30,0.00
Marshall,Yukon River,2024-05-09,7,2024-05-15,05-12,0.77,0.01,0.36,0.63,0.01
Russian Mission,Yukon River,2024-05-09,6,2024-05-14,05-12,0.71,0.09,0.51,0.39,0.01
Anvik,Yukon River,2024-05-09,5,2024-05-13,05-14,0.72,0.09,0.55,0.35,0.01
Mountain Village,Yukon River,2024-05-09,8,2024-05-16,05-14,0.65,0.03,0.31,0.59,0.06
Emmonak,Yukon River,2024-05-09,13,2024-05-21,05-18,0.70,0.00,0.03,0.57,0.39
Alakanuk,Yukon River,2024-05-09,14,2024-05-22,05-19,0.66,0.00,0.01,0.42,0.53
