location,river,forecastdate,most likely breakup in (days),forecasted date,average breakup date,probability of breakup within ± 3 days around forecasted,probability of breakup within 1 or 2 days,probability of breakup within 3-7 days,probability of breakup within week 2 from now
Buckland,Buckland River,2024-04-13,35,2024-05-16,05-15,0.35,0.00,0.00,0.04
Fairbanks,Chena River,2024-04-13,12,2024-04-23,04-24,0.46,0.03,0.18,0.28
Northway,Chisana River,2024-04-13,13,2024-04-24,04-23,0.62,0.00,0.07,0.36
Gakona,Gakona River,2024-04-13,20,2024-05-01,04-29,0.28,0.01,0.06,0.28
Gakona,Gulkana River,2024-04-13,18,2024-04-29,04-28,0.31,0.02,0.08,0.31
Kobuk,Kobuk River,2024-04-13,33,2024-05-14,05-13,0.41,0.00,0.00,0.04
Shungnak,Kobuk River,2024-04-13,34,2024-05-15,05-15,0.41,0.00,0.00,0.03
Ambler,Kobuk River,2024-04-13,35,2024-05-16,05-16,0.42,0.00,0.00,0.01
Bettles,Koyukuk River,2024-04-13,28,2024-05-09,05-07,0.42,0.00,0.00,0.13
Allakaket,Koyukuk River,2024-04-13,29,2024-05-10,05-08,0.43,0.00,0.00,0.09
Hughes,Koyukuk River,2024-04-13,28,2024-05-09,05-08,0.41,0.00,0.00,0.13
Nikolai,Kuskokwim River,2024-04-13,8,2024-04-19,04-20,0.57,0.07,0.36,0.09
Sleetmute,Kuskokwim River,2024-04-13,20,2024-05-01,05-02,0.45,0.00,0.01,0.42
Stony River,Kuskokwim River,2024-04-13,22,2024-05-03,05-02,0.46,0.00,0.00,0.36
Red Devil,Kuskokwim River,2024-04-13,22,2024-05-03,05-03,0.44,0.00,0.01,0.38
McGrath,Kuskokwim River,2024-04-13,22,2024-05-03,05-04,0.45,0.00,0.01,0.36
Crooked Creek,Kuskokwim River,2024-04-13,24,2024-05-05,05-04,0.43,0.00,0.00,0.28
Aniak,Kuskokwim River,2024-04-13,25,2024-05-06,05-05,0.41,0.00,0.00,0.23
Kalskag,Kuskokwim River,2024-04-13,24,2024-05-05,05-05,0.47,0.00,0.00,0.29
Tuluksak,Kuskokwim River,2024-04-13,26,2024-05-07,05-06,0.45,0.00,0.00,0.20
Akiak,Kuskokwim River,2024-04-13,27,2024-05-08,05-07,0.45,0.00,0.00,0.15
Bethel,Kuskokwim River,2024-04-13,28,2024-05-09,05-07,0.39,0.00,0.00,0.14
Sunshine,Susitna River,2024-04-13,20,2024-05-01,04-29,0.55,0.00,0.00,0.52
Nenana,Tanana River,2024-04-13,17,2024-04-28,04-29,0.51,0.00,0.03,0.50
Manley Hot Springs,Tanana River,2024-04-13,20,2024-05-01,05-01,0.46,0.00,0.01,0.43
Lake Creek,Yentna River,2024-04-13,19,2024-04-30,04-29,0.68,0.00,0.00,0.66
Dawson,Yukon River,2024-04-13,23,2024-05-04,05-03,0.59,0.00,0.00,0.32
Eagle,Yukon River,2024-04-13,23,2024-05-04,05-03,0.51,0.00,0.00,0.34
Circle,Yukon River,2024-04-13,27,2024-05-08,05-07,0.48,0.00,0.00,0.13
Tanana,Yukon River,2024-04-13,27,2024-05-08,05-07,0.49,0.00,0.00,0.14
Fort Yukon,Yukon River,2024-04-13,28,2024-05-09,05-08,0.48,0.00,0.00,0.09
Ruby,Yukon River,2024-04-13,29,2024-05-10,05-09,0.46,0.00,0.00,0.10
Galena,Yukon River,2024-04-13,30,2024-05-11,05-10,0.48,0.00,0.00,0.05
Kaltag,Yukon River,2024-04-13,30,2024-05-11,05-11,0.44,0.00,0.00,0.06
Holy Cross,Yukon River,2024-04-13,32,2024-05-13,05-12,0.46,0.00,0.00,0.04
Marshall,Yukon River,2024-04-13,34,2024-05-15,05-12,0.43,0.00,0.00,0.02
Russian Mission,Yukon River,2024-04-13,32,2024-05-13,05-12,0.44,0.00,0.00,0.04
Anvik,Yukon River,2024-04-13,31,2024-05-12,05-14,0.45,0.00,0.00,0.05
Mountain Village,Yukon River,2024-04-13,33,2024-05-14,05-14,0.40,0.00,0.00,0.04
Emmonak,Yukon River,2024-04-13,40,2024-05-21,05-18,0.38,0.00,0.00,0.00
Alakanuk,Yukon River,2024-04-13,40,2024-05-21,05-19,0.40,0.00,0.00,0.00
