location,river,forecastdate,most likely breakup in (days),forecasted date,average breakup date,probability of breakup within ± 3 days around forecasted,probability of breakup within 1 or 2 days,probability of breakup within 3-7 days,probability of breakup within week 2 from now
Buckland,Buckland River,2024-04-15,33,2024-05-16,05-15,0.35,0.00,0.00,0.06
Fairbanks,Chena River,2024-04-15,10,2024-04-23,04-24,0.49,0.05,0.25,0.20
Northway,Chisana River,2024-04-15,11,2024-04-24,04-23,0.65,0.01,0.14,0.19
Gakona,Gakona River,2024-04-15,18,2024-05-01,04-29,0.29,0.02,0.08,0.29
Gakona,Gulkana River,2024-04-15,16,2024-04-29,04-28,0.32,0.02,0.11,0.32
Kobuk,Kobuk River,2024-04-15,31,2024-05-14,05-13,0.42,0.00,0.00,0.07
Shungnak,Kobuk River,2024-04-15,32,2024-05-15,05-15,0.43,0.00,0.00,0.04
Ambler,Kobuk River,2024-04-15,34,2024-05-17,05-16,0.42,0.00,0.00,0.03
Bettles,Koyukuk River,2024-04-15,26,2024-05-09,05-07,0.43,0.00,0.00,0.19
Allakaket,Koyukuk River,2024-04-15,27,2024-05-10,05-08,0.44,0.00,0.00,0.15
Hughes,Koyukuk River,2024-04-15,26,2024-05-09,05-08,0.42,0.00,0.00,0.19
Nikolai,Kuskokwim River,2024-04-15,6,2024-04-19,04-20,0.63,0.11,0.46,0.03
Sleetmute,Kuskokwim River,2024-04-15,18,2024-05-01,05-02,0.47,0.00,0.02,0.47
Stony River,Kuskokwim River,2024-04-15,20,2024-05-03,05-02,0.47,0.00,0.01,0.44
Red Devil,Kuskokwim River,2024-04-15,20,2024-05-03,05-03,0.46,0.00,0.01,0.45
McGrath,Kuskokwim River,2024-04-15,20,2024-05-03,05-04,0.47,0.00,0.01,0.44
Crooked Creek,Kuskokwim River,2024-04-15,22,2024-05-05,05-04,0.45,0.00,0.01,0.36
Aniak,Kuskokwim River,2024-04-15,24,2024-05-07,05-05,0.43,0.00,0.00,0.29
Kalskag,Kuskokwim River,2024-04-15,22,2024-05-05,05-05,0.50,0.00,0.00,0.38
Tuluksak,Kuskokwim River,2024-04-15,24,2024-05-07,05-06,0.48,0.00,0.00,0.27
Akiak,Kuskokwim River,2024-04-15,26,2024-05-09,05-07,0.47,0.00,0.00,0.20
Bethel,Kuskokwim River,2024-04-15,26,2024-05-09,05-07,0.41,0.00,0.00,0.19
Sunshine,Susitna River,2024-04-15,18,2024-05-01,04-29,0.58,0.00,0.01,0.58
Nenana,Tanana River,2024-04-15,15,2024-04-28,04-29,0.54,0.00,0.04,0.48
Manley Hot Springs,Tanana River,2024-04-15,19,2024-05-02,05-01,0.48,0.00,0.02,0.48
Lake Creek,Yentna River,2024-04-15,17,2024-04-30,04-29,0.71,0.00,0.00,0.70
Dawson,Yukon River,2024-04-15,21,2024-05-04,05-03,0.61,0.00,0.00,0.46
Eagle,Yukon River,2024-04-15,21,2024-05-04,05-03,0.53,0.00,0.00,0.44
Circle,Yukon River,2024-04-15,25,2024-05-08,05-07,0.49,0.00,0.00,0.20
Tanana,Yukon River,2024-04-15,25,2024-05-08,05-07,0.50,0.00,0.00,0.22
Fort Yukon,Yukon River,2024-04-15,27,2024-05-10,05-08,0.49,0.00,0.00,0.15
Ruby,Yukon River,2024-04-15,27,2024-05-10,05-09,0.47,0.00,0.00,0.16
Galena,Yukon River,2024-04-15,28,2024-05-11,05-10,0.50,0.00,0.00,0.10
Kaltag,Yukon River,2024-04-15,29,2024-05-12,05-11,0.46,0.00,0.00,0.10
Holy Cross,Yukon River,2024-04-15,30,2024-05-13,05-12,0.48,0.00,0.00,0.06
Marshall,Yukon River,2024-04-15,32,2024-05-15,05-12,0.46,0.00,0.00,0.03
Russian Mission,Yukon River,2024-04-15,30,2024-05-13,05-12,0.46,0.00,0.00,0.07
Anvik,Yukon River,2024-04-15,29,2024-05-12,05-14,0.47,0.00,0.00,0.09
Mountain Village,Yukon River,2024-04-15,31,2024-05-14,05-14,0.42,0.00,0.00,0.06
Emmonak,Yukon River,2024-04-15,38,2024-05-21,05-18,0.39,0.00,0.00,0.01
Alakanuk,Yukon River,2024-04-15,39,2024-05-22,05-19,0.41,0.00,0.00,0.00
