location,river,forecastdate,most likely breakup in (days),forecasted date,average breakup date,probability of breakup within ± 3 days around forecasted,probability of breakup within 1 or 2 days,probability of breakup within 3-7 days,probability of breakup within week 2 from now,probability of breakup within week 3 from now
Buckland,Buckland River,2024-04-22,25,2024-05-16,05-15,0.36,0.00,0.00,0.05,0.20
Fairbanks,Chena River,2024-04-22,3,2024-04-24,04-24,0.71,0.19,0.52,0.28,0.02
Northway,Chisana River,2024-04-22,3,2024-04-24,04-23,0.83,0.20,0.64,0.17,0.00
Gakona,Gakona River,2024-04-22,11,2024-05-02,04-29,0.33,0.05,0.19,0.33,0.27
Gakona,Gulkana River,2024-04-22,8,2024-04-29,04-28,0.38,0.07,0.25,0.38,0.23
Kobuk,Kobuk River,2024-04-22,23,2024-05-14,05-13,0.43,0.00,0.00,0.05,0.28
Shungnak,Kobuk River,2024-04-22,25,2024-05-16,05-15,0.45,0.00,0.00,0.03,0.21
Ambler,Kobuk River,2024-04-22,26,2024-05-17,05-16,0.42,0.00,0.00,0.02,0.16
Bettles,Koyukuk River,2024-04-22,19,2024-05-10,05-07,0.44,0.00,0.02,0.18,0.43
Allakaket,Koyukuk River,2024-04-22,20,2024-05-11,05-08,0.44,0.00,0.01,0.13,0.41
Hughes,Koyukuk River,2024-04-22,19,2024-05-10,05-08,0.44,0.00,0.02,0.17,0.42
Sleetmute,Kuskokwim River,2024-04-22,11,2024-05-02,05-02,0.51,0.02,0.16,0.51,0.28
Stony River,Kuskokwim River,2024-04-22,13,2024-05-04,05-02,0.51,0.01,0.09,0.45,0.38
Red Devil,Kuskokwim River,2024-04-22,12,2024-05-03,05-03,0.51,0.01,0.11,0.48,0.35
McGrath,Kuskokwim River,2024-04-22,13,2024-05-04,05-04,0.52,0.01,0.10,0.47,0.38
Crooked Creek,Kuskokwim River,2024-04-22,15,2024-05-06,05-04,0.50,0.00,0.05,0.36,0.46
Aniak,Kuskokwim River,2024-04-22,16,2024-05-07,05-05,0.47,0.00,0.03,0.26,0.48
Kalskag,Kuskokwim River,2024-04-22,15,2024-05-06,05-05,0.55,0.00,0.03,0.35,0.51
Tuluksak,Kuskokwim River,2024-04-22,17,2024-05-08,05-06,0.54,0.00,0.01,0.22,0.55
Akiak,Kuskokwim River,2024-04-22,19,2024-05-10,05-07,0.50,0.00,0.01,0.15,0.48
Bethel,Kuskokwim River,2024-04-22,19,2024-05-10,05-07,0.44,0.00,0.02,0.16,0.42
Sunshine,Susitna River,2024-04-22,10,2024-05-01,04-29,0.61,0.01,0.15,0.64,0.20
Nenana,Tanana River,2024-04-22,8,2024-04-29,04-29,0.64,0.04,0.33,0.57,0.06
Manley Hot Springs,Tanana River,2024-04-22,12,2024-05-03,05-01,0.52,0.01,0.12,0.49,0.33
Lake Creek,Yentna River,2024-04-22,10,2024-05-01,04-29,0.73,0.00,0.14,0.75,0.11
Dawson,Yukon River,2024-04-22,14,2024-05-05,05-03,0.66,0.00,0.02,0.44,0.50
Eagle,Yukon River,2024-04-22,14,2024-05-05,05-03,0.57,0.00,0.04,0.42,0.47
Circle,Yukon River,2024-04-22,18,2024-05-09,05-07,0.50,0.00,0.01,0.17,0.50
Tanana,Yukon River,2024-04-22,18,2024-05-09,05-07,0.54,0.00,0.01,0.17,0.54
Fort Yukon,Yukon River,2024-04-22,19,2024-05-10,05-08,0.50,0.00,0.01,0.12,0.47
Ruby,Yukon River,2024-04-22,19,2024-05-10,05-09,0.50,0.00,0.01,0.12,0.47
Galena,Yukon River,2024-04-22,20,2024-05-11,05-10,0.52,0.00,0.00,0.07,0.44
Kaltag,Yukon River,2024-04-22,22,2024-05-13,05-11,0.48,0.00,0.00,0.06,0.35
Holy Cross,Yukon River,2024-04-22,22,2024-05-13,05-12,0.52,0.00,0.00,0.03,0.32
Marshall,Yukon River,2024-04-22,25,2024-05-16,05-12,0.54,0.00,0.00,0.00,0.14
Russian Mission,Yukon River,2024-04-22,22,2024-05-13,05-12,0.49,0.00,0.00,0.04,0.32
Anvik,Yukon River,2024-04-22,22,2024-05-13,05-14,0.49,0.00,0.00,0.05,0.34
Mountain Village,Yukon River,2024-04-22,24,2024-05-15,05-14,0.45,0.00,0.00,0.03,0.22
Emmonak,Yukon River,2024-04-22,31,2024-05-22,05-18,0.43,0.00,0.00,0.00,0.05
Alakanuk,Yukon River,2024-04-22,31,2024-05-22,05-19,0.43,0.00,0.00,0.00,0.04
