location,river,forecastdate,most likely breakup in (days),forecasted date,average breakup date,probability of breakup within ± 3 days around forecasted,probability of breakup within 1 or 2 days,probability of breakup within 3-7 days,probability of breakup within week 2 from now,probability of breakup within week 3 from now
Buckland,Buckland River,2024-05-04,14,2024-05-17,05-15,0.45,0.01,0.10,0.38,0.39
Fairbanks,Chena River,2024-05-04,-8,2024-04-25,04-24,0.98,0.62,0.36,0.02,0.00
Northway,Chisana River,2024-05-04,-9,2024-04-24,04-23,1.00,0.88,0.12,0.00,0.00
Gakona,Gakona River,2024-05-04,-1,2024-05-02,04-29,0.61,0.20,0.42,0.30,0.08
Gakona,Gulkana River,2024-05-04,-3,2024-04-30,04-28,0.73,0.26,0.47,0.23,0.03
Kobuk,Kobuk River,2024-05-04,11,2024-05-14,05-13,0.52,0.02,0.16,0.52,0.27
Shungnak,Kobuk River,2024-05-04,13,2024-05-16,05-15,0.57,0.00,0.08,0.50,0.38
Ambler,Kobuk River,2024-05-04,14,2024-05-17,05-16,0.47,0.01,0.08,0.38,0.42
Bettles,Koyukuk River,2024-05-04,6,2024-05-09,05-07,0.56,0.08,0.38,0.46,0.07
Allakaket,Koyukuk River,2024-05-04,8,2024-05-11,05-08,0.55,0.05,0.31,0.51,0.12
Hughes,Koyukuk River,2024-05-04,7,2024-05-10,05-08,0.59,0.07,0.38,0.48,0.07
Sleetmute,Kuskokwim River,2024-05-04,-1,2024-05-02,05-02,0.96,0.44,0.51,0.04,0.00
Stony River,Kuskokwim River,2024-05-04,0,2024-05-03,05-02,0.93,0.37,0.56,0.07,0.00
Red Devil,Kuskokwim River,2024-05-04,0,2024-05-03,05-03,0.97,0.43,0.53,0.03,0.00
McGrath,Kuskokwim River,2024-05-04,0,2024-05-03,05-04,0.96,0.41,0.55,0.04,0.00
Crooked Creek,Kuskokwim River,2024-05-04,2,2024-05-05,05-04,0.88,0.27,0.61,0.12,0.00
Aniak,Kuskokwim River,2024-05-04,4,2024-05-07,05-05,0.70,0.14,0.56,0.29,0.01
Kalskag,Kuskokwim River,2024-05-04,3,2024-05-06,05-05,0.87,0.20,0.67,0.13,0.00
Tuluksak,Kuskokwim River,2024-05-04,5,2024-05-08,05-06,0.81,0.09,0.64,0.27,0.00
Akiak,Kuskokwim River,2024-05-04,6,2024-05-09,05-07,0.69,0.05,0.45,0.49,0.01
Bethel,Kuskokwim River,2024-05-04,6,2024-05-09,05-07,0.61,0.08,0.42,0.46,0.05
Sunshine,Susitna River,2024-05-04,-1,2024-05-02,04-29,0.95,0.45,0.51,0.05,0.00
Manley Hot Springs,Tanana River,2024-05-04,0,2024-05-03,05-01,0.93,0.38,0.55,0.07,0.00
Lake Creek,Yentna River,2024-05-04,-2,2024-05-01,04-29,1.00,0.65,0.34,0.00,0.00
Eagle,Yukon River,2024-05-04,2,2024-05-05,05-03,0.92,0.28,0.64,0.08,0.00
Circle,Yukon River,2024-05-04,6,2024-05-09,05-07,0.64,0.08,0.44,0.45,0.03
Tanana,Yukon River,2024-05-04,6,2024-05-09,05-07,0.68,0.07,0.47,0.44,0.02
Fort Yukon,Yukon River,2024-05-04,7,2024-05-10,05-08,0.61,0.04,0.35,0.55,0.06
Ruby,Yukon River,2024-05-04,7,2024-05-10,05-09,0.67,0.03,0.35,0.59,0.03
Galena,Yukon River,2024-05-04,8,2024-05-11,05-10,0.71,0.01,0.27,0.67,0.04
Kaltag,Yukon River,2024-05-04,10,2024-05-13,05-11,0.64,0.01,0.16,0.66,0.17
Holy Cross,Yukon River,2024-05-04,10,2024-05-13,05-12,0.71,0.00,0.12,0.74,0.14
Marshall,Yukon River,2024-05-04,13,2024-05-16,05-12,0.78,0.00,0.01,0.61,0.37
Russian Mission,Yukon River,2024-05-04,10,2024-05-13,05-12,0.60,0.01,0.14,0.63,0.21
Anvik,Yukon River,2024-05-04,10,2024-05-13,05-14,0.65,0.01,0.15,0.67,0.17
Mountain Village,Yukon River,2024-05-04,13,2024-05-16,05-14,0.60,0.00,0.06,0.51,0.40
Emmonak,Yukon River,2024-05-04,18,2024-05-21,05-18,0.61,0.00,0.00,0.12,0.61
Alakanuk,Yukon River,2024-05-04,19,2024-05-22,05-19,0.58,0.00,0.00,0.08,0.53
