location,river,forecastdate,most likely breakup in (days),forecasted date,average breakup date,probability of breakup within ± 3 days around forecasted,probability of breakup within 1 or 2 days,probability of breakup within 3-7 days,probability of breakup within week 2 from now,probability of breakup within week 3 from now
Buckland,Buckland River,2024-04-27,20,2024-05-16,05-15,0.39,0.00,0.02,0.13,0.35
Fairbanks,Chena River,2024-04-27,-1,2024-04-25,04-24,0.89,0.37,0.52,0.11,0.00
Northway,Chisana River,2024-04-27,-2,2024-04-24,04-23,0.99,0.60,0.39,0.01,0.00
Gakona,Gakona River,2024-04-27,6,2024-05-02,04-29,0.41,0.10,0.29,0.36,0.18
Gakona,Gulkana River,2024-04-27,4,2024-04-30,04-28,0.50,0.14,0.36,0.36,0.12
Kobuk,Kobuk River,2024-04-27,18,2024-05-14,05-13,0.46,0.00,0.02,0.19,0.46
Shungnak,Kobuk River,2024-04-27,20,2024-05-16,05-15,0.49,0.00,0.01,0.11,0.44
Ambler,Kobuk River,2024-04-27,21,2024-05-17,05-16,0.44,0.00,0.01,0.09,0.36
Bettles,Koyukuk River,2024-04-27,14,2024-05-10,05-07,0.47,0.01,0.09,0.40,0.40
Allakaket,Koyukuk River,2024-04-27,15,2024-05-11,05-08,0.47,0.01,0.06,0.34,0.44
Hughes,Koyukuk River,2024-04-27,14,2024-05-10,05-08,0.47,0.01,0.08,0.39,0.41
Sleetmute,Kuskokwim River,2024-04-27,6,2024-05-02,05-02,0.63,0.09,0.44,0.44,0.04
Stony River,Kuskokwim River,2024-04-27,8,2024-05-04,05-02,0.60,0.05,0.33,0.53,0.09
Red Devil,Kuskokwim River,2024-04-27,7,2024-05-03,05-03,0.62,0.05,0.37,0.52,0.05
McGrath,Kuskokwim River,2024-04-27,7,2024-05-03,05-04,0.59,0.05,0.34,0.53,0.08
Crooked Creek,Kuskokwim River,2024-04-27,9,2024-05-05,05-04,0.57,0.02,0.23,0.58,0.16
Aniak,Kuskokwim River,2024-04-27,11,2024-05-07,05-05,0.54,0.01,0.13,0.54,0.30
Kalskag,Kuskokwim River,2024-04-27,10,2024-05-06,05-05,0.67,0.01,0.16,0.68,0.15
Tuluksak,Kuskokwim River,2024-04-27,12,2024-05-08,05-06,0.65,0.00,0.06,0.60,0.32
Akiak,Kuskokwim River,2024-04-27,13,2024-05-09,05-07,0.55,0.00,0.05,0.45,0.44
Bethel,Kuskokwim River,2024-04-27,14,2024-05-10,05-07,0.49,0.01,0.08,0.41,0.41
Sunshine,Susitna River,2024-04-27,5,2024-05-01,04-29,0.66,0.09,0.50,0.39,0.01
Nenana,Tanana River,2024-04-27,3,2024-04-29,04-29,0.85,0.23,0.62,0.15,0.00
Manley Hot Springs,Tanana River,2024-04-27,7,2024-05-03,05-01,0.59,0.07,0.37,0.49,0.07
Lake Creek,Yentna River,2024-04-27,5,2024-05-01,04-29,0.78,0.10,0.61,0.28,0.00
Dawson,Yukon River,2024-04-27,9,2024-05-05,05-03,0.72,0.01,0.21,0.71,0.07
Eagle,Yukon River,2024-04-27,9,2024-05-05,05-03,0.65,0.02,0.23,0.64,0.11
Circle,Yukon River,2024-04-27,13,2024-05-09,05-07,0.55,0.00,0.07,0.46,0.41
Tanana,Yukon River,2024-04-27,13,2024-05-09,05-07,0.59,0.00,0.06,0.49,0.41
Fort Yukon,Yukon River,2024-04-27,14,2024-05-10,05-08,0.53,0.00,0.04,0.38,0.48
Ruby,Yukon River,2024-04-27,14,2024-05-10,05-09,0.56,0.00,0.04,0.40,0.48
Galena,Yukon River,2024-04-27,15,2024-05-11,05-10,0.58,0.00,0.02,0.31,0.57
Kaltag,Yukon River,2024-04-27,17,2024-05-13,05-11,0.52,0.00,0.02,0.23,0.53
Holy Cross,Yukon River,2024-04-27,17,2024-05-13,05-12,0.59,0.00,0.00,0.18,0.60
Marshall,Yukon River,2024-04-27,20,2024-05-16,05-12,0.63,0.00,0.00,0.04,0.52
Russian Mission,Yukon River,2024-04-27,17,2024-05-13,05-12,0.54,0.00,0.01,0.20,0.56
Anvik,Yukon River,2024-04-27,17,2024-05-13,05-14,0.54,0.00,0.01,0.21,0.55
Mountain Village,Yukon River,2024-04-27,19,2024-05-15,05-14,0.51,0.00,0.00,0.11,0.48
Emmonak,Yukon River,2024-04-27,25,2024-05-21,05-18,0.49,0.00,0.00,0.01,0.16
Alakanuk,Yukon River,2024-04-27,26,2024-05-22,05-19,0.49,0.00,0.00,0.01,0.13
