location,river,forecastdate,most likely breakup in (days),forecasted date,average breakup date,probability of breakup within ± 3 days around forecasted,probability of breakup within 1 or 2 days,probability of breakup within 3-7 days,probability of breakup within week 2 from now,probability of breakup within week 3 from now
Buckland,Buckland River,2024-05-03,15,2024-05-17,05-15,0.44,0.01,0.08,0.34,0.41
Fairbanks,Chena River,2024-05-03,-7,2024-04-25,04-24,0.98,0.59,0.39,0.02,0.00
Northway,Chisana River,2024-05-03,-8,2024-04-24,04-23,1.00,0.86,0.14,0.00,0.00
Gakona,Gakona River,2024-05-03,0,2024-05-02,04-29,0.59,0.18,0.40,0.31,0.09
Gakona,Gulkana River,2024-05-03,-2,2024-04-30,04-28,0.70,0.24,0.46,0.25,0.04
Kobuk,Kobuk River,2024-05-03,12,2024-05-14,05-13,0.51,0.01,0.13,0.49,0.33
Shungnak,Kobuk River,2024-05-03,14,2024-05-16,05-15,0.56,0.00,0.05,0.43,0.45
Ambler,Kobuk River,2024-05-03,15,2024-05-17,05-16,0.46,0.01,0.06,0.33,0.44
Bettles,Koyukuk River,2024-05-03,7,2024-05-09,05-07,0.53,0.06,0.33,0.50,0.11
Allakaket,Koyukuk River,2024-05-03,9,2024-05-11,05-08,0.53,0.04,0.26,0.52,0.17
Hughes,Koyukuk River,2024-05-03,8,2024-05-10,05-08,0.57,0.05,0.32,0.52,0.11
Sleetmute,Kuskokwim River,2024-05-03,0,2024-05-02,05-02,0.93,0.38,0.55,0.07,0.00
Stony River,Kuskokwim River,2024-05-03,1,2024-05-03,05-02,0.89,0.30,0.59,0.11,0.00
Red Devil,Kuskokwim River,2024-05-03,1,2024-05-03,05-03,0.93,0.34,0.59,0.07,0.00
McGrath,Kuskokwim River,2024-05-03,1,2024-05-03,05-04,0.92,0.32,0.60,0.08,0.00
Crooked Creek,Kuskokwim River,2024-05-03,3,2024-05-05,05-04,0.80,0.20,0.60,0.20,0.00
Aniak,Kuskokwim River,2024-05-03,5,2024-05-07,05-05,0.66,0.10,0.50,0.38,0.02
Kalskag,Kuskokwim River,2024-05-03,4,2024-05-06,05-05,0.79,0.14,0.65,0.21,0.00
Tuluksak,Kuskokwim River,2024-05-03,6,2024-05-08,05-06,0.79,0.05,0.55,0.40,0.00
Akiak,Kuskokwim River,2024-05-03,7,2024-05-09,05-07,0.66,0.03,0.35,0.58,0.04
Bethel,Kuskokwim River,2024-05-03,7,2024-05-09,05-07,0.58,0.06,0.35,0.51,0.08
Sunshine,Susitna River,2024-05-03,0,2024-05-02,04-29,0.93,0.39,0.54,0.07,0.00
Manley Hot Springs,Tanana River,2024-05-03,1,2024-05-03,05-01,0.89,0.32,0.57,0.11,0.00
Lake Creek,Yentna River,2024-05-03,-1,2024-05-01,04-29,0.99,0.58,0.42,0.01,0.00
Eagle,Yukon River,2024-05-03,3,2024-05-05,05-03,0.85,0.20,0.65,0.15,0.00
Circle,Yukon River,2024-05-03,7,2024-05-09,05-07,0.62,0.05,0.37,0.52,0.06
Tanana,Yukon River,2024-05-03,7,2024-05-09,05-07,0.66,0.05,0.39,0.53,0.04
Fort Yukon,Yukon River,2024-05-03,8,2024-05-10,05-08,0.60,0.03,0.27,0.59,0.10
Ruby,Yukon River,2024-05-03,8,2024-05-10,05-09,0.66,0.02,0.27,0.65,0.07
Galena,Yukon River,2024-05-03,9,2024-05-11,05-10,0.68,0.01,0.19,0.71,0.10
Kaltag,Yukon River,2024-05-03,11,2024-05-13,05-11,0.62,0.01,0.12,0.62,0.25
Holy Cross,Yukon River,2024-05-03,11,2024-05-13,05-12,0.69,0.00,0.08,0.69,0.23
Marshall,Yukon River,2024-05-03,14,2024-05-16,05-12,0.76,0.00,0.01,0.47,0.51
Russian Mission,Yukon River,2024-05-03,11,2024-05-13,05-12,0.59,0.01,0.10,0.59,0.29
Anvik,Yukon River,2024-05-03,11,2024-05-13,05-14,0.63,0.00,0.11,0.63,0.25
Mountain Village,Yukon River,2024-05-03,14,2024-05-16,05-14,0.59,0.00,0.04,0.44,0.46
Emmonak,Yukon River,2024-05-03,19,2024-05-21,05-18,0.60,0.00,0.00,0.08,0.55
Alakanuk,Yukon River,2024-05-03,20,2024-05-22,05-19,0.57,0.00,0.00,0.06,0.47
