location,river,forecastdate,most likely breakup in (days),forecasted date,average breakup date,probability of breakup within ± 3 days around forecasted,probability of breakup within 1 or 2 days,probability of breakup within 3-7 days,probability of breakup within week 2 from now
Buckland,Buckland River,2024-04-11,37,2024-05-16,05-15,0.35,0.00,0.00,0.02
Fairbanks,Chena River,2024-04-11,13,2024-04-22,04-24,0.44,0.02,0.14,0.34
Northway,Chisana River,2024-04-11,15,2024-04-24,04-23,0.60,0.00,0.03,0.49
Gakona,Gakona River,2024-04-11,22,2024-05-01,04-29,0.28,0.01,0.05,0.26
Gakona,Gulkana River,2024-04-11,20,2024-04-29,04-28,0.30,0.01,0.05,0.29
Kobuk,Kobuk River,2024-04-11,34,2024-05-13,05-13,0.41,0.00,0.00,0.02
Shungnak,Kobuk River,2024-04-11,36,2024-05-15,05-15,0.41,0.00,0.00,0.01
Ambler,Kobuk River,2024-04-11,37,2024-05-16,05-16,0.42,0.00,0.00,0.01
Bettles,Koyukuk River,2024-04-11,30,2024-05-09,05-07,0.42,0.00,0.00,0.08
Allakaket,Koyukuk River,2024-04-11,31,2024-05-10,05-08,0.43,0.00,0.00,0.05
Hughes,Koyukuk River,2024-04-11,30,2024-05-09,05-08,0.41,0.00,0.00,0.09
Nikolai,Kuskokwim River,2024-04-11,9,2024-04-18,04-20,0.53,0.05,0.28,0.16
Sleetmute,Kuskokwim River,2024-04-11,22,2024-05-01,05-02,0.44,0.00,0.01,0.36
Stony River,Kuskokwim River,2024-04-11,24,2024-05-03,05-02,0.44,0.00,0.00,0.28
Red Devil,Kuskokwim River,2024-04-11,23,2024-05-02,05-03,0.42,0.00,0.01,0.31
McGrath,Kuskokwim River,2024-04-11,24,2024-05-03,05-04,0.44,0.00,0.00,0.28
Crooked Creek,Kuskokwim River,2024-04-11,26,2024-05-05,05-04,0.42,0.00,0.00,0.21
Aniak,Kuskokwim River,2024-04-11,27,2024-05-06,05-05,0.40,0.00,0.00,0.18
Kalskag,Kuskokwim River,2024-04-11,25,2024-05-04,05-05,0.45,0.00,0.00,0.23
Tuluksak,Kuskokwim River,2024-04-11,27,2024-05-06,05-06,0.43,0.00,0.00,0.15
Akiak,Kuskokwim River,2024-04-11,29,2024-05-08,05-07,0.42,0.00,0.00,0.12
Bethel,Kuskokwim River,2024-04-11,30,2024-05-09,05-07,0.37,0.00,0.00,0.11
Sunshine,Susitna River,2024-04-11,22,2024-05-01,04-29,0.53,0.00,0.00,0.42
Nenana,Tanana River,2024-04-11,19,2024-04-28,04-29,0.49,0.00,0.01,0.48
Manley Hot Springs,Tanana River,2024-04-11,22,2024-05-01,05-01,0.44,0.00,0.01,0.37
Lake Creek,Yentna River,2024-04-11,21,2024-04-30,04-29,0.64,0.00,0.00,0.54
Dawson,Yukon River,2024-04-11,25,2024-05-04,05-03,0.58,0.00,0.00,0.20
Eagle,Yukon River,2024-04-11,25,2024-05-04,05-03,0.50,0.00,0.00,0.25
Circle,Yukon River,2024-04-11,29,2024-05-08,05-07,0.48,0.00,0.00,0.07
Tanana,Yukon River,2024-04-11,29,2024-05-08,05-07,0.48,0.00,0.00,0.09
Fort Yukon,Yukon River,2024-04-11,30,2024-05-09,05-08,0.48,0.00,0.00,0.05
Ruby,Yukon River,2024-04-11,31,2024-05-10,05-09,0.45,0.00,0.00,0.06
Galena,Yukon River,2024-04-11,32,2024-05-11,05-10,0.47,0.00,0.00,0.03
Kaltag,Yukon River,2024-04-11,32,2024-05-11,05-11,0.44,0.00,0.00,0.04
Holy Cross,Yukon River,2024-04-11,33,2024-05-12,05-12,0.45,0.00,0.00,0.02
Marshall,Yukon River,2024-04-11,35,2024-05-14,05-12,0.42,0.00,0.00,0.01
Russian Mission,Yukon River,2024-04-11,33,2024-05-12,05-12,0.43,0.00,0.00,0.03
Anvik,Yukon River,2024-04-11,33,2024-05-12,05-14,0.44,0.00,0.00,0.03
Mountain Village,Yukon River,2024-04-11,35,2024-05-14,05-14,0.39,0.00,0.00,0.02
Emmonak,Yukon River,2024-04-11,41,2024-05-20,05-18,0.37,0.00,0.00,0.00
Alakanuk,Yukon River,2024-04-11,42,2024-05-21,05-19,0.39,0.00,0.00,0.00
