location,river,forecastdate,most likely breakup in (days),forecasted date,average breakup date,probability of breakup within ± 3 days around forecasted,probability of breakup within 1 or 2 days,probability of breakup within 3-7 days,probability of breakup within week 2 from now,probability of breakup within week 3 from now
Buckland,Buckland River,2024-05-07,10,2024-05-16,05-15,0.47,0.03,0.19,0.48,0.26
Fairbanks,Chena River,2024-05-07,-11,2024-04-25,04-24,0.99,0.71,0.28,0.01,0.00
Northway,Chisana River,2024-05-07,-12,2024-04-24,04-23,1.00,0.92,0.08,0.00,0.00
Gakona,Gulkana River,2024-05-07,-6,2024-04-30,04-28,0.80,0.32,0.48,0.18,0.02
Kobuk,Kobuk River,2024-05-07,8,2024-05-14,05-13,0.57,0.05,0.32,0.52,0.11
Shungnak,Kobuk River,2024-05-07,10,2024-05-16,05-15,0.61,0.02,0.20,0.61,0.17
Ambler,Kobuk River,2024-05-07,11,2024-05-17,05-16,0.49,0.02,0.17,0.49,0.28
Bettles,Koyukuk River,2024-05-07,4,2024-05-10,05-07,0.70,0.17,0.52,0.29,0.01
Allakaket,Koyukuk River,2024-05-07,5,2024-05-11,05-08,0.63,0.13,0.47,0.37,0.03
Hughes,Koyukuk River,2024-05-07,4,2024-05-10,05-08,0.71,0.16,0.55,0.28,0.01
Tuluksak,Kuskokwim River,2024-05-07,2,2024-05-08,05-06,0.95,0.32,0.63,0.05,0.00
Akiak,Kuskokwim River,2024-05-07,3,2024-05-09,05-07,0.84,0.18,0.65,0.16,0.00
Bethel,Kuskokwim River,2024-05-07,3,2024-05-09,05-07,0.73,0.19,0.54,0.26,0.01
Manley Hot Springs,Tanana River,2024-05-07,-3,2024-05-03,05-01,0.98,0.57,0.41,0.02,0.00
Lake Creek,Yentna River,2024-05-07,-5,2024-05-01,04-29,1.00,0.80,0.20,0.00,0.00
Circle,Yukon River,2024-05-07,3,2024-05-09,05-07,0.79,0.20,0.59,0.21,0.00
Tanana,Yukon River,2024-05-07,3,2024-05-09,05-07,0.81,0.20,0.61,0.18,0.00
Fort Yukon,Yukon River,2024-05-07,5,2024-05-11,05-08,0.72,0.13,0.55,0.31,0.01
Ruby,Yukon River,2024-05-07,5,2024-05-11,05-09,0.80,0.11,0.63,0.26,0.00
Galena,Yukon River,2024-05-07,5,2024-05-11,05-10,0.77,0.07,0.61,0.32,0.00
Kaltag,Yukon River,2024-05-07,7,2024-05-13,05-11,0.69,0.03,0.39,0.55,0.03
Holy Cross,Yukon River,2024-05-07,7,2024-05-13,05-12,0.76,0.02,0.40,0.57,0.01
Marshall,Yukon River,2024-05-07,9,2024-05-15,05-12,0.77,0.00,0.12,0.82,0.05
Russian Mission,Yukon River,2024-05-07,7,2024-05-13,05-12,0.64,0.04,0.35,0.57,0.05
Anvik,Yukon River,2024-05-07,7,2024-05-13,05-14,0.69,0.03,0.38,0.56,0.03
Mountain Village,Yukon River,2024-05-07,10,2024-05-16,05-14,0.63,0.01,0.18,0.64,0.17
Emmonak,Yukon River,2024-05-07,15,2024-05-21,05-18,0.66,0.00,0.01,0.35,0.58
Alakanuk,Yukon River,2024-05-07,16,2024-05-22,05-19,0.62,0.00,0.01,0.24,0.63
