# Mean and std of breakupdate in days since March 1, 1983-3 
# For all selected sites
# 
,siteID,days_since_march1_mean,days_since_march1_std,breakup_mean,mean_breakup_date
0,Buckland River at Buckland,77.1470588235294,8.2061778389033,2000-05-17 03:31:45.882353,05-17
1,Chena River at Fairbanks,56.064516129032256,7.483027390350191,2000-05-17 03:31:45.882353,04-26
2,Chisana River at Northway,54.8125,5.9915935733648595,2000-05-17 03:31:45.882353,04-24
3,Gakona River at Gakona,61.34285714285714,10.341074176605176,2000-05-17 03:31:45.882353,05-01
4,Gulkana River nr Gakona,60.529411764705884,9.28091980197903,2000-05-17 03:31:45.882353,04-30
5,Kobuk River at Ambler,77.52631578947368,6.828940173817735,2000-05-17 03:31:45.882353,05-17
6,Kobuk River at Kobuk,75.45,6.894628157913772,2000-05-17 03:31:45.882353,05-15
7,Kobuk River at Shungnak,76.8125,7.045646104670461,2000-05-17 03:31:45.882353,05-16
8,Koyukuk River at Allakaket,70.05263157894737,6.542779673854029,2000-05-17 03:31:45.882353,05-10
9,Koyukuk River at Bettles,69.52380952380952,6.52289811109387,2000-05-17 03:31:45.882353,05-09
10,Koyukuk River at Hughes,70.48648648648648,6.793058636994502,2000-05-17 03:31:45.882353,05-10
11,Kuskokwim River at Akiak,69.05263157894737,7.918324175764046,2000-05-17 03:31:45.882353,05-09
12,Kuskokwim River at Aniak,66.78048780487805,7.669785509132413,2000-05-17 03:31:45.882353,05-06
13,Kuskokwim River at Bethel,69.5,8.66293897172934,2000-05-17 03:31:45.882353,05-09
14,Kuskokwim River at Crooked Creek,65.8157894736842,7.085788072129271,2000-05-17 03:31:45.882353,05-05
15,Kuskokwim River at Kalskag,67.02857142857142,7.489151818329175,2000-05-17 03:31:45.882353,05-07
16,Kuskokwim River at McGrath,65.97727272727273,7.112022694537117,2000-05-17 03:31:45.882353,05-05
17,Kuskokwim River at Nikolai,52.6578947368421,7.83366372395264,2000-05-17 03:31:45.882353,04-22
18,Kuskokwim River at Red Devil,64.94736842105263,7.2520169362999445,2000-05-17 03:31:45.882353,05-04
19,Kuskokwim River at Sleetmute,63.91428571428571,7.341948084852703,2000-05-17 03:31:45.882353,05-03
20,Kuskokwim River at Stony River,64.69444444444444,6.6022482943072145,2000-05-17 03:31:45.882353,05-04
21,Kuskokwim River at Tuluksak,68.4375,7.465782157671525,2000-05-17 03:31:45.882353,05-08
22,Susitna River at Sunshine,61.65714285714286,6.173676839152316,2000-05-17 03:31:45.882353,05-01
23,Tanana River at Nenana,60.93181818181818,6.732074310664797,2000-05-17 03:31:45.882353,04-30
24,Tanana River nr Manley Hot Springs,63.59375,7.4611223535198485,2000-05-17 03:31:45.882353,05-03
25,Yentna River at Lake Creek,61.28125,6.044108701868292,2000-05-17 03:31:45.882353,05-01
26,Yukon River at Alakanuk,81.52777777777777,7.673651062885294,2000-05-17 03:31:45.882353,05-21
27,Yukon River at Anvik,75.74285714285715,6.904145630761003,2000-05-17 03:31:45.882353,05-15
28,Yukon River at Circle,69.125,5.747630503977828,2000-05-17 03:31:45.882353,05-09
29,Yukon River at Dawson,64.75,5.062975501642544,2000-05-17 03:31:45.882353,05-04
30,Yukon River at Eagle,64.86363636363636,5.912505112209437,2000-05-17 03:31:45.882353,05-04
31,Yukon River at Fort Yukon,70.2,5.729814065985845,2000-05-17 03:31:45.882353,05-10
32,Yukon River at Galena,72.02325581395348,5.950143544058905,2000-05-17 03:31:45.882353,05-12
33,Yukon River at Holy Cross,74.32432432432432,7.0160690721532415,2000-05-17 03:31:45.882353,05-14
34,Yukon River at Kaltag,73.36842105263158,6.659360624416676,2000-05-17 03:31:45.882353,05-13
35,Yukon River at Marshall,74.5625,7.2554206654237525,2000-05-17 03:31:45.882353,05-14
36,Yukon River at Mountain Village,76.64864864864865,7.92750561938277,2000-05-17 03:31:45.882353,05-16
37,Yukon River at Ruby,70.8157894736842,6.137414118550982,2000-05-17 03:31:45.882353,05-10
38,Yukon River at Russian Mission,74.4054054054054,7.376612665337283,2000-05-17 03:31:45.882353,05-14
39,Yukon River at Tanana,69.28205128205128,5.986602225622415,2000-05-17 03:31:45.882353,05-09
40,Yukon River nr Emmonak,80.52631578947368,7.8352524307988025,2000-05-17 03:31:45.882353,05-20
