# NENANA_MUN_AP
# Cumulative degree days > 25 starting March 1 from ACIS, gaps filled from climatology
# Excluded years (more than 10 days of missing data): 1980, 1981, 1982, 1983, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1993, 1994, 1996, 1997, 1998, 2003
#
d_since_march1,1984,1992,1995,1999,2000,2001,2002,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
24,1.00,68.50,10.50,44.00,7.00,0.00,11.50,0.00,14.50,0.00,0.00,9.50,0.00,0.00,6.00,0.00,0.00,32.00,43.50,8.00,0.00,6.00,140.50,65.00,3.50,12.00
25,1.00,70.00,10.50,44.00,7.00,0.00,11.50,0.00,14.50,0.00,0.00,9.50,3.50,0.00,6.00,0.00,0.00,38.00,48.00,15.50,0.00,6.00,157.50,65.00,3.50,12.00
26,1.00,70.00,10.50,44.00,7.00,0.00,11.50,0.00,14.50,0.00,0.00,9.50,3.50,0.00,6.00,0.00,0.00,38.00,60.00,25.00,0.00,6.00,169.00,65.00,3.50,12.00
27,1.00,70.00,10.50,44.00,7.00,0.00,11.50,0.00,14.50,0.00,0.00,9.50,3.50,0.00,6.00,0.00,0.00,38.00,70.50,33.50,0.00,6.00,178.50,65.00,3.50,15.50
28,7.50,70.00,13.00,44.00,7.00,0.00,11.50,0.00,14.50,0.00,0.00,9.50,3.50,0.00,11.00,0.00,0.00,38.00,75.50,41.50,0.00,6.00,188.50,65.00,6.00,15.50
29,7.50,70.00,13.00,44.00,16.00,0.00,11.50,0.00,14.50,0.00,0.00,9.50,3.50,0.00,11.00,0.00,0.00,38.00,82.00,48.00,0.00,6.00,197.50,65.00,10.50,15.50
30,12.50,70.00,19.50,44.00,18.50,0.00,11.50,0.00,14.50,2.00,0.00,19.50,3.50,2.50,11.00,0.00,0.00,38.00,82.50,55.00,0.00,6.00,214.00,65.00,10.50,15.50
31,16.50,70.00,22.00,44.00,20.50,0.00,11.50,0.00,14.50,2.00,0.00,35.50,3.50,5.50,11.00,0.00,4.00,38.00,85.50,55.00,8.50,10.50,228.50,66.00,10.50,15.50
32,22.00,70.00,25.50,44.00,20.50,0.00,11.50,0.00,14.50,2.00,0.00,47.00,3.50,9.00,11.00,0.00,4.00,38.00,89.50,55.00,18.50,10.50,234.00,72.00,10.50,15.50
33,28.00,70.00,25.50,44.00,20.50,12.50,11.50,0.00,14.50,2.00,0.00,61.50,3.50,9.00,13.00,0.00,4.00,38.00,90.50,67.50,25.00,10.50,234.00,78.50,10.50,15.50
