# KING_SALMON_AIRPORT
# Cumulative degree days > 25 starting March 1 from ACIS, gaps filled from climatology
# No years excluded (all years had 10 or fewer days of missing data)
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,0.00,4.50,0.00,7.00,0.00,5.00,0.00,0.00,9.00,0.00,9.00,6.50,0.00,0.00,0.00,10.00,11.50,0.00,0.00,0.00,10.00,0.00,4.00,13.00,14.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,7.50,10.50,0.00,0.00,10.50,2.50,0.00,2.00,0.00
1,13.50,7.00,0.00,11.50,0.00,9.00,0.00,0.00,15.50,0.00,19.50,10.00,0.00,5.00,0.00,18.50,21.00,0.00,0.00,0.00,19.00,0.00,4.50,30.00,25.50,8.50,3.00,0.00,5.50,0.00,0.00,0.00,0.00,0.00,16.00,21.50,18.50,0.00,3.50,20.00,2.50,3.50,10.00,0.00
2,24.00,7.00,0.00,14.50,2.50,10.50,0.00,0.00,23.50,0.00,19.50,14.00,0.00,8.50,0.00,24.00,26.00,0.00,0.00,0.00,27.00,13.00,4.50,41.00,33.50,12.50,3.00,0.00,14.00,2.00,0.00,0.00,0.00,12.00,16.50,34.00,24.00,0.00,3.50,28.00,2.50,3.50,20.50,0.00
3,28.00,11.50,5.50,24.00,16.50,17.50,0.00,0.00,26.00,0.00,19.50,17.00,0.00,8.50,0.00,30.50,33.00,8.00,6.00,0.00,36.00,27.00,4.50,44.50,39.50,23.50,3.00,0.00,27.50,11.00,0.00,0.00,0.00,24.50,16.50,42.50,24.00,0.00,3.50,40.00,2.50,3.50,28.00,0.00
4,38.50,19.50,14.00,33.50,33.50,27.50,0.00,0.00,27.00,0.00,19.50,26.50,0.00,14.50,0.00,32.00,39.00,17.50,18.50,0.00,48.50,40.50,4.50,44.50,42.50,36.50,5.50,0.00,42.00,21.50,0.00,0.00,0.00,37.50,16.50,49.50,31.50,0.00,4.50,52.50,2.50,3.50,31.00,4.50
5,48.50,24.50,18.50,45.50,51.00,31.00,0.00,0.00,30.00,0.00,19.50,39.00,0.00,16.50,0.00,35.50,42.50,22.00,32.50,0.00,61.50,48.50,4.50,44.50,42.50,50.00,5.50,0.00,54.00,26.50,0.00,0.00,0.50,48.00,17.50,57.50,44.50,0.00,9.50,60.00,2.50,3.50,35.50,10.00
6,58.00,31.00,20.00,54.50,64.00,31.00,0.00,11.00,31.00,0.00,19.50,43.50,4.50,20.50,12.50,35.50,51.00,26.50,46.00,0.00,73.00,53.50,4.50,44.50,42.50,65.00,5.50,0.00,60.50,30.50,0.00,8.50,0.50,62.50,17.50,65.50,52.00,0.00,17.00,69.00,2.50,9.50,48.50,18.50
7,65.00,40.50,27.00,60.50,76.00,40.00,0.00,24.00,31.00,0.00,22.00,43.50,11.50,22.50,25.00,36.50,59.00,29.50,61.00,0.00,85.50,62.50,4.50,51.50,42.50,80.00,5.50,0.00,64.50,41.50,0.00,8.50,0.50,72.00,17.50,65.50,60.50,0.00,20.00,80.50,6.50,11.00,62.00,26.00
8,72.00,53.50,35.50,60.50,95.50,47.50,0.00,39.00,31.00,0.00,22.00,43.50,22.50,22.50,40.00,37.50,60.50,29.50,72.50,0.00,97.50,76.00,5.50,51.50,42.50,94.00,5.50,0.00,72.50,52.50,0.00,8.50,0.50,75.50,17.50,65.50,72.00,0.00,20.00,95.50,6.50,15.50,80.00,26.00
9,73.00,66.50,41.50,60.50,111.50,50.00,0.00,52.00,44.00,0.00,22.00,44.00,33.00,24.00,52.50,37.50,60.50,29.50,83.00,0.00,106.50,88.50,5.50,51.50,55.50,107.50,5.50,0.00,74.00,61.00,0.00,8.50,0.50,75.50,23.50,65.50,84.50,0.00,20.00,109.50,6.50,15.50,92.50,26.00
