# YAKUTAT_AIRPORT
# Cumulative degree days > 25 starting March 1 from ACIS, gaps filled from climatology
# No years excluded (all years had 10 or fewer days of missing data)
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,8.00,14.00,0.00,6.50,13.50,2.50,4.00,0.00,14.00,0.00,5.50,2.50,2.50,8.50,13.50,0.00,6.50,2.00,6.00,14.00,13.00,9.00,9.00,13.00,9.50,15.00,0.00,0.00,4.00,0.00,16.00,0.00,5.50,10.50,2.00,11.00,10.50,2.50,0.00,7.00,11.50,8.50,9.00,4.50
1,16.00,27.50,0.00,10.00,25.00,11.50,6.00,0.00,23.50,0.00,13.50,3.50,4.00,12.00,25.50,1.00,14.50,2.00,9.50,19.50,23.00,16.50,20.50,25.00,19.50,30.50,0.00,0.00,14.00,0.00,28.00,0.00,15.00,19.50,3.00,21.50,19.50,2.50,0.00,13.50,21.00,18.00,17.00,10.50
2,26.00,35.50,0.00,11.50,35.50,17.50,11.00,0.00,29.50,3.00,29.00,4.50,4.00,17.50,36.00,3.00,19.00,2.00,11.50,22.50,33.00,23.00,26.50,39.50,27.50,42.50,0.00,0.00,25.00,0.00,39.00,0.00,19.50,26.50,3.00,33.50,28.00,2.50,0.00,23.50,26.00,26.00,25.50,10.50
3,32.00,39.50,0.00,14.50,49.00,17.50,18.50,0.00,36.00,6.00,41.00,4.50,4.00,30.50,36.00,4.50,21.50,4.50,11.50,22.50,38.00,30.00,26.50,48.00,35.00,54.50,0.00,0.00,36.50,0.00,48.00,0.00,19.50,31.00,3.50,47.00,38.50,2.50,4.50,29.50,31.50,32.00,34.50,10.50
4,44.00,52.00,7.50,16.50,62.00,17.50,20.00,0.00,47.50,7.00,53.00,10.50,4.00,42.50,36.00,5.50,27.00,9.50,12.50,22.50,41.50,39.50,26.50,54.50,39.00,68.00,5.50,0.00,51.00,1.00,57.50,11.00,19.50,33.00,3.50,61.00,51.50,2.50,4.50,32.00,34.50,35.50,46.50,10.50
5,56.00,59.00,14.00,20.50,78.00,17.50,25.50,0.00,58.00,7.00,63.50,17.00,4.00,54.00,39.00,5.50,27.00,16.00,13.00,22.50,42.50,51.50,26.50,56.50,44.50,82.00,14.00,8.50,63.50,6.00,63.50,19.00,25.50,34.50,3.50,74.00,63.50,2.50,11.50,35.00,34.50,43.50,56.00,10.50
6,69.00,67.50,23.00,27.50,94.50,28.00,33.50,5.00,70.00,7.00,70.00,28.00,15.00,61.50,49.00,5.50,27.00,24.00,15.00,22.50,44.00,63.50,26.50,56.50,55.00,98.00,22.50,16.00,79.00,6.00,63.50,21.00,30.00,39.50,3.50,87.50,78.50,2.50,19.00,35.50,42.50,50.50,63.50,10.50
7,82.00,83.00,31.50,35.50,109.00,38.50,39.50,8.00,80.50,7.00,74.50,34.00,29.50,72.50,61.50,5.50,27.00,32.00,15.00,22.50,44.50,75.00,26.50,56.50,63.00,115.00,30.50,23.00,90.00,6.00,69.00,21.00,39.00,48.00,12.50,99.00,94.00,2.50,24.50,45.50,50.00,53.50,67.00,11.50
8,94.00,98.50,37.50,47.00,121.00,51.00,48.50,12.50,90.50,7.00,78.50,35.50,43.00,76.50,74.50,5.50,40.00,33.50,15.00,28.00,44.50,84.50,26.50,56.50,71.00,131.00,34.00,27.00,101.50,6.00,72.50,21.00,46.50,57.00,22.00,103.00,107.50,2.50,34.50,58.00,59.00,53.50,72.00,12.00
9,101.50,113.50,40.50,62.50,138.00,60.50,60.50,15.00,102.50,7.00,80.50,35.50,60.00,81.50,87.00,5.50,53.50,39.00,25.00,38.00,48.50,96.50,26.50,56.50,82.50,148.00,34.00,31.00,110.00,9.50,73.50,21.00,53.50,64.50,33.00,103.00,120.50,2.50,44.00,71.00,67.50,61.00,82.00,14.00
