# HOMER_AIRPORT
# Cumulative degree days > 25 starting March 1 from ACIS, gaps filled from climatology
# No years excluded (all years had 10 or fewer days of missing data)
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
16,100.50,187.00,90.00,149.50,236.50,95.00,74.00,95.00,156.50,8.50,91.50,74.00,105.00,135.00,85.50,49.00,122.00,56.00,126.50,16.50,164.50,165.50,42.00,110.50,115.50,189.00,28.00,0.00,144.00,62.00,41.00,17.66,8.00,119.50,120.50,154.50,166.50,1.00,75.50,207.50,32.50,24.00,163.00,42.00
17,105.50,204.50,102.00,162.50,246.50,103.00,83.00,103.00,166.50,13.00,97.50,74.00,111.00,140.00,85.50,49.50,132.00,56.50,142.00,16.50,169.50,168.50,51.00,116.50,115.50,197.00,32.00,0.00,147.50,62.00,50.00,24.16,8.00,119.50,129.50,177.00,172.50,1.00,89.00,224.50,41.50,24.00,169.00,50.00
18,109.50,218.50,115.50,172.00,255.00,110.00,90.50,114.00,175.00,21.50,102.50,74.00,122.00,149.00,85.50,49.50,140.50,64.00,159.00,26.50,176.00,168.50,58.00,119.50,115.50,205.00,32.00,0.00,148.50,62.00,58.50,27.66,8.00,119.50,136.50,194.00,175.50,1.00,102.00,235.50,49.00,24.00,179.50,56.50
19,120.00,230.50,129.00,185.50,268.50,118.00,97.00,126.00,184.50,33.50,104.50,74.00,131.50,160.00,85.50,49.50,147.00,70.00,176.00,36.00,186.50,169.00,64.50,119.50,115.50,211.00,35.00,0.00,148.50,62.00,66.00,27.66,8.00,119.50,142.50,210.00,184.50,1.00,114.00,251.50,60.50,25.00,192.50,61.50
20,133.50,240.50,146.00,201.00,280.50,126.50,105.00,138.00,191.50,43.00,110.50,74.50,138.00,167.50,85.50,49.50,154.50,75.50,189.50,42.50,194.50,170.00,73.00,119.50,117.50,215.50,44.50,1.00,157.00,62.00,73.50,36.16,8.00,119.50,154.00,225.50,200.50,2.50,121.50,270.50,70.50,25.00,201.50,69.50
21,144.50,248.50,154.50,216.00,292.50,138.00,115.00,151.00,195.50,50.00,121.50,75.00,147.00,175.50,88.00,49.50,164.50,81.50,202.00,48.00,200.50,170.00,75.50,119.50,125.00,220.00,53.50,2.00,168.50,62.00,78.50,45.16,8.00,128.00,165.00,241.00,219.00,4.00,126.00,290.00,79.00,25.00,208.00,78.50
22,157.50,254.50,156.50,230.00,302.00,146.00,124.00,162.00,204.00,65.00,129.00,83.00,160.00,179.00,98.00,49.50,174.00,87.50,215.00,57.00,210.50,171.50,77.50,119.50,133.00,229.50,60.00,2.00,175.50,68.50,86.00,54.16,8.00,135.50,171.00,255.50,239.00,6.00,131.50,307.00,86.00,28.00,217.50,81.50
23,172.00,266.50,161.00,243.50,313.50,147.00,135.00,173.50,208.50,79.00,143.00,97.00,174.00,180.50,112.00,49.50,183.00,88.00,228.00,66.00,217.00,178.00,86.50,119.50,139.00,242.50,67.50,2.00,182.50,76.00,92.50,62.16,10.50,140.00,177.00,269.50,258.00,7.00,138.50,322.00,97.00,36.00,227.00,86.50
24,182.50,279.00,164.50,258.00,325.00,148.50,144.50,183.50,214.00,94.00,157.50,109.00,184.50,183.50,127.00,49.50,193.50,88.00,238.50,77.00,221.00,189.00,95.00,125.00,146.00,254.50,77.00,2.00,189.50,86.00,101.50,69.32,10.50,140.00,181.50,291.00,271.50,8.00,147.50,339.00,110.00,48.00,237.50,92.50
25,192.50,292.00,166.50,273.50,338.00,155.50,146.50,194.00,218.00,105.50,172.50,122.00,188.50,193.50,131.00,50.50,207.00,89.00,247.50,86.00,221.00,203.00,103.00,134.50,149.00,263.50,87.50,2.00,196.00,97.00,109.00,75.32,10.50,140.00,191.50,313.00,281.50,13.00,161.00,354.50,121.50,53.00,249.50,95.50
