# NOME_AIRPORT
# Cumulative degree days > 25 starting March 1 from ACIS, gaps filled from climatology
# No years excluded (all years had 10 or fewer days of missing data)
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
11,16.50,7.00,14.50,2.00,54.50,5.00,0.00,11.50,3.00,0.00,0.00,0.00,0.50,0.00,0.00,17.50,10.50,0.00,3.50,0.00,20.50,4.00,0.00,11.50,13.50,9.00,0.00,0.00,4.50,2.50,0.00,0.00,0.00,17.00,0.00,0.00,7.00,0.00,6.50,23.00,0.00,0.00,6.50,17.00,4.00
12,16.50,7.00,14.50,2.00,64.50,5.00,0.00,11.50,3.00,0.00,0.00,0.00,0.50,0.00,0.00,17.50,10.50,0.00,8.00,0.00,20.50,4.00,0.00,11.50,13.50,9.00,0.00,0.00,4.50,2.50,0.00,0.00,0.00,17.00,0.00,0.00,7.00,0.00,6.50,24.00,0.00,0.00,6.50,17.00,4.00
13,16.50,7.00,14.50,2.00,65.50,5.00,0.00,11.50,3.00,0.00,0.00,0.00,0.50,0.00,0.00,17.50,10.50,0.00,11.00,0.00,20.50,4.00,0.00,11.50,13.50,9.50,0.00,0.00,4.50,2.50,0.00,0.00,0.00,17.00,0.00,0.00,7.00,0.00,6.50,24.00,5.50,0.00,6.50,17.00,4.00
14,16.50,11.50,14.50,2.00,65.50,5.00,0.00,11.50,3.00,0.00,0.00,0.00,0.50,0.00,0.00,17.50,10.50,0.00,11.00,0.00,20.50,4.00,2.00,11.50,13.50,12.00,0.00,0.00,4.50,2.50,0.00,0.00,0.00,17.00,0.00,0.00,7.00,0.00,6.50,24.00,7.00,0.00,6.50,17.00,4.00
15,16.50,21.00,14.50,2.00,65.50,5.00,6.00,11.50,3.00,0.00,5.00,0.00,0.50,0.00,0.00,17.50,10.50,0.00,11.00,0.00,20.50,4.00,8.50,11.50,13.50,12.50,0.00,0.00,4.50,2.50,0.00,0.00,0.00,17.00,0.00,0.00,7.00,0.00,6.50,24.00,8.50,0.00,6.50,17.00,4.00
16,16.50,28.50,14.50,11.00,68.00,5.00,6.00,11.50,3.00,0.00,7.00,0.00,0.50,0.00,0.00,17.50,10.50,0.00,13.50,0.00,24.50,4.00,14.50,11.50,13.50,13.00,0.00,0.00,4.50,2.50,0.00,0.00,0.00,17.00,0.00,0.00,7.00,0.00,6.50,24.00,11.50,0.00,6.50,17.00,4.00
17,16.50,35.00,14.50,12.00,68.00,5.00,6.00,11.50,3.00,0.00,7.00,0.00,0.50,0.00,0.00,17.50,10.50,0.00,22.50,0.00,24.50,4.00,18.50,11.50,13.50,14.00,0.00,0.00,4.50,2.50,0.00,0.00,0.00,17.00,0.00,0.00,7.00,0.00,6.50,24.00,14.00,0.00,6.50,17.00,4.00
18,17.00,40.00,14.50,12.00,68.00,5.00,6.00,11.50,3.00,0.00,8.50,0.00,0.50,0.00,0.00,17.50,10.50,0.00,31.50,0.00,24.50,4.00,20.50,11.50,13.50,15.50,0.00,0.00,4.50,2.50,0.00,3.00,0.00,17.00,0.00,0.00,7.00,0.00,6.50,24.00,21.00,0.00,6.50,17.00,4.00
19,20.00,49.50,14.50,12.00,68.00,5.00,6.00,11.50,3.00,0.00,8.50,0.00,0.50,0.00,0.00,17.50,10.50,0.00,43.00,0.00,24.50,4.00,23.50,11.50,13.50,15.50,0.00,0.00,4.50,2.50,0.00,8.00,0.00,17.00,0.00,0.00,7.00,0.00,6.50,24.00,26.00,0.00,6.50,17.00,9.50
20,28.50,57.50,14.50,12.00,68.00,5.00,6.00,11.50,3.00,0.00,8.50,0.00,0.50,2.50,0.00,17.50,13.00,0.00,45.00,0.00,24.50,4.00,28.50,11.50,13.50,15.50,0.00,0.00,4.50,2.50,0.00,13.00,0.00,17.00,0.00,0.00,7.00,0.00,6.50,24.00,26.00,0.00,6.50,17.00,17.00
21,31.50,57.50,14.50,14.50,68.00,5.00,6.00,16.00,3.00,0.00,9.00,0.00,0.50,2.50,0.00,17.50,17.00,0.00,45.00,6.00,24.50,4.00,28.50,11.50,13.50,15.50,0.00,0.00,4.50,2.50,0.00,16.00,0.00,17.00,0.00,0.00,7.00,0.00,6.50,33.00,26.00,0.00,6.50,17.00,17.00
22,34.50,57.50,14.50,14.50,68.00,5.00,6.00,19.50,3.00,0.00,16.50,0.50,0.50,2.50,0.00,17.50,19.00,0.00,47.50,6.00,24.50,4.00,28.50,11.50,13.50,15.50,0.00,0.00,4.50,2.50,0.00,16.50,0.00,17.00,1.50,0.00,7.00,0.00,6.50,44.00,31.00,0.00,6.50,17.00,17.00
23,40.50,57.50,14.50,14.50,68.00,5.00,6.00,24.00,3.00,0.00,19.50,3.50,0.50,2.50,0.00,17.50,22.00,0.00,48.50,14.50,24.50,4.00,31.50,11.50,13.50,15.50,0.00,0.00,4.50,2.50,0.00,16.50,0.00,17.00,1.50,0.00,7.00,0.00,6.50,50.50,37.50,0.00,6.50,17.00,17.00
24,44.50,57.50,14.50,14.50,68.00,5.00,6.00,28.00,3.00,0.00,19.50,3.50,0.50,2.50,0.00,17.50,27.00,0.00,49.00,23.50,24.50,4.00,35.00,11.50,13.50,15.50,0.00,0.00,4.50,2.50,0.00,16.50,0.00,17.00,1.50,0.00,7.00,0.00,6.50,56.50,42.50,0.00,6.50,17.00,21.00
25,44.50,57.50,14.50,14.50,68.00,5.00,6.00,32.00,3.00,0.00,22.50,3.50,0.50,2.50,0.00,17.50,27.00,0.00,49.00,23.50,24.50,4.00,35.00,11.50,13.50,15.50,0.00,0.00,4.50,2.50,0.00,16.50,0.00,17.00,1.50,0.00,7.00,0.00,6.50,62.00,42.50,0.00,6.50,20.00,21.00
26,44.50,57.50,14.50,14.50,68.00,5.00,6.00,33.50,3.00,0.00,34.50,3.50,0.50,5.50,0.00,17.50,27.00,0.00,49.00,23.50,24.50,4.00,35.00,11.50,13.50,15.50,0.00,0.00,4.50,2.50,0.00,16.50,0.00,17.00,1.50,0.00,7.00,0.00,6.50,66.00,42.50,0.00,7.50,20.00,21.00
27,49.50,57.50,14.50,14.50,68.00,5.00,6.00,40.00,3.00,0.00,43.50,3.50,0.50,9.50,7.00,22.50,31.50,0.00,49.00,23.50,24.50,4.00,35.00,11.50,13.50,15.50,0.00,0.00,4.50,2.50,0.00,16.50,0.00,17.00,1.50,0.00,7.00,0.00,6.50,68.00,42.50,0.00,7.50,20.00,21.00
28,55.00,61.50,14.50,14.50,70.50,5.00,6.00,49.00,3.00,0.00,43.50,3.50,0.50,18.00,9.50,23.00,37.00,0.00,49.00,23.50,24.50,4.00,35.00,11.50,13.50,15.50,0.00,0.00,4.50,2.50,0.00,16.50,3.50,17.00,1.50,0.00,7.00,0.00,6.50,71.00,42.50,4.00,7.50,20.00,21.50
29,62.50,65.50,14.50,14.50,70.50,5.00,6.00,55.00,3.00,0.00,43.50,3.50,0.50,24.50,9.50,31.50,37.00,0.00,49.00,23.50,24.50,4.00,35.00,11.50,13.50,15.50,0.00,0.50,4.50,2.50,0.00,16.50,3.50,17.00,1.50,0.00,7.00,0.00,8.00,75.50,42.50,4.00,13.00,21.50,22.50
30,70.50,65.50,14.50,14.50,70.50,5.00,6.00,59.00,3.00,0.00,43.50,3.50,0.50,36.00,11.50,33.00,41.50,0.00,49.00,23.50,24.50,4.00,35.00,11.50,13.50,15.50,0.50,4.00,9.00,2.50,0.00,16.50,3.50,17.00,1.50,0.00,7.00,0.00,15.00,75.50,42.50,4.00,17.00,21.50,22.50
31,78.50,68.50,14.50,14.50,76.50,5.00,6.00,63.00,3.00,0.00,43.50,3.50,0.50,48.00,16.50,35.00,42.50,0.00,49.00,23.50,24.50,4.00,35.00,12.00,13.50,15.50,0.50,9.00,14.50,2.50,0.00,16.50,3.50,17.00,1.50,0.00,7.50,0.00,15.00,76.00,42.50,4.00,17.00,21.50,22.50
32,86.00,68.50,14.50,14.50,76.50,5.00,6.00,73.00,3.00,0.00,46.50,3.50,0.50,51.50,27.50,35.00,42.50,0.00,49.00,23.50,24.50,4.00,35.00,14.00,13.50,15.50,0.50,13.00,14.50,2.50,0.00,16.50,3.50,17.00,2.50,0.00,9.00,0.00,15.00,78.00,42.50,4.00,17.00,21.50,22.50
33,97.50,68.50,14.50,14.50,76.50,5.00,6.00,76.50,3.00,0.00,54.50,3.50,0.50,51.50,33.00,38.00,42.50,0.50,56.50,23.50,24.50,8.00,35.00,14.00,13.50,15.50,0.50,13.50,17.00,2.50,0.00,16.50,3.50,17.50,2.50,0.00,9.00,0.00,15.00,81.50,46.00,4.00,17.00,21.50,22.50
34,107.50,68.50,16.50,18.50,76.50,5.00,6.00,76.50,3.00,0.00,62.00,3.50,1.00,51.50,37.50,39.50,42.50,5.00,56.50,24.00,24.50,10.00,35.00,14.50,13.50,15.50,0.50,13.50,17.00,2.50,0.00,16.50,3.50,18.00,2.50,0.00,18.00,0.50,15.00,81.50,53.50,4.00,17.00,21.50,27.00
35,112.50,68.50,26.00,18.50,76.50,5.00,6.00,76.50,3.00,0.00,62.00,3.50,7.00,51.50,42.00,39.50,42.50,10.50,56.50,24.00,24.50,10.00,35.00,14.50,15.00,15.50,0.50,13.50,17.00,2.50,0.00,16.50,3.50,18.00,2.50,2.00,18.00,1.00,15.00,81.50,53.50,4.00,17.00,21.50,27.50
36,112.50,68.50,31.50,21.00,76.50,5.00,6.00,76.50,3.00,5.00,62.00,3.50,13.00,51.50,42.00,39.50,42.50,15.50,56.50,24.00,24.50,11.50,36.00,14.50,24.50,15.50,0.50,22.00,17.00,2.50,0.00,16.50,3.50,18.00,2.50,7.00,18.00,7.50,15.00,81.50,53.50,4.00,17.00,21.50,29.00
37,112.50,68.50,35.00,21.00,76.50,5.00,6.00,80.00,3.00,11.00,73.50,3.50,19.00,51.50,42.00,41.00,42.50,16.50,56.50,24.00,24.50,11.50,36.00,14.50,38.00,15.50,0.50,29.00,17.00,2.50,0.00,16.50,3.50,18.00,2.50,11.00,26.50,14.50,15.00,81.50,53.50,4.00,17.00,21.50,29.00
38,112.50,73.00,37.50,21.00,76.50,5.00,6.00,80.00,3.00,18.00,82.50,3.50,24.00,51.50,42.00,41.00,42.50,25.00,56.50,24.00,24.50,11.50,36.00,14.50,47.50,17.00,3.50,37.50,17.00,2.50,0.00,18.00,7.00,18.00,2.50,11.00,37.00,14.50,15.00,85.50,53.50,4.00,17.00,21.50,29.00
39,112.50,77.00,37.50,21.00,76.50,5.00,6.00,80.00,3.00,18.00,89.50,3.50,24.00,51.50,42.00,41.00,42.50,37.50,60.50,24.00,24.50,11.50,36.00,14.50,60.00,17.00,11.00,46.00,17.00,2.50,0.00,18.00,10.50,18.00,2.50,15.00,46.00,14.50,17.50,92.00,53.50,4.00,18.00,21.50,29.00
