# MCGRATH_AP
# Cumulative degree days > 25 starting March 1 from ACIS, gaps filled from climatology
# No years excluded (all years had 10 or fewer days of missing data)
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
16,10.00,55.00,8.50,0.00,41.00,15.50,0.00,0.00,46.50,2.50,0.50,8.00,13.50,0.00,0.00,6.00,29.00,0.00,26.00,0.00,1.50,1.00,10.50,34.50,8.50,31.00,0.00,0.00,17.00,3.00,0.00,0.00,0.00,15.50,13.50,24.00,1.00,0.00,11.00,41.50,0.00,0.00,15.50,6.50,0.00
17,10.00,73.50,19.50,0.00,41.00,15.50,0.00,0.00,46.50,2.50,0.50,8.00,13.50,4.00,0.00,6.00,29.00,0.00,40.00,0.00,1.50,1.00,10.50,34.50,8.50,31.00,0.00,0.00,17.00,3.00,0.00,0.00,0.00,15.50,13.50,24.00,1.00,0.00,20.00,41.50,3.50,0.00,15.50,6.50,0.00
18,10.00,82.50,32.00,0.00,41.00,20.50,0.00,0.00,46.50,2.50,0.50,8.00,23.50,14.50,0.00,6.00,29.00,0.00,54.00,0.00,1.50,1.00,15.50,34.50,8.50,31.00,0.00,0.00,17.00,3.00,0.00,0.00,0.00,15.50,13.50,24.00,1.00,0.00,25.50,41.50,9.50,0.00,15.50,6.50,0.00
19,10.00,87.00,44.00,0.00,41.00,20.50,0.00,0.00,46.50,2.50,0.50,8.00,28.00,18.50,0.00,6.00,29.00,0.00,70.50,0.00,1.50,1.00,15.50,34.50,8.50,31.00,0.00,0.00,17.00,3.00,0.00,0.00,0.00,15.50,13.50,26.00,1.00,0.00,27.00,41.50,18.50,0.00,15.50,6.50,4.50
20,17.00,91.50,56.00,0.00,41.00,20.50,0.00,5.50,46.50,2.50,0.50,8.00,28.00,20.50,0.00,6.00,29.00,0.00,83.50,0.00,2.50,1.00,17.00,34.50,8.50,31.00,0.00,0.00,17.00,3.00,0.00,9.00,0.00,15.50,13.50,26.00,1.00,0.00,27.00,47.50,23.00,0.00,15.50,6.50,17.50
21,18.50,91.50,56.00,0.00,41.00,20.50,0.00,21.00,46.50,2.50,0.50,8.00,28.00,20.50,0.00,6.00,29.00,0.00,92.00,0.00,12.00,1.00,17.00,34.50,8.50,31.00,0.00,0.00,17.00,3.00,0.00,15.00,0.00,15.50,13.50,26.00,1.00,0.00,27.00,59.50,23.00,0.00,15.50,6.50,28.00
22,20.00,91.50,56.00,0.00,41.00,20.50,0.00,31.00,46.50,2.50,0.50,16.50,37.00,20.50,0.00,6.00,30.00,0.00,99.00,1.50,22.00,1.00,17.00,34.50,8.50,31.00,0.00,0.00,17.00,3.00,0.00,18.50,0.00,15.50,13.50,26.50,1.00,0.00,27.00,67.00,29.50,0.00,15.50,6.50,37.00
23,24.00,91.50,56.00,0.00,41.00,20.50,0.00,40.00,46.50,2.50,0.50,27.50,49.00,20.50,6.00,6.00,30.00,0.00,109.00,2.50,22.00,1.00,19.00,34.50,8.50,33.50,0.00,0.00,17.00,3.00,0.00,23.50,0.00,15.50,13.50,26.50,1.00,0.00,27.00,80.00,39.50,0.00,15.50,6.50,52.00
24,30.50,91.50,56.00,0.00,41.00,20.50,0.00,50.00,46.50,2.50,2.50,35.00,54.50,20.50,6.00,6.00,40.50,0.00,115.00,16.00,22.00,1.00,20.00,34.50,8.50,36.50,0.00,0.00,17.00,3.00,0.00,23.50,0.00,15.50,13.50,28.50,11.00,0.00,27.00,95.50,51.00,1.50,15.50,6.50,66.50
25,30.50,91.50,56.00,0.00,41.00,20.50,0.00,54.00,46.50,2.50,11.50,37.00,54.50,20.50,6.00,6.00,48.50,0.00,115.50,18.00,22.00,1.00,20.00,34.50,8.50,36.50,0.00,0.00,17.00,3.00,0.00,23.50,0.00,15.50,13.50,35.00,19.00,0.00,27.00,104.00,51.00,1.50,15.50,12.00,79.50
