# COLD_BAY_AIRPORT
# Cumulative degree days > 25 starting March 1 from ACIS, gaps filled from climatology
# No years excluded (all years had 10 or fewer days of missing data)
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,10.50,10.00,6.50,10.00,0.00,13.50,0.00,4.00,0.00,6.00,8.50,14.00,0.00,2.00,0.00,13.00,14.00,0.00,6.50,0.00,2.50,3.00,1.00,15.00,10.50,3.50,1.00,0.00,1.00,2.00,0.00,7.50,1.50,0.00,16.50,15.50,11.50,0.00,11.50,9.00,10.50,10.00,7.00,6.00
1,19.00,15.50,14.00,19.00,0.00,23.50,0.00,7.00,1.00,7.00,12.00,23.50,0.00,9.50,0.00,27.00,28.00,10.50,9.00,0.00,12.00,5.50,6.50,31.50,20.00,15.50,7.00,0.00,8.50,16.00,2.00,10.50,1.50,7.00,30.50,31.50,25.00,0.00,20.50,14.50,12.00,11.50,14.50,14.00
2,29.00,23.00,22.00,26.00,0.00,35.50,0.00,8.50,2.50,7.00,14.50,33.50,0.00,18.50,0.00,38.50,39.50,22.50,21.50,0.00,23.50,14.50,8.50,44.50,26.50,26.50,12.50,0.50,18.50,27.50,2.00,10.50,1.50,13.00,44.00,41.00,33.50,1.50,28.50,25.50,12.00,11.50,23.00,19.00
3,40.00,30.00,32.00,34.50,9.00,48.00,0.50,13.50,2.50,7.00,14.50,43.50,6.50,24.00,0.00,49.50,47.50,29.00,34.50,0.00,33.50,25.00,14.50,53.50,30.00,39.50,23.00,0.50,22.50,44.50,2.00,12.50,1.50,20.50,55.50,47.50,41.50,8.00,40.50,39.00,12.00,11.50,32.00,27.00
4,50.50,34.50,43.00,45.50,23.00,61.00,10.50,14.00,2.50,9.50,14.50,56.00,12.00,28.00,0.00,57.00,56.00,39.00,49.50,0.00,43.00,37.50,23.50,59.50,37.50,52.00,27.50,0.50,30.00,55.00,2.00,13.00,12.50,30.00,66.00,57.00,42.00,19.00,51.50,50.00,17.50,16.50,39.00,41.50
5,63.00,39.50,55.00,57.50,35.50,69.00,19.00,14.00,2.50,17.00,14.50,69.50,23.00,32.00,6.00,64.00,60.00,50.00,64.00,8.00,52.50,50.00,33.00,62.50,39.00,63.50,27.50,0.50,34.50,61.50,2.00,21.00,18.00,40.50,78.50,68.50,42.50,22.50,65.00,56.00,28.00,28.00,44.50,58.50
6,71.50,48.00,66.50,68.50,47.50,82.00,23.00,18.50,2.50,26.00,24.50,75.50,28.00,32.00,17.50,73.50,72.50,57.50,78.00,13.00,63.00,61.00,43.00,65.00,39.00,76.00,27.50,0.50,34.50,72.50,2.00,27.00,18.00,53.00,91.00,79.50,42.50,22.50,83.00,66.00,40.50,37.50,56.50,75.00
7,79.00,58.50,84.00,80.00,55.00,94.50,23.00,30.50,2.50,35.00,32.50,83.50,34.00,33.00,28.00,77.00,85.50,59.00,90.00,22.00,74.00,76.00,54.00,72.50,39.00,91.00,29.00,0.50,36.00,87.00,2.00,33.50,18.00,58.50,97.50,85.50,49.00,25.00,92.00,75.00,52.50,47.50,68.00,90.00
8,90.00,67.50,94.50,86.50,64.00,102.00,23.00,43.50,6.50,44.00,33.00,93.00,40.00,38.00,38.00,83.50,93.50,59.00,100.50,22.50,82.00,89.50,61.50,80.50,49.50,103.50,37.00,0.50,40.00,100.00,2.00,42.00,18.00,63.50,106.50,85.50,56.50,25.00,94.50,89.50,56.00,54.50,80.00,105.00
9,97.50,76.50,105.50,88.00,71.00,111.00,23.00,58.00,10.00,55.00,34.50,103.50,40.00,40.50,49.00,86.50,97.50,59.00,111.00,22.50,92.00,101.50,62.00,85.50,61.00,115.50,48.00,0.50,43.00,109.50,2.00,46.50,18.00,73.00,113.50,85.50,65.50,25.00,94.50,102.00,56.00,61.00,94.50,117.00
10,97.50,84.50,113.00,88.00,77.00,119.00,23.00,73.50,10.00,65.50,40.00,113.50,40.00,45.50,59.00,87.50,102.50,59.00,123.50,22.50,102.00,112.50,66.00,99.00,72.00,127.00,59.50,0.50,43.00,115.50,2.00,50.50,18.00,76.00,113.50,85.50,75.50,28.00,98.50,113.00,56.00,62.00,107.00,128.50
11,97.50,96.50,122.50,88.00,82.00,125.00,25.00,87.00,10.00,74.50,48.00,122.50,40.00,51.00,65.50,87.50,116.50,61.50,135.00,22.50,113.00,123.50,77.50,105.50,79.00,140.50,69.50,0.50,43.00,122.50,2.00,55.00,18.00,78.00,113.50,85.50,86.50,28.50,109.50,124.00,56.00,67.00,118.00,136.50
12,97.50,107.50,132.50,88.00,91.00,127.50,31.00,99.00,10.00,85.00,48.00,135.50,45.00,64.00,67.50,87.50,131.00,66.00,149.00,22.50,125.50,134.00,88.00,105.50,87.00,154.50,77.50,0.50,43.00,130.00,2.00,55.00,18.00,82.00,113.50,85.50,96.50,29.00,120.00,133.50,67.00,79.00,128.00,140.50
13,103.50,118.50,141.50,88.00,103.00,128.50,38.50,112.50,10.50,95.50,49.50,141.50,56.00,78.00,67.50,87.50,145.00,71.50,163.00,24.00,135.00,144.50,100.00,105.50,95.00,164.50,83.50,0.50,53.00,132.00,2.00,58.50,18.00,82.00,113.50,94.50,104.50,32.00,127.50,139.00,80.00,86.50,136.00,141.00
14,103.50,128.50,151.00,91.00,116.50,132.00,50.00,124.00,12.50,106.50,56.00,147.50,67.00,90.00,76.00,87.50,162.50,73.50,177.50,24.00,145.00,148.50,112.50,105.50,100.50,173.50,89.00,0.50,64.00,132.00,2.00,61.00,18.00,83.00,113.50,106.50,108.50,32.00,139.50,142.00,93.00,93.00,138.00,141.00
15,103.50,137.00,163.50,100.00,128.50,140.00,61.50,137.00,19.00,113.00,63.00,165.50,78.00,103.00,78.50,87.50,179.00,76.00,190.50,24.00,152.50,150.00,124.00,106.00,106.00,183.50,102.50,0.50,73.00,132.00,2.00,61.50,18.00,91.00,127.00,119.50,112.50,32.00,152.50,148.50,106.00,97.50,138.00,141.00
16,116.50,147.00,178.00,109.00,139.50,148.00,72.50,147.50,24.00,116.50,70.50,167.50,89.50,116.00,78.50,87.50,193.00,76.00,203.00,24.00,161.50,151.00,136.50,106.00,109.50,199.00,114.50,0.50,73.00,132.00,2.50,68.00,18.00,99.00,136.00,134.50,116.00,32.00,164.00,154.50,118.50,100.00,138.00,141.00
17,127.50,160.00,190.00,115.50,149.50,158.00,84.00,160.00,32.00,116.50,76.50,167.50,100.00,128.50,78.50,87.50,204.50,76.00,215.00,31.50,167.50,155.50,146.50,106.00,111.00,215.00,125.50,0.50,73.00,132.00,3.50,81.50,18.00,103.50,136.50,148.50,125.50,32.00,181.50,160.50,127.50,108.50,138.00,141.50
18,139.00,172.00,201.50,126.00,160.00,164.50,90.00,173.00,40.00,116.50,90.50,167.50,107.00,138.50,78.50,95.50,217.00,76.00,223.00,38.50,179.50,159.50,155.00,106.00,113.50,230.00,136.50,0.50,73.00,132.00,9.50,93.00,18.00,103.50,138.50,163.00,130.00,32.00,192.00,168.00,137.50,122.00,138.00,146.50
19,152.50,190.00,217.50,141.00,172.00,168.00,94.00,186.00,47.50,116.50,103.50,178.00,107.00,150.00,78.50,100.50,231.00,76.00,228.00,43.00,192.00,163.50,168.00,106.00,113.50,242.00,141.00,3.96,73.00,132.00,9.50,106.00,18.00,105.50,153.00,173.50,130.00,32.00,202.50,178.00,145.00,134.00,138.00,157.50
20,165.50,204.50,231.50,154.50,187.00,170.50,97.50,195.50,50.00,117.00,114.00,191.00,108.50,155.50,83.50,100.50,243.00,80.00,230.00,47.50,200.50,166.00,179.50,108.00,118.50,242.00,141.00,7.09,73.00,132.00,9.50,117.50,18.00,113.50,168.00,187.00,131.50,32.50,209.00,188.00,153.00,146.50,139.50,166.50
21,177.50,217.50,236.00,167.00,198.50,170.50,101.50,198.50,50.00,126.50,129.00,205.50,119.00,157.00,92.50,104.00,251.50,88.00,236.50,52.50,209.00,168.00,193.00,108.50,123.00,242.00,141.00,7.09,73.00,132.00,9.50,125.50,18.00,124.00,179.00,202.50,136.00,32.50,221.00,201.00,161.00,149.50,140.50,173.00
22,188.50,230.00,237.50,179.50,210.00,170.50,109.50,200.50,50.00,137.00,141.50,219.50,131.50,157.00,106.00,109.50,262.00,94.50,245.50,59.50,220.50,168.00,204.00,109.00,131.50,246.00,143.50,7.09,73.00,132.00,9.50,135.50,28.50,132.00,193.50,215.00,144.50,32.50,231.50,215.00,169.50,155.00,140.50,184.50
23,199.50,244.00,237.50,191.00,223.00,170.50,117.00,206.50,50.00,150.00,154.00,233.00,139.50,161.00,108.00,111.00,272.50,95.00,257.50,67.50,222.00,168.00,214.50,111.50,144.00,251.50,149.00,7.09,73.00,132.00,16.00,141.00,32.50,132.00,207.00,228.50,154.50,32.50,242.50,230.00,186.00,176.00,140.50,196.00
24,213.50,256.50,237.50,203.50,236.00,174.50,117.00,214.50,50.00,162.00,167.50,247.50,142.50,173.00,108.00,113.00,285.00,96.50,264.50,73.50,222.00,168.00,226.50,115.50,155.00,256.00,151.00,11.09,73.00,132.00,23.50,146.50,32.50,132.00,218.00,241.00,167.00,39.00,255.50,245.50,200.00,186.00,140.50,209.50
