# COLLEGE_OBSERVATORY
# Cumulative degree days > 25 starting March 1 from ACIS, gaps filled from climatology
# Excluded years (more than 10 days of missing data): 2000, 2007
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2001,2002,2003,2004,2005,2006,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
15,1.00,57.00,0.00,0.00,46.00,13.50,0.00,0.00,61.00,0.00,9.50,1.00,23.00,0.00,3.50,4.00,10.00,0.00,10.50,0.50,1.00,4.50,16.00,0.00,36.00,0.00,47.50,0.00,4.50,0.00,0.00,4.50,6.50,5.00,0.00,0.00,4.00,44.00,2.00,0.00,0.00
16,1.00,64.50,0.00,0.00,46.00,13.50,4.00,0.00,61.00,0.00,10.50,1.00,23.00,0.00,3.50,4.00,10.00,0.00,16.00,0.50,1.00,4.50,16.00,0.00,36.00,0.00,47.50,0.00,4.50,0.00,0.00,4.50,6.50,5.00,0.00,0.00,4.00,56.00,2.00,0.00,0.00
17,1.00,78.50,7.00,0.00,46.00,19.50,5.00,0.00,61.00,0.00,11.00,1.00,24.50,0.00,3.50,4.00,10.00,0.00,24.50,0.50,1.00,4.50,16.00,0.00,36.00,0.00,47.50,0.00,4.50,0.00,0.00,4.50,6.50,6.00,0.00,0.00,6.50,71.00,2.00,0.00,0.00
18,1.00,97.00,11.50,0.00,46.00,22.50,5.00,0.00,61.00,0.00,11.00,1.00,27.50,0.00,3.50,4.00,10.00,0.00,36.00,0.50,1.00,4.50,16.00,0.00,38.50,0.00,47.50,0.00,4.50,0.00,0.00,4.50,6.50,10.50,0.00,0.00,6.50,87.00,6.00,0.00,0.00
19,1.00,104.50,22.00,0.00,46.00,23.00,5.00,0.00,61.00,0.00,11.00,1.00,33.50,2.00,3.50,4.00,10.00,0.00,49.00,1.00,1.00,4.50,16.00,0.00,38.50,0.00,47.50,0.00,4.50,0.00,0.00,4.50,6.50,18.00,0.00,0.00,6.50,87.00,11.00,0.00,0.00
20,6.00,109.50,33.00,0.00,46.00,27.50,5.00,0.00,61.00,0.00,11.00,1.00,34.50,3.50,3.50,4.00,10.00,0.00,65.50,5.50,1.00,4.50,16.00,0.00,38.50,0.00,47.50,0.00,4.50,0.00,0.00,4.50,6.50,27.00,3.50,0.00,6.50,91.50,17.50,0.00,0.00
21,8.50,109.50,40.00,0.00,46.00,32.50,5.00,7.50,61.00,0.00,12.00,1.00,34.50,11.00,3.50,4.00,10.00,0.00,78.00,8.00,1.00,4.50,16.00,0.00,38.50,0.00,47.50,0.00,4.50,0.00,0.00,4.50,6.50,27.00,7.00,0.00,6.50,108.00,18.00,0.00,0.00
22,9.00,109.50,49.00,0.00,46.00,37.00,5.00,17.50,61.00,0.00,14.50,1.00,35.50,19.00,3.50,4.00,10.00,0.00,87.00,14.00,1.00,5.00,16.00,0.00,38.50,0.00,47.50,0.00,4.50,0.00,0.00,4.50,6.50,27.00,11.50,0.00,6.50,124.50,18.00,0.00,0.00
23,13.50,109.50,49.00,0.00,46.00,37.00,5.00,28.00,61.00,0.00,17.50,2.00,43.00,19.00,3.50,4.00,15.50,0.00,102.00,20.50,1.00,5.00,16.00,0.00,38.50,0.00,47.50,0.00,4.50,0.00,0.00,4.50,7.00,27.00,11.50,0.00,6.50,140.50,19.00,0.00,0.00
24,20.50,109.50,49.00,0.00,46.00,37.00,5.00,41.00,61.00,0.00,17.50,9.00,53.50,19.00,13.00,4.00,18.00,0.00,117.00,32.50,1.00,5.50,16.00,0.00,41.00,0.00,47.50,0.00,4.50,0.50,0.00,4.50,8.50,29.00,15.50,0.00,6.50,157.00,26.50,0.00,4.50
