# JUNEAU_AIRPORT
# Cumulative degree days > 25 starting March 1 from ACIS, gaps filled from climatology
# No years excluded (all years had 10 or fewer days of missing data)
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,9.50,11.50,0.00,9.50,14.50,10.50,10.00,0.00,14.00,0.00,8.00,3.00,10.00,12.00,13.00,0.00,3.00,3.50,9.00,7.50,13.50,12.50,11.50,12.00,6.00,15.00,0.00,0.00,4.00,0.50,18.00,0.00,4.50,12.00,5.50,10.50,10.00,5.50,1.00,7.00,12.50,11.00,13.00,6.50
1,16.50,26.00,0.00,17.50,29.00,20.00,19.00,0.00,27.00,0.00,20.50,3.50,16.50,21.50,24.50,5.50,12.00,3.50,16.50,16.50,26.00,20.50,24.50,25.50,10.00,31.50,1.00,0.00,16.50,3.00,29.50,0.00,14.00,20.00,7.00,18.00,20.50,6.00,1.00,14.00,23.50,22.50,24.50,14.50
2,16.50,36.50,0.00,22.00,41.00,32.50,31.50,0.00,36.50,6.00,33.50,5.50,22.50,31.00,38.50,13.50,18.50,3.50,22.50,24.50,38.00,30.00,34.00,39.50,16.00,45.00,3.50,0.00,30.50,3.00,40.00,0.00,22.00,27.00,7.00,29.50,27.50,6.00,1.00,15.00,33.00,34.50,33.50,15.50
3,16.50,47.00,0.00,27.50,56.50,36.50,41.50,0.00,47.00,9.00,49.50,6.50,26.50,44.00,49.50,16.50,19.50,3.50,25.50,27.00,49.00,36.50,38.00,48.50,23.50,58.50,9.00,0.00,42.00,3.00,50.50,0.00,23.00,34.00,7.00,43.00,40.50,6.00,1.50,15.00,42.00,47.50,42.00,15.50
4,20.50,56.50,5.00,30.50,71.00,36.50,46.50,0.00,60.00,9.00,63.50,16.50,30.50,59.00,54.50,18.50,24.50,3.50,27.00,27.00,56.50,44.00,38.00,54.50,32.50,74.00,16.00,0.00,52.50,3.00,59.00,3.50,23.00,37.00,7.00,54.50,55.00,6.00,1.50,15.00,48.50,59.00,54.00,15.50
5,27.00,64.50,14.50,33.00,86.00,36.50,48.00,0.00,70.50,9.00,74.00,26.00,33.50,73.00,61.50,21.50,24.50,10.00,28.50,27.00,64.00,56.50,38.00,54.50,42.00,86.50,22.50,6.50,66.00,9.50,70.00,4.00,32.50,40.00,7.00,69.00,68.00,6.00,1.50,15.50,48.50,70.50,68.50,15.50
6,33.50,72.50,25.50,40.50,101.50,46.00,49.50,0.00,83.00,9.00,80.50,37.50,43.00,85.00,72.00,22.50,24.50,19.00,29.50,27.00,69.00,70.50,38.00,54.50,56.50,100.50,32.50,17.00,81.00,9.50,75.50,4.00,42.50,45.00,7.00,84.50,81.50,6.00,7.00,17.00,49.50,82.50,77.00,15.50
7,44.00,85.00,35.00,45.00,115.50,55.50,52.50,0.00,98.00,9.00,84.00,46.00,59.00,95.50,86.00,22.50,24.50,27.00,29.50,27.00,72.00,84.00,38.00,54.50,71.50,117.50,40.50,27.00,96.00,9.50,82.00,4.00,54.00,52.50,15.00,98.50,94.50,6.00,15.50,20.50,57.50,88.00,83.50,15.50
8,57.50,100.50,43.50,55.00,130.50,67.00,61.50,0.50,110.50,9.00,93.50,53.00,72.50,106.00,101.50,22.50,35.00,34.50,29.50,33.50,75.50,96.50,38.00,54.50,80.00,134.00,45.50,33.00,109.50,9.50,91.00,6.00,65.50,61.50,26.50,109.00,105.50,6.00,25.50,32.50,68.00,90.50,88.00,15.50
9,67.50,116.00,51.00,72.00,147.50,77.50,73.00,3.50,124.00,9.00,102.50,54.50,88.50,114.00,114.00,25.00,53.00,40.00,30.50,46.00,80.00,109.50,38.00,54.50,91.50,149.00,45.50,40.00,119.50,9.50,100.00,6.00,75.50,72.50,39.50,112.50,117.00,6.00,36.50,44.00,78.00,93.00,97.00,17.50
