location,river,forecastdate,most likely breakup in (days),forecasted date,average breakup date,probability of breakup within ± 3 days around forecasted,probability of breakup within 1 or 2 days,probability of breakup within 3-7 days,probability of breakup within week 2 from now,probability of breakup within week 3 from now
Buckland,Buckland River,2025-03-17,61,2025-05-16,2025-05-17,0.34,0.00,0.00,0.00,0.00
Umiat,Colville River,2025-03-17,66,2025-05-21,2025-05-24,0.43,0.00,0.00,0.00,0.00
Colville Village,Colville River,2025-03-17,76,2025-05-31,2025-06-01,0.37,0.00,0.00,0.00,0.00
Kobuk,Kobuk River,2025-03-17,59,2025-05-14,2025-05-16,0.39,0.00,0.00,0.00,0.00
Shungnak,Kobuk River,2025-03-17,62,2025-05-17,2025-05-17,0.39,0.00,0.00,0.00,0.00
Ambler,Kobuk River,2025-03-17,62,2025-05-17,2025-05-18,0.40,0.00,0.00,0.00,0.00
Allakaket,Koyukuk River,2025-03-17,55,2025-05-10,2025-05-10,0.41,0.00,0.00,0.00,0.00
Bettles,Koyukuk River,2025-03-17,55,2025-05-10,2025-05-10,0.41,0.00,0.00,0.00,0.00
Hughes,Koyukuk River,2025-03-17,56,2025-05-11,2025-05-11,0.40,0.00,0.00,0.00,0.00
Nikolai,Kuskokwim River,2025-03-17,37,2025-04-22,2025-04-23,0.35,0.00,0.00,0.00,0.01
Sleetmute,Kuskokwim River,2025-03-17,51,2025-05-06,2025-05-04,0.38,0.00,0.00,0.00,0.00
Red Devil,Kuskokwim River,2025-03-17,50,2025-05-05,2025-05-05,0.37,0.00,0.00,0.00,0.00
Stony River,Kuskokwim River,2025-03-17,51,2025-05-06,2025-05-05,0.42,0.00,0.00,0.00,0.00
Crooked Creek,Kuskokwim River,2025-03-17,51,2025-05-06,2025-05-06,0.38,0.00,0.00,0.00,0.00
McGrath,Kuskokwim River,2025-03-17,52,2025-05-07,2025-05-06,0.38,0.00,0.00,0.00,0.00
Aniak,Kuskokwim River,2025-03-17,52,2025-05-07,2025-05-07,0.36,0.00,0.00,0.00,0.00
Kalskag,Kuskokwim River,2025-03-17,51,2025-05-06,2025-05-07,0.37,0.00,0.00,0.00,0.00
Akiak,Kuskokwim River,2025-03-17,54,2025-05-09,2025-05-09,0.35,0.00,0.00,0.00,0.00
Tuluksak,Kuskokwim River,2025-03-17,54,2025-05-09,2025-05-09,0.37,0.00,0.00,0.00,0.00
Bethel,Kuskokwim River,2025-03-17,55,2025-05-10,2025-05-10,0.32,0.00,0.00,0.00,0.00
Napakiak,Kuskokwim River,2025-03-17,54,2025-05-09,2025-05-10,0.30,0.00,0.00,0.00,0.00
Sunshine,Susitna River,2025-03-17,46,2025-05-01,2025-05-02,0.44,0.00,0.00,0.00,0.00
Fairbanks D-S of Chena R,Tanana River,2025-03-17,44,2025-04-29,2025-04-30,0.41,0.00,0.00,0.00,0.00
Nenana,Tanana River,2025-03-17,46,2025-05-01,2025-05-01,0.40,0.00,0.00,0.00,0.00
Manley Hot Springs,Tanana River,2025-03-17,49,2025-05-04,2025-05-04,0.37,0.00,0.00,0.00,0.00
Dawson,Yukon River,2025-03-17,50,2025-05-05,2025-05-05,0.52,0.00,0.00,0.00,0.00
Eagle,Yukon River,2025-03-17,50,2025-05-05,2025-05-05,0.45,0.00,0.00,0.00,0.00
Circle,Yukon River,2025-03-17,55,2025-05-10,2025-05-09,0.46,0.00,0.00,0.00,0.00
Tanana,Yukon River,2025-03-17,55,2025-05-10,2025-05-10,0.45,0.00,0.00,0.00,0.00
Beaver,Yukon River,2025-03-17,54,2025-05-09,2025-05-11,0.56,0.00,0.00,0.00,0.00
Fort Yukon,Yukon River,2025-03-17,56,2025-05-11,2025-05-11,0.46,0.00,0.00,0.00,0.00
Ruby,Yukon River,2025-03-17,57,2025-05-12,2025-05-11,0.44,0.00,0.00,0.00,0.00
Galena,Yukon River,2025-03-17,58,2025-05-13,2025-05-12,0.45,0.00,0.00,0.00,0.00
Rampart,Yukon River,2025-03-17,56,2025-05-11,2025-05-12,0.55,0.00,0.00,0.00,0.00
Stevens Village,Yukon River,2025-03-17,55,2025-05-10,2025-05-12,0.55,0.00,0.00,0.00,0.00
Nulato,Yukon River,2025-03-17,55,2025-05-10,2025-05-13,0.42,0.00,0.00,0.00,0.00
Holy Cross,Yukon River,2025-03-17,59,2025-05-14,2025-05-14,0.39,0.00,0.00,0.00,0.00
Kaltag,Yukon River,2025-03-17,59,2025-05-14,2025-05-14,0.41,0.00,0.00,0.00,0.00
Marshall,Yukon River,2025-03-17,60,2025-05-15,2025-05-15,0.38,0.00,0.00,0.00,0.00
Pilot Station,Yukon River,2025-03-17,60,2025-05-15,2025-05-15,0.33,0.00,0.00,0.00,0.00
Russian Mission,Yukon River,2025-03-17,59,2025-05-14,2025-05-15,0.37,0.00,0.00,0.00,0.00
Anvik,Yukon River,2025-03-17,62,2025-05-17,2025-05-16,0.40,0.00,0.00,0.00,0.00
Mountain Village,Yukon River,2025-03-17,60,2025-05-15,2025-05-17,0.36,0.00,0.00,0.00,0.00
Emmonak,Yukon River,2025-03-17,66,2025-05-21,2025-05-21,0.35,0.00,0.00,0.00,0.00
Alakanuk,Yukon River,2025-03-17,67,2025-05-22,2025-05-22,0.36,0.00,0.00,0.00,0.00
