location,river,forecastdate,most likely breakup in (days),forecasted date,average breakup date,probability of breakup within ± 3 days around forecasted,probability of breakup within 1 or 2 days,probability of breakup within 3-7 days,probability of breakup within week 2 from now,probability of breakup within week 3 from now
Buckland,Buckland River,2025-04-22,25,2025-05-16,2025-05-17,0.37,0.00,0.01,0.06,0.22
Umiat,Colville River,2025-04-22,30,2025-05-21,2025-05-24,0.44,0.00,0.00,0.00,0.05
Colville Village,Colville River,2025-04-22,41,2025-06-01,2025-06-01,0.37,0.00,0.00,0.00,0.00
Kobuk,Kobuk River,2025-04-22,22,2025-05-13,2025-05-16,0.43,0.00,0.00,0.07,0.31
Shungnak,Kobuk River,2025-04-22,22,2025-05-13,2025-05-17,0.45,0.00,0.00,0.07,0.34
Ambler,Kobuk River,2025-04-22,25,2025-05-16,2025-05-18,0.42,0.00,0.00,0.03,0.20
Allakaket,Koyukuk River,2025-04-22,17,2025-05-08,2025-05-10,0.44,0.00,0.03,0.24,0.45
Bettles,Koyukuk River,2025-04-22,17,2025-05-08,2025-05-10,0.44,0.00,0.04,0.25,0.44
Hughes,Koyukuk River,2025-04-22,18,2025-05-09,2025-05-11,0.44,0.00,0.03,0.20,0.44
Nikolai,Kuskokwim River,2025-04-22,-1,2025-04-20,2025-04-23,0.93,0.41,0.52,0.07,0.00
Sleetmute,Kuskokwim River,2025-04-22,11,2025-05-02,2025-05-04,0.52,0.02,0.18,0.52,0.26
Red Devil,Kuskokwim River,2025-04-22,11,2025-05-02,2025-05-05,0.50,0.01,0.14,0.50,0.31
Stony River,Kuskokwim River,2025-04-22,11,2025-05-02,2025-05-05,0.51,0.02,0.16,0.51,0.28
Crooked Creek,Kuskokwim River,2025-04-22,14,2025-05-05,2025-05-06,0.50,0.01,0.07,0.39,0.43
McGrath,Kuskokwim River,2025-04-22,12,2025-05-03,2025-05-06,0.52,0.01,0.11,0.49,0.34
Aniak,Kuskokwim River,2025-04-22,15,2025-05-06,2025-05-07,0.48,0.00,0.05,0.34,0.46
Kalskag,Kuskokwim River,2025-04-22,15,2025-05-06,2025-05-07,0.55,0.00,0.02,0.32,0.53
Akiak,Kuskokwim River,2025-04-22,17,2025-05-08,2025-05-09,0.49,0.00,0.02,0.23,0.50
Tuluksak,Kuskokwim River,2025-04-22,18,2025-05-09,2025-05-09,0.54,0.00,0.01,0.16,0.54
Bethel,Kuskokwim River,2025-04-22,18,2025-05-09,2025-05-10,0.44,0.00,0.02,0.20,0.44
Napakiak,Kuskokwim River,2025-04-22,19,2025-05-10,2025-05-10,0.43,0.00,0.02,0.18,0.42
Sunshine,Susitna River,2025-04-22,8,2025-04-29,2025-05-02,0.62,0.02,0.27,0.61,0.09
Fairbanks D-S of Chena R,Tanana River,2025-04-22,6,2025-04-27,2025-04-30,0.72,0.06,0.49,0.44,0.01
Nenana,Tanana River,2025-04-22,6,2025-04-27,2025-05-01,0.63,0.06,0.42,0.48,0.03
Manley Hot Springs,Tanana River,2025-04-22,11,2025-05-02,2025-05-04,0.52,0.02,0.15,0.52,0.29
Dawson,Yukon River,2025-04-22,10,2025-05-01,2025-05-05,0.64,0.01,0.14,0.67,0.18
Eagle,Yukon River,2025-04-22,12,2025-05-03,2025-05-05,0.58,0.01,0.10,0.55,0.32
Circle,Yukon River,2025-04-22,17,2025-05-08,2025-05-09,0.50,0.00,0.02,0.21,0.51
Tanana,Yukon River,2025-04-22,16,2025-05-07,2025-05-10,0.53,0.00,0.02,0.28,0.53
Beaver,Yukon River,2025-04-22,16,2025-05-07,2025-05-11,0.59,0.00,0.01,0.23,0.61
Fort Yukon,Yukon River,2025-04-22,18,2025-05-09,2025-05-11,0.50,0.00,0.01,0.18,0.50
Ruby,Yukon River,2025-04-22,19,2025-05-10,2025-05-11,0.51,0.00,0.01,0.15,0.49
Galena,Yukon River,2025-04-22,19,2025-05-10,2025-05-12,0.54,0.00,0.00,0.12,0.51
Rampart,Yukon River,2025-04-22,19,2025-05-10,2025-05-12,0.59,0.00,0.00,0.10,0.56
Stevens Village,Yukon River,2025-04-22,17,2025-05-08,2025-05-12,0.62,0.00,0.00,0.18,0.63
Nulato,Yukon River,2025-04-22,19,2025-05-10,2025-05-13,0.48,0.00,0.01,0.16,0.46
Holy Cross,Yukon River,2025-04-22,20,2025-05-11,2025-05-14,0.52,0.00,0.00,0.07,0.43
Kaltag,Yukon River,2025-04-22,22,2025-05-13,2025-05-14,0.48,0.00,0.00,0.06,0.34
Marshall,Yukon River,2025-04-22,25,2025-05-16,2025-05-15,0.55,0.00,0.00,0.01,0.17
Pilot Station,Yukon River,2025-04-22,23,2025-05-14,2025-05-15,0.46,0.00,0.00,0.05,0.30
Russian Mission,Yukon River,2025-04-22,20,2025-05-11,2025-05-15,0.50,0.00,0.00,0.09,0.43
Anvik,Yukon River,2025-04-22,20,2025-05-11,2025-05-16,0.50,0.00,0.00,0.10,0.44
Mountain Village,Yukon River,2025-04-22,24,2025-05-15,2025-05-17,0.46,0.00,0.00,0.04,0.25
Emmonak,Yukon River,2025-04-22,30,2025-05-21,2025-05-21,0.43,0.00,0.00,0.00,0.06
Alakanuk,Yukon River,2025-04-22,31,2025-05-22,2025-05-22,0.43,0.00,0.00,0.00,0.04
