location,river,forecastdate,most likely breakup in (days),forecasted date,average breakup date,probability of breakup within ± 3 days around forecasted,probability of breakup within 1 or 2 days,probability of breakup within 3-7 days,probability of breakup within week 2 from now,probability of breakup within week 3 from now
Buckland,Buckland River,2025-04-30,15,2025-05-14,2025-05-17,0.42,0.01,0.07,0.32,0.40
Umiat,Colville River,2025-04-30,22,2025-05-21,2025-05-24,0.44,0.00,0.00,0.07,0.32
Colville Village,Colville River,2025-04-30,33,2025-06-01,2025-06-01,0.38,0.00,0.00,0.00,0.04
Kobuk,Kobuk River,2025-04-30,14,2025-05-13,2025-05-16,0.48,0.01,0.08,0.39,0.42
Shungnak,Kobuk River,2025-04-30,14,2025-05-13,2025-05-17,0.52,0.00,0.06,0.42,0.43
Ambler,Kobuk River,2025-04-30,16,2025-05-15,2025-05-18,0.46,0.00,0.05,0.29,0.45
Allakaket,Koyukuk River,2025-04-30,9,2025-05-08,2025-05-10,0.51,0.05,0.26,0.50,0.18
Bettles,Koyukuk River,2025-04-30,8,2025-05-07,2025-05-10,0.50,0.05,0.27,0.50,0.17
Hughes,Koyukuk River,2025-04-30,10,2025-05-09,2025-05-11,0.50,0.03,0.20,0.51,0.24
Nikolai,Kuskokwim River,2025-04-30,-9,2025-04-20,2025-04-23,1.00,0.78,0.22,0.00,0.00
Sleetmute,Kuskokwim River,2025-04-30,2,2025-05-01,2025-05-04,0.82,0.25,0.58,0.17,0.00
Red Devil,Kuskokwim River,2025-04-30,3,2025-05-02,2025-05-05,0.82,0.22,0.60,0.18,0.00
Stony River,Kuskokwim River,2025-04-30,2,2025-05-01,2025-05-05,0.81,0.23,0.58,0.19,0.00
Crooked Creek,Kuskokwim River,2025-04-30,5,2025-05-04,2025-05-06,0.66,0.11,0.50,0.38,0.02
McGrath,Kuskokwim River,2025-04-30,4,2025-05-03,2025-05-06,0.75,0.17,0.57,0.25,0.00
Aniak,Kuskokwim River,2025-04-30,6,2025-05-05,2025-05-07,0.62,0.08,0.43,0.45,0.04
Kalskag,Kuskokwim River,2025-04-30,7,2025-05-06,2025-05-07,0.75,0.04,0.45,0.50,0.01
Akiak,Kuskokwim River,2025-04-30,8,2025-05-07,2025-05-09,0.61,0.03,0.29,0.59,0.09
Tuluksak,Kuskokwim River,2025-04-30,8,2025-05-07,2025-05-09,0.70,0.01,0.27,0.67,0.05
Bethel,Kuskokwim River,2025-04-30,9,2025-05-08,2025-05-10,0.53,0.03,0.24,0.53,0.18
Napakiak,Kuskokwim River,2025-04-30,10,2025-05-09,2025-05-10,0.49,0.03,0.19,0.50,0.25
Sunshine,Susitna River,2025-04-30,1,2025-04-30,2025-05-02,0.91,0.35,0.57,0.09,0.00
Fairbanks D-S of Chena R,Tanana River,2025-04-30,-1,2025-04-28,2025-04-30,0.99,0.61,0.38,0.01,0.00
Nenana,Tanana River,2025-04-30,-1,2025-04-28,2025-05-01,0.99,0.54,0.44,0.01,0.00
Manley Hot Springs,Tanana River,2025-04-30,4,2025-05-03,2025-05-04,0.69,0.16,0.53,0.30,0.01
Dawson,Yukon River,2025-04-30,2,2025-05-01,2025-05-05,0.93,0.28,0.64,0.07,0.00
Eagle,Yukon River,2025-04-30,4,2025-05-03,2025-05-05,0.76,0.15,0.61,0.24,0.00
Circle,Yukon River,2025-04-30,9,2025-05-08,2025-05-09,0.56,0.03,0.23,0.58,0.16
Tanana,Yukon River,2025-04-30,8,2025-05-07,2025-05-10,0.60,0.03,0.29,0.58,0.09
Beaver,Yukon River,2025-04-30,8,2025-05-07,2025-05-11,0.68,0.02,0.32,0.61,0.05
Fort Yukon,Yukon River,2025-04-30,10,2025-05-09,2025-05-11,0.58,0.02,0.19,0.58,0.20
Ruby,Yukon River,2025-04-30,10,2025-05-09,2025-05-11,0.60,0.01,0.16,0.62,0.20
Galena,Yukon River,2025-04-30,10,2025-05-09,2025-05-12,0.62,0.01,0.13,0.65,0.21
Rampart,Yukon River,2025-04-30,10,2025-05-09,2025-05-12,0.62,0.01,0.14,0.65,0.21
Stevens Village,Yukon River,2025-04-30,9,2025-05-08,2025-05-12,0.69,0.01,0.21,0.70,0.09
Nulato,Yukon River,2025-04-30,11,2025-05-10,2025-05-13,0.55,0.01,0.15,0.55,0.27
Holy Cross,Yukon River,2025-04-30,12,2025-05-11,2025-05-14,0.64,0.00,0.06,0.59,0.34
Kaltag,Yukon River,2025-04-30,13,2025-05-12,2025-05-14,0.56,0.00,0.07,0.47,0.41
Marshall,Yukon River,2025-04-30,14,2025-05-13,2025-05-15,0.65,0.00,0.01,0.38,0.57
Pilot Station,Yukon River,2025-04-30,13,2025-05-12,2025-05-15,0.59,0.00,0.06,0.49,0.42
Russian Mission,Yukon River,2025-04-30,12,2025-05-11,2025-05-15,0.58,0.01,0.09,0.54,0.34
Anvik,Yukon River,2025-04-30,12,2025-05-11,2025-05-16,0.58,0.01,0.10,0.55,0.33
Mountain Village,Yukon River,2025-04-30,14,2025-05-13,2025-05-17,0.53,0.00,0.05,0.39,0.47
Emmonak,Yukon River,2025-04-30,20,2025-05-19,2025-05-21,0.53,0.00,0.00,0.08,0.45
Alakanuk,Yukon River,2025-04-30,21,2025-05-20,2025-05-22,0.52,0.00,0.00,0.05,0.38
