LITTLE PORT WALTER
1980-05-26,57,42,49.5,0,M
1980-05-27,62,41,51.5,0,M
1980-05-28,63,44,53.5,0,M
1980-05-29,58,43,50.5,0,M
1980-05-30,54,43,48.5,0,M
1980-05-31,52,43,47.5,0,M
1980-06-01,54,41,47.5,0,M
1980-06-02,64,39,51.5,0,M
1980-06-03,71,44,57.5,0,M
1980-06-04,69,47,58.0,0,M
1980-06-05,80,50,65.0,0,M
1980-06-06,78,50,64.0,0,M
1980-06-07,71,45,58.0,0,M
1980-06-08,71,46,58.5,0,M
1980-06-09,71,47,59.0,0,M
1980-06-10,59,50,54.5,0,M
1980-06-11,66,46,56.0,0,M
1980-06-12,66,49,57.5,0,M
1980-06-13,52,47,49.5,0,M
1980-06-14,52,49,50.5,0,M
1980-06-15,56,48,52.0,0,M
1980-06-16,54,47,50.5,0,M
1980-06-17,53,45,49.0,0,M
1980-06-18,57,47,52.0,0,M
1980-06-19,60,49,54.5,0,M
1980-06-20,64,40,52.0,0,M
1980-06-21,63,48,55.5,0,M
1980-06-22,50,47,48.5,0,M
1980-06-23,59,48,53.5,0,M
1980-06-24,66,44,55.0,0,M
1980-06-25,69,47,58.0,0,M
1980-06-26,71,46,58.5,0,M
1980-06-27,58,49,53.5,0,M
1980-06-28,59,48,53.5,0,M
1980-06-29,63,49,56.0,0,M
1980-06-30,62,46,54.0,0,M
1980-07-01,58,47,52.5,0,M
1980-07-02,58,48,53.0,0,M
1980-07-03,64,45,54.5,0,M
1980-07-04,68,47,57.5,0,M
1980-07-05,68,47,57.5,0,M
1980-07-06,63,52,57.5,0,M
1980-07-07,56,50,53.0,0,M
1980-07-08,56,50,53.0,0,M
1980-07-09,63,46,54.5,0,M
1980-07-10,65,50,57.5,0,M
1980-07-11,64,48,56.0,0,M
1980-07-12,67,47,57.0,0,M
1980-07-13,60,48,54.0,0,M
1980-07-14,61,50,55.5,0,M
1980-07-15,63,44,53.5,0,M
1980-07-16,66,54,60.0,0,M
1980-07-17,58,51,54.5,0,M
1980-07-18,56,51,53.5,0,M
1980-07-19,55,52,53.5,0,M
1980-07-20,56,52,54.0,0,M
1980-07-21,58,52,55.0,0,M
1980-07-22,58,52,55.0,0,M
1980-07-23,59,52,55.5,0,M
1980-07-24,58,52,55.0,0,M
1980-07-25,58,51,54.5,0,M
1980-07-26,63,52,57.5,0,M
1980-07-27,65,51,58.0,0,M
1980-07-28,67,52,59.5,0,M
1980-07-29,59,52,55.5,0,M
1980-07-30,58,51,54.5,0,M
1980-07-31,59,52,55.5,0,M
1980-08-01,58,51,54.5,0,M
1980-08-02,61,51,56.0,0,M
1980-08-03,62,51,56.5,0,M
1980-08-04,59,46,52.5,0,M
1980-08-05,70,46,58.0,0,M
1980-08-06,71,48,59.5,0,M
1980-08-07,71,50,60.5,0,M
1980-08-08,67,58,62.5,0,M
1980-08-09,65,50,57.5,0,M
1980-08-10,69,49,59.0,0,M
1980-08-11,74,50,62.0,0,M
1980-08-12,74,52,63.0,0,M
1980-08-13,64,52,58.0,0,M
1980-08-14,58,48,53.0,0,M
1980-08-15,53,48,50.5,0,M
1980-08-16,58,50,54.0,0,M
1980-08-17,66,50,58.0,0,M
1980-08-18,64,50,57.0,0,M
1980-08-19,61,50,55.5,0,M
1980-08-20,61,51,56.0,0,M
1980-08-21,60,49,54.5,0,M
1980-08-22,60,53,56.5,0,M
1980-08-23,64,48,56.0,0,M
1980-08-24,59,48,53.5,0,M
1980-08-25,58,51,54.5,0,M
1980-08-26,54,43,48.5,0,M
1980-08-27,61,44,52.5,0,M
1980-08-28,61,46,53.5,0,M
1980-08-29,56,48,52.0,0,M
1980-08-30,57,41,49.0,0,M
1980-08-31,64,45,54.5,0,M
1980-09-01,54,46,50.0,0,M
1980-09-02,60,44,52.0,0,M
1980-09-03,59,49,54.0,0,M
1980-09-04,53,41,47.0,0,M
1980-09-05,52,44,48.0,0,M
1980-09-06,58,42,50.0,0,M
1980-09-07,58,40,49.0,0,M
1980-09-08,54,47,50.5,0,M
1980-09-09,59,44,51.5,0,M
1980-09-10,58,39,48.5,0,M
1980-09-11,52,39,45.5,0,M
1980-09-12,61,39,50.0,0,M
1980-09-13,61,39,50.0,0,M
1980-09-14,55,48,51.5,0,M
1980-09-15,59,47,53.0,0,M
1980-09-16,66,55,60.5,0,M
1980-09-17,61,48,54.5,0,M
1980-09-18,54,47,50.5,0,M
1980-09-19,58,47,52.5,0,M
1980-09-20,58,38,48.0,0,M
1980-09-21,55,46,50.5,0,M
1980-09-22,56,47,51.5,0,M
1980-09-23,59,46,52.5,0,M
1980-09-24,58,47,52.5,0,M
1980-09-25,58,47,52.5,0,M
1980-09-26,52,47,49.5,0,M
1980-09-27,55,47,51.0,0,M
1980-09-28,53,48,50.5,0,M
1980-09-29,55,49,52.0,0,M
1980-09-30,58,45,51.5,0,M
1980-10-01,58,47,52.5,0,M
1980-10-02,55,47,51.0,0,M
1980-10-03,55,50,52.5,0,M
1980-10-04,53,43,48.0,0,M
1980-10-05,57,50,53.5,0,M
1980-10-06,56,51,53.5,0,M
1980-10-07,55,51,53.0,0,M
1980-10-08,54,45,49.5,0,M
1980-10-09,50,46,48.0,0,M
1980-10-10,55,42,48.5,0,M
1980-10-11,53,46,49.5,0,M
1980-10-12,51,40,45.5,0,M
1980-10-13,48,34,41.0,0,M
1980-10-14,48,36,42.0,0,M
1980-10-15,51,43,47.0,0,M
1980-10-16,56,51,53.5,0,M
1980-10-17,55,49,52.0,0,M
1980-10-18,51,46,48.5,0,M
1980-10-19,52,42,47.0,0,M
1980-10-20,48,40,44.0,0,M
1980-10-21,48,40,44.0,0,M
1980-10-22,48,44,46.0,0,M
1980-10-23,54,42,48.0,0,M
1980-10-24,59,46,52.5,0,M
1980-10-25,49,44,46.5,0,M
1980-10-26,48,43,45.5,0,M
1980-10-27,51,45,48.0,0,M
1980-10-28,51,44,47.5,0,M
1980-10-29,49,38,43.5,0,M
1980-10-30,46,38,42.0,0,M
1980-10-31,50,38,44.0,0,M
1980-11-01,51,45,48.0,0,M
1980-11-02,47,39,43.0,0,M
1980-11-03,55,42,48.5,0,M
1980-11-04,54,47,50.5,0,M
1980-11-05,48,42,45.0,0,M
1980-11-06,45,43,44.0,0,M
1980-11-07,45,43,44.0,0,M
1980-11-08,48,38,43.0,0,M
1980-11-09,42,37,39.5,0,M
1980-11-10,41,35,38.0,0,M
1980-11-11,45,40,42.5,0,M
1980-11-12,47,41,44.0,0,M
1980-11-13,48,38,43.0,0,M
1980-11-14,43,35,39.0,0,M
1980-11-15,46,39,42.5,0,M
1980-11-16,48,40,44.0,0,M
1980-11-17,44,36,40.0,0,M
1980-11-18,45,38,41.5,0,M
