# DUTCH_HARBOR
# Thawing degree days starting March 1 from ACIS, gaps filled from climatology
# Excluded years (more than 10 days of missing data): 1980, 1981, 1982, 1983, 1984, 1986, 1987, 1988, 1989, 1990, 2001, 2008, 2009, 2018, 2019, 2021
#
d_since_march1,1985,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2002,2003,2004,2005,2006,2007,2010,2011,2012,2013,2014,2015,2016,2017,2020,2022
23,0.00,12.00,6.00,0.00,3.50,3.51,6.00,3.00,6.50,3.00,3.00,6.00,0.00,4.50,1.00,8.00,0.00,3.51,4.50,3.00,0.00,7.00,6.50,5.50,1.00,18.00,1.50
24,2.27,11.50,0.00,3.00,0.00,0.00,12.50,0.00,7.00,1.00,0.00,8.00,2.27,6.50,2.50,5.00,1.00,0.00,3.50,3.00,0.00,4.50,4.50,5.50,4.00,14.00,2.50
25,0.00,8.00,0.50,3.50,1.86,0.00,11.00,2.00,2.50,0.00,0.00,7.50,0.00,4.00,2.00,1.00,0.00,0.00,1.50,4.50,2.50,4.50,2.00,7.00,3.50,11.50,6.50
26,0.00,4.00,3.00,3.50,0.00,1.00,6.50,4.00,5.00,0.00,0.00,5.50,0.00,0.00,7.50,5.50,0.00,0.00,1.00,2.50,7.00,6.50,5.00,6.50,3.00,11.50,4.00
27,0.00,2.00,4.00,5.00,4.00,3.50,6.50,0.50,9.50,0.00,0.00,3.50,1.50,0.00,3.50,9.50,3.23,0.00,0.50,1.50,6.50,8.00,7.50,7.50,4.00,5.00,3.00
28,0.00,0.00,2.46,5.00,3.00,0.00,8.50,1.50,4.50,0.00,0.00,1.50,6.00,0.00,4.50,7.00,2.46,0.00,0.50,2.50,4.50,4.00,6.50,8.00,0.00,0.50,6.00
29,0.00,0.00,4.50,12.00,3.50,0.00,11.00,0.00,7.50,0.00,0.00,0.00,6.50,0.00,0.00,9.00,8.00,0.00,0.00,0.00,4.50,4.00,3.00,4.50,0.00,7.00,6.50
30,0.00,1.00,0.00,4.00,1.00,0.00,7.50,0.00,6.00,4.50,2.00,1.95,1.95,0.00,0.00,3.50,8.00,1.95,0.00,0.00,5.00,5.00,4.00,7.00,0.00,6.50,5.00
31,6.50,1.50,0.00,3.00,2.50,0.00,6.50,2.11,2.00,0.50,6.50,6.00,14.50,0.00,0.00,5.50,9.50,1.50,0.00,0.00,5.50,9.00,1.50,9.50,0.00,3.00,5.00
32,5.00,1.50,0.00,5.00,0.00,0.00,3.00,0.50,9.00,0.00,5.50,5.00,10.00,0.00,2.67,11.00,7.00,0.00,2.00,0.00,7.00,9.00,1.00,10.00,1.00,7.50,4.50
33,3.50,4.50,0.50,6.50,1.50,0.00,0.00,2.00,2.50,1.50,8.00,6.50,12.00,0.00,5.00,10.00,4.00,0.50,0.50,0.00,7.50,9.00,7.50,8.50,1.50,16.50,2.50
34,0.00,4.00,6.00,6.50,1.50,0.00,0.00,4.50,2.00,5.50,7.50,6.50,10.00,0.00,3.00,8.50,5.00,3.00,4.50,4.00,7.00,8.00,13.50,9.00,0.00,12.00,1.50
