breakuploc,ICAO,weight,GSODURL,ID,lat,lon
CrookedCreek,PAFB,0.4,https://www.ncei.noaa.gov/data/global-summary-of-the-day/access/2022/70261526498.csv,70261526498,64.8278,-147.6429
McGrath,PACD,0.2,https://www.ncei.noaa.gov/data/global-summary-of-the-day/access/2022/70316025624.csv,70316025624,55.2045,-162.7184
McGrath,PAEN,0.4,https://www.ncei.noaa.gov/data/global-summary-of-the-day/access/2022/70259026523.csv,70259026523,60.5544,-151.2583
McGrath,PANN,0.4,https://www.ncei.noaa.gov/data/global-summary-of-the-day/access/2022/70260026435.csv,70260026435,64.5639,-149.0931
Bethel,PABE,0.4,https://www.ncei.noaa.gov/data/global-summary-of-the-day/access/2022/70219026615.csv,70219026615,60.7833,-161.8
Bethel,PAED,0.3,https://www.ncei.noaa.gov/data/global-summary-of-the-day/access/2022/70272026401.csv,70272026401,61.18,-149.97
Bethel,PAMR,0.3,https://www.ncei.noaa.gov/data/global-summary-of-the-day/access/2022/70273526409.csv,70273526409,61.2167,-149.8333
MountainVillage,PAOT,0.2,https://www.ncei.noaa.gov/data/global-summary-of-the-day/access/2022/70133026616.csv,70133026616,66.8983,-162.54
MountainVillage,PATK,0.6,https://www.ncei.noaa.gov/data/global-summary-of-the-day/access/2022/70251026528.csv,70251026528,62.3209,-150.1066
MountainVillage,PAVD,0.2,https://www.ncei.noaa.gov/data/global-summary-of-the-day/access/2022/70275626479.csv,70275626479,61.1308,-146.3483
Aniak,PANC,0.5,https://www.ncei.noaa.gov/data/global-summary-of-the-day/access/2022/70273026451.csv,70273026451,61.2181,-149.9003
Aniak,PAMC,0.4,https://www.ncei.noaa.gov/data/global-summary-of-the-day/access/2022/70231026510.csv,70231026510,62.9532,-155.596
Aniak,PAPH,0.1,https://www.ncei.noaa.gov/data/global-summary-of-the-day/access/2022/70333025508.csv,70333025508,56.9492,-158.6269
Tanana,PAED,0.6,https://www.ncei.noaa.gov/data/global-summary-of-the-day/access/2022/70272026401.csv,70272026401,61.18,-149.97
Tanana,PATA,0.2,https://www.ncei.noaa.gov/data/global-summary-of-the-day/access/2022/70178026529.csv,70178026529,65.1719,-152.0789
Tanana,PFYU,0.2,https://www.ncei.noaa.gov/data/global-summary-of-the-day/access/2022/70194026413.csv,70194026413,66.5673,-145.2513
Sleetmute,PACD,0.5,https://www.ncei.noaa.gov/data/global-summary-of-the-day/access/2022/70316025624.csv,70316025624,55.2045,-162.7184
Sleetmute,PAMR,0.2,https://www.ncei.noaa.gov/data/global-summary-of-the-day/access/2022/70273526409.csv,70273526409,61.2167,-149.8333
Sleetmute,PAFB,0.3,https://www.ncei.noaa.gov/data/global-summary-of-the-day/access/2022/70261526498.csv,70261526498,64.8278,-147.6429
Eagle,PAGK,0.1,https://www.ncei.noaa.gov/data/global-summary-of-the-day/access/2022/70271026425.csv,70271026425,62.2086,-145.4515
Eagle,PFYU,0.3,https://www.ncei.noaa.gov/data/global-summary-of-the-day/access/2022/70194026413.csv,70194026413,66.5673,-145.2513
Eagle,MXYA2,0.6,https://www.ncei.noaa.gov/data/global-summary-of-the-day/access/2022/99999999999.csv,99999999999,61.4333,-142.9217
HolyCross,PAOT,0.1,https://www.ncei.noaa.gov/data/global-summary-of-the-day/access/2022/70133026616.csv,70133026616,66.8983,-162.54
HolyCross,PATK,0.8,https://www.ncei.noaa.gov/data/global-summary-of-the-day/access/2022/70251026528.csv,70251026528,62.3209,-150.1066
HolyCross,PAVD,0.1,https://www.ncei.noaa.gov/data/global-summary-of-the-day/access/2022/70275626479.csv,70275626479,61.1308,-146.3483
Kalskag,PABE,0.3,https://www.ncei.noaa.gov/data/global-summary-of-the-day/access/2022/70219026615.csv,70219026615,60.7833,-161.8
Kalskag,PANC,0.3,https://www.ncei.noaa.gov/data/global-summary-of-the-day/access/2022/70273026451.csv,70273026451,61.2181,-149.9003
Kalskag,PAED,0.4,https://www.ncei.noaa.gov/data/global-summary-of-the-day/access/2022/70272026401.csv,70272026401,61.18,-149.97
Dawson,PAGK,0.2,https://www.ncei.noaa.gov/data/global-summary-of-the-day/access/2022/70271026425.csv,70271026425,62.2086,-145.4515
Dawson,PFYU,0.1,https://www.ncei.noaa.gov/data/global-summary-of-the-day/access/2022/70194026413.csv,70194026413,66.5673,-145.2513
Dawson,MXYA2,0.7,https://www.ncei.noaa.gov/data/global-summary-of-the-day/access/2022/99999999999.csv,99999999999,61.4333,-142.9217
Nikolai,PACD,0.2,https://www.ncei.noaa.gov/data/global-summary-of-the-day/access/2022/70316025624.csv,70316025624,55.2045,-162.7184
Nikolai,PAMR,0.4,https://www.ncei.noaa.gov/data/global-summary-of-the-day/access/2022/70273526409.csv,70273526409,61.2167,-149.8333
Nikolai,PAFB,0.4,https://www.ncei.noaa.gov/data/global-summary-of-the-day/access/2022/70261526498.csv,70261526498,64.8278,-147.6429
FtYukon,PAMR,0.1,https://www.ncei.noaa.gov/data/global-summary-of-the-day/access/2022/70273526409.csv,70273526409,61.2167,-149.8333
FtYukon,PFYU,0.4,https://www.ncei.noaa.gov/data/global-summary-of-the-day/access/2022/70194026413.csv,70194026413,66.5673,-145.2513
FtYukon,MXYA2,0.5,https://www.ncei.noaa.gov/data/global-summary-of-the-day/access/2022/99999999999.csv,99999999999,61.4333,-142.9217
RussianMission,PACD,0.3,https://www.ncei.noaa.gov/data/global-summary-of-the-day/access/2022/70316025624.csv,70316025624,55.2045,-162.7184
RussianMission,PAEN,0.2,https://www.ncei.noaa.gov/data/global-summary-of-the-day/access/2022/70259026523.csv,70259026523,60.5544,-151.2583
RussianMission,PANN,0.5,https://www.ncei.noaa.gov/data/global-summary-of-the-day/access/2022/70260026435.csv,70260026435,64.5639,-149.0931
PilotStation,PAOT,0.2,https://www.ncei.noaa.gov/data/global-summary-of-the-day/access/2022/70133026616.csv,70133026616,66.8983,-162.54
PilotStation,PATK,0.4,https://www.ncei.noaa.gov/data/global-summary-of-the-day/access/2022/70251026528.csv,70251026528,62.3209,-150.1066
PilotStation,PAVD,0.4,https://www.ncei.noaa.gov/data/global-summary-of-the-day/access/2022/70275626479.csv,70275626479,61.1308,-146.3483
