# BETTLES_AIRPORT
# 1991-2020 climatology of T_avg and DD25 for ACIS station
# No years excluded (all years had 5 or fewer days of missing data)
#
julian_day,Tavg_F,dd
60,-1.52,0.00
61,-1.63,0.00
62,-2.20,0.00
63,-2.57,0.00
64,-0.80,0.00
65,0.18,0.00
66,1.24,0.00
67,0.93,0.00
68,0.08,0.00
69,-1.03,0.00
70,-0.05,0.00
71,0.03,0.00
72,0.98,0.00
73,1.83,0.00
74,2.62,0.00
75,3.00,0.00
76,3.67,0.00
77,4.16,0.00
78,3.42,0.00
79,3.75,0.00
80,5.72,0.00
81,6.58,0.00
82,6.62,0.00
83,8.78,0.00
84,10.35,0.00
85,8.77,0.00
86,7.77,0.00
87,8.63,0.00
88,9.82,0.00
89,9.17,0.00
90,11.68,0.00
91,13.92,0.00
92,13.95,0.00
93,13.97,0.00
94,16.22,0.00
95,16.60,0.00
96,17.65,0.00
97,17.93,0.00
98,17.28,0.00
99,17.72,0.00
100,19.23,0.00
101,20.80,0.00
102,20.35,0.00
103,22.22,0.00
104,22.82,0.00
105,22.10,0.00
106,23.85,0.00
107,25.33,0.33
108,26.65,1.65
109,26.55,1.55
110,28.33,3.33
111,29.58,4.58
112,30.70,5.70
113,31.63,6.63
114,32.50,7.50
115,32.48,7.48
116,32.98,7.98
117,33.58,8.58
118,33.67,8.67
119,34.97,9.97
120,35.82,10.82
121,34.97,9.97
122,34.75,9.75
123,34.07,9.07
124,34.32,9.32
125,35.52,10.52
126,36.98,11.98
127,38.05,13.05
128,40.03,15.03
129,40.68,15.68
130,41.38,16.38
131,42.55,17.55
132,43.58,18.58
133,43.43,18.43
134,43.92,18.92
135,44.72,19.72
136,45.18,20.18
137,44.87,19.87
138,45.37,20.37
139,46.97,21.97
140,47.93,22.93
141,47.60,22.60
142,49.60,24.60
143,50.97,25.97
144,51.85,26.85
145,52.67,27.67
146,52.75,27.75
147,51.82,26.82
148,51.90,26.90
149,52.93,27.93
150,53.30,28.30
151,52.68,27.68
152,52.53,27.53
153,53.43,28.43
154,54.17,29.17
155,54.92,29.92
156,56.77,31.77
157,57.37,32.37
158,58.52,33.52
159,58.47,33.47
160,57.30,32.30
161,56.78,31.78
162,57.50,32.50
163,57.23,32.23
164,58.12,33.12
165,58.38,33.38
166,58.17,33.17
167,59.02,34.02
168,59.55,34.55
169,59.63,34.63
170,60.65,35.65
171,60.77,35.77
172,60.32,35.32
173,60.20,35.20
174,60.70,35.70
175,60.08,35.08
176,60.63,35.63
177,59.60,34.60
178,59.97,34.97
179,60.63,35.63
180,62.32,37.32
181,62.10,37.10
182,62.00,37.00
