# MCKINLEY_PARK
# 1991-2020 climatology of T_avg and DD25 for ACIS station
# Excluded years (more than 5 days of missing data): 2003
#
julian_day,Tavg_F,dd
60,8.02,0.00
61,7.33,0.00
62,8.47,0.00
63,9.16,0.00
64,10.76,0.00
65,9.74,0.00
66,9.94,0.00
67,10.34,0.00
68,12.22,0.00
69,10.90,0.00
70,10.47,0.00
71,10.00,0.00
72,10.73,0.00
73,11.41,0.00
74,10.35,0.00
75,10.35,0.00
76,11.22,0.00
77,10.78,0.00
78,12.52,0.00
79,11.57,0.00
80,12.45,0.00
81,13.29,0.00
82,15.59,0.00
83,16.50,0.00
84,17.52,0.00
85,18.14,0.00
86,18.22,0.00
87,17.12,0.00
88,18.10,0.00
89,18.62,0.00
90,19.59,0.00
91,21.36,0.00
92,23.16,0.00
93,21.90,0.00
94,21.07,0.00
95,22.89,0.00
96,25.09,0.09
97,25.86,0.86
98,24.10,0.00
99,23.74,0.00
100,25.05,0.05
101,26.64,1.64
102,24.98,0.00
103,25.44,0.44
104,25.47,0.47
105,27.52,2.52
106,28.43,3.43
107,28.38,3.38
108,29.58,4.58
109,30.81,5.81
110,32.41,7.41
111,32.95,7.95
112,34.10,9.10
113,34.85,9.85
114,35.78,10.78
115,35.22,10.22
116,33.95,8.95
117,35.09,10.09
118,35.48,10.48
119,35.52,10.52
120,36.67,11.67
121,36.81,11.81
122,37.22,12.22
123,36.82,11.82
124,36.10,11.10
125,36.72,11.72
126,36.76,11.76
127,38.29,13.29
128,39.66,14.66
129,40.53,15.53
130,41.00,16.00
131,41.93,16.93
132,42.41,17.41
133,42.34,17.34
134,42.41,17.41
135,43.55,18.55
136,43.52,18.52
137,44.22,19.22
138,43.29,18.29
139,43.41,18.41
140,44.88,19.88
141,45.48,20.48
142,45.77,20.77
143,47.51,22.51
144,47.41,22.41
145,48.52,23.52
146,49.14,24.14
147,48.81,23.81
148,47.55,22.55
149,48.16,23.16
150,49.16,24.16
151,49.03,24.03
152,48.98,23.98
153,49.17,24.17
154,50.84,25.84
155,50.36,25.36
156,49.93,24.93
157,50.84,25.84
158,52.19,27.19
159,51.26,26.26
160,52.90,27.90
161,52.53,27.53
162,51.31,26.31
163,51.76,26.76
164,51.17,26.17
165,53.53,28.53
166,54.26,29.26
167,54.03,29.03
168,54.17,29.17
169,54.79,29.79
170,54.98,29.98
171,55.45,30.45
172,54.28,29.28
173,54.84,29.84
174,55.21,30.21
175,55.22,30.22
176,56.19,31.19
177,54.78,29.78
178,55.36,30.36
179,54.90,29.90
180,56.40,31.40
181,57.59,32.59
182,53.94,28.94
