# KOTZEBUE_AIRPORT
# 1991-2020 climatology of T_avg and DD25 for ACIS station
# Excluded years (more than 5 days of missing data): 2019
#
julian_day,Tavg_F,dd
60,-3.57,0.00
61,-1.84,0.00
62,2.71,0.00
63,2.38,0.00
64,0.95,0.00
65,0.48,0.00
66,0.81,0.00
67,0.33,0.00
68,0.38,0.00
69,-1.29,0.00
70,-1.36,0.00
71,-1.59,0.00
72,-1.60,0.00
73,-1.33,0.00
74,-1.50,0.00
75,0.24,0.00
76,0.24,0.00
77,0.09,0.00
78,0.41,0.00
79,1.16,0.00
80,0.79,0.00
81,2.09,0.00
82,2.34,0.00
83,4.16,0.00
84,3.72,0.00
85,0.88,0.00
86,-0.10,0.00
87,1.12,0.00
88,2.22,0.00
89,2.22,0.00
90,5.16,0.00
91,7.53,0.00
92,7.31,0.00
93,8.38,0.00
94,9.86,0.00
95,10.34,0.00
96,10.50,0.00
97,9.79,0.00
98,9.90,0.00
99,9.66,0.00
100,12.88,0.00
101,13.40,0.00
102,14.57,0.00
103,13.95,0.00
104,13.55,0.00
105,14.81,0.00
106,15.67,0.00
107,16.59,0.00
108,17.10,0.00
109,16.84,0.00
110,16.95,0.00
111,19.09,0.00
112,21.62,0.00
113,22.34,0.00
114,22.74,0.00
115,22.36,0.00
116,23.05,0.00
117,22.97,0.00
118,22.57,0.00
119,23.88,0.00
120,24.31,0.00
121,22.91,0.00
122,22.98,0.00
123,23.02,0.00
124,23.60,0.00
125,24.78,0.00
126,25.34,0.34
127,26.16,1.16
128,28.55,3.55
129,29.26,4.26
130,31.50,6.50
131,32.79,7.79
132,33.16,8.16
133,33.36,8.36
134,33.19,8.19
135,33.34,8.34
136,33.69,8.69
137,34.69,9.69
138,34.64,9.64
139,36.29,11.29
140,35.95,10.95
141,35.72,10.72
142,35.84,10.84
143,36.50,11.50
144,37.40,12.40
145,38.21,13.21
146,38.38,13.38
147,37.29,12.29
148,37.17,12.17
149,37.90,12.90
150,38.88,13.88
151,38.79,13.79
152,39.67,14.67
153,39.50,14.50
154,39.19,14.19
155,40.62,15.62
156,42.50,17.50
157,42.59,17.59
158,42.34,17.34
159,43.57,18.57
160,43.41,18.41
161,43.00,18.00
162,43.95,18.95
163,43.88,18.88
164,44.40,19.40
165,44.41,19.41
166,46.47,21.47
167,48.48,23.48
168,49.67,24.67
169,50.79,25.79
170,51.00,26.00
171,51.67,26.67
172,52.12,27.12
173,52.53,27.53
174,51.66,26.66
175,51.12,26.12
176,50.52,25.52
177,51.16,26.16
178,51.53,26.53
179,53.28,28.28
180,54.16,29.16
181,54.52,29.52
182,54.12,29.12
